1,中野 孝二,中野 孝二.1,2,小玉 啓太,小玉 啓太.1,3,大森 翼,大森 翼.1,4,砂長 知輝,砂長 知輝.1,5,井上 慧人,井上 慧人.1,6,藤原 碧生,藤原 碧生.1
2.0,3.0,125.4,1.0,3.0,288.6,1.0,2.0,299.5,1.0,2.0,65.8,1.0,2.0,822.3,1.0,2.0,146.4
2.0,4.0,83.8,1.0,4.0,203.3,1.0,4.0,79.7,1.0,3.0,42.5,1.0,3.0,537.5,1.0,3.0,99.9
2.0,5.0,294.8,1.0,5.0,573.3,1.0,5.0,283.9,1.0,5.0,43.7,1.0,4.0,313.6,1.0,4.0,44.0
2.0,6.0,89.8,1.0,6.0,197.3,1.0,6.0,90.8,1.0,6.0,12.6,1.0,6.0,347.4,1.0,5.0,198.2
3.0,2.0,120.4,3.0,1.0,466.9,2.0,1.0,475.6,2.0,1.0,145.8,2.0,1.0,1306.0,2.0,1.0,242.8
3.0,4.0,43.5,3.0,4.0,504.6,2.0,4.0,406.3,2.0,3.0,200.7,2.0,3.0,1826.0,2.0,3.0,342.3
3.0,5.0,173.0,3.0,5.0,1166.0,2.0,5.0,874.6,2.0,5.0,199.2,2.0,4.0,955.6,2.0,4.0,150.6
3.0,6.0,50.3,3.0,6.0,453.6,2.0,6.0,400.8,2.0,6.0,57.8,2.0,6.0,1127.0,2.0,5.0,697.3
4.0,2.0,51.0,4.0,1.0,231.9,4.0,1.0,79.9,3.0,1.0,69.8,3.0,1.0,627.3,3.0,1.0,139.2
4.0,3.0,35.3,4.0,3.0,358.3,4.0,2.0,230.3,3.0,2.0,184.6,3.0,2.0,1404.0,3.0,2.0,318.5
4.0,5.0,76.9,4.0,5.0,565.5,4.0,5.0,161.5,3.0,5.0,122.5,3.0,4.0,593.1,3.0,4.0,73.4
4.0,6.0,17.4,4.0,6.0,139.7,4.0,6.0,46.0,3.0,6.0,33.2,3.0,6.0,538.9,3.0,5.0,331.3
5.0,2.0,367.2,5.0,1.0,863.6,5.0,1.0,455.6,5.0,1.0,52.7,4.0,1.0,223.6,4.0,1.0,25.8
5.0,3.0,304.8,5.0,3.0,1433.0,5.0,2.0,800.0,5.0,2.0,137.6,4.0,2.0,556.3,4.0,2.0,70.0
5.0,4.0,183.4,5.0,4.0,842.5,5.0,4.0,331.3,5.0,3.0,119.5,4.0,3.0,407.9,4.0,3.0,31.4
5.0,6.0,193.2,5.0,6.0,1053.0,5.0,6.0,301.7,5.0,6.0,21.0,4.0,6.0,96.1,4.0,5.0,46.7
6.0,2.0,85.8,6.0,1.0,266.6,6.0,1.0,97.8,6.0,1.0,9.5,6.0,1.0,308.5,5.0,1.0,286.6
6.0,3.0,54.3,6.0,3.0,425.5,6.0,2.0,247.2,6.0,2.0,30.7,6.0,2.0,692.6,5.0,2.0,591.4
6.0,4.0,26.3,6.0,4.0,184.6,6.0,4.0,57.6,6.0,3.0,16.1,6.0,3.0,473.4,5.0,3.0,355.2
6.0,5.0,127.4,6.0,5.0,764.4,6.0,5.0,219.8,6.0,5.0,14.5,6.0,4.0,117.2,5.0,4.0,98.8
