1,宮地 博士,宮地 博士.1,2,今坂 晃広,今坂 晃広.1,3,片橋 幸貴,片橋 幸貴.1,4,中村 将隆,中村 将隆.1,5,阿波 勝哉,阿波 勝哉.1,6,守屋 美穂,守屋 美穂.1
2.0,3.0,67.6,1.0,3.0,91.9,1.0,2.0,61.8,1.0,2.0,122.5,1.0,2.0,593.0,1.0,2.0,165.2
2.0,4.0,98.5,1.0,4.0,130.2,1.0,4.0,35.6,1.0,3.0,75.9,1.0,3.0,443.2,1.0,3.0,91.2
2.0,5.0,199.9,1.0,5.0,206.6,1.0,5.0,63.9,1.0,5.0,74.1,1.0,4.0,502.1,1.0,4.0,128.5
2.0,6.0,118.4,1.0,6.0,126.1,1.0,6.0,24.3,1.0,6.0,62.0,1.0,6.0,430.4,1.0,5.0,179.0
3.0,2.0,53.9,3.0,1.0,110.2,2.0,1.0,100.2,2.0,1.0,146.1,2.0,1.0,774.2,2.0,1.0,226.3
3.0,4.0,33.1,3.0,4.0,97.8,2.0,4.0,74.0,2.0,3.0,120.3,2.0,3.0,703.3,2.0,3.0,146.5
3.0,5.0,70.9,3.0,5.0,151.4,2.0,5.0,110.0,2.0,5.0,113.8,2.0,4.0,740.7,2.0,4.0,214.1
3.0,6.0,27.0,3.0,6.0,85.7,2.0,6.0,57.7,2.0,6.0,101.4,2.0,6.0,607.5,2.0,5.0,270.9
4.0,2.0,111.0,4.0,1.0,188.6,4.0,1.0,38.6,3.0,1.0,71.9,3.0,1.0,432.1,3.0,1.0,74.5
4.0,3.0,55.7,4.0,3.0,139.0,4.0,2.0,64.9,3.0,2.0,100.2,3.0,2.0,586.7,3.0,2.0,102.8
4.0,5.0,109.9,4.0,5.0,203.4,4.0,5.0,40.6,3.0,5.0,50.7,3.0,4.0,338.8,3.0,4.0,52.8
4.0,6.0,65.2,4.0,6.0,156.5,4.0,6.0,18.0,3.0,6.0,32.8,3.0,6.0,241.0,3.0,5.0,87.5
5.0,2.0,398.1,5.0,1.0,506.7,5.0,1.0,144.3,5.0,1.0,102.1,4.0,1.0,465.4,4.0,1.0,104.0
5.0,3.0,228.2,5.0,3.0,374.7,5.0,2.0,173.5,5.0,2.0,155.8,4.0,2.0,596.1,4.0,2.0,127.4
5.0,4.0,259.8,5.0,4.0,411.3,5.0,4.0,87.5,5.0,3.0,81.5,4.0,3.0,347.8,4.0,3.0,66.3
5.0,6.0,235.9,5.0,6.0,419.9,5.0,6.0,65.1,5.0,6.0,57.2,4.0,6.0,261.0,4.0,5.0,78.3
6.0,2.0,135.6,6.0,1.0,237.4,6.0,1.0,27.4,6.0,1.0,50.2,6.0,1.0,408.3,5.0,1.0,231.5
6.0,3.0,59.6,6.0,3.0,123.5,6.0,2.0,46.8,6.0,2.0,67.8,6.0,2.0,573.1,5.0,2.0,294.5
6.0,4.0,92.2,6.0,4.0,206.6,6.0,4.0,19.4,6.0,3.0,33.7,6.0,3.0,250.8,5.0,3.0,142.8
6.0,5.0,137.8,6.0,5.0,282.9,6.0,5.0,34.5,6.0,5.0,36.9,6.0,4.0,266.0,5.0,4.0,144.7
