1,宮迫 暢彦,宮迫 暢彦.1,2,永田 啓二,永田 啓二.1,3,上村　慎太郎,上村　慎太郎.1,4,大原 祥昌,大原 祥昌.1,5,川崎 智稔,川崎 智稔.1,6,大野 芳顕,大野 芳顕.1
2.0,3.0,17.7,1.0,3.0,19.3,1.0,2.0,206.1,1.0,2.0,74.7,1.0,2.0,131.3,1.0,2.0,314.1
2.0,4.0,11.0,1.0,4.0,9.9,1.0,4.0,300.3,1.0,3.0,309.3,1.0,3.0,560.9,1.0,3.0,1594.0
2.0,5.0,13.0,1.0,5.0,11.7,1.0,5.0,306.2,1.0,5.0,107.0,1.0,4.0,209.3,1.0,4.0,887.2
2.0,6.0,16.9,1.0,6.0,13.5,1.0,6.0,406.6,1.0,6.0,132.4,1.0,6.0,248.8,1.0,5.0,912.0
3.0,2.0,35.9,3.0,1.0,77.3,2.0,1.0,256.2,2.0,1.0,67.9,2.0,1.0,130.9,2.0,1.0,316.4
3.0,4.0,64.9,3.0,4.0,110.8,2.0,4.0,346.7,2.0,3.0,190.3,2.0,3.0,354.5,2.0,3.0,915.9
3.0,5.0,84.3,3.0,5.0,105.0,2.0,5.0,334.4,2.0,5.0,67.7,2.0,4.0,166.1,2.0,4.0,611.9
3.0,6.0,104.4,3.0,6.0,127.1,2.0,6.0,374.6,2.0,6.0,85.9,2.0,6.0,166.4,2.0,5.0,590.6
4.0,2.0,29.1,4.0,1.0,27.1,4.0,1.0,562.4,3.0,1.0,666.8,3.0,1.0,1034.0,3.0,1.0,2029.0
4.0,3.0,98.8,4.0,3.0,78.7,4.0,2.0,539.5,3.0,2.0,582.5,3.0,2.0,988.5,3.0,2.0,1273.0
4.0,5.0,66.2,4.0,5.0,35.9,4.0,5.0,717.5,3.0,5.0,785.3,3.0,4.0,1493.0,3.0,4.0,2423.0
4.0,6.0,78.5,4.0,6.0,43.2,4.0,6.0,846.5,3.0,6.0,841.4,3.0,6.0,1738.0,3.0,5.0,2924.0
5.0,2.0,35.6,5.0,1.0,35.3,5.0,1.0,659.5,5.0,1.0,121.2,4.0,1.0,227.7,4.0,1.0,1090.0
5.0,3.0,158.0,5.0,3.0,99.9,5.0,2.0,731.2,5.0,2.0,93.9,4.0,2.0,189.9,4.0,2.0,727.4
5.0,4.0,95.7,5.0,4.0,51.3,5.0,4.0,1146.0,5.0,3.0,490.8,4.0,3.0,979.4,4.0,3.0,2570.0
5.0,6.0,101.5,5.0,6.0,49.1,5.0,6.0,936.1,5.0,6.0,123.4,4.0,6.0,254.4,4.0,5.0,1146.0
6.0,2.0,77.2,6.0,1.0,58.5,6.0,1.0,1265.0,6.0,1.0,246.5,6.0,1.0,412.9,5.0,1.0,894.7
6.0,3.0,247.5,6.0,3.0,194.5,6.0,2.0,934.1,6.0,2.0,175.3,6.0,2.0,322.2,5.0,2.0,667.8
6.0,4.0,196.7,6.0,4.0,115.0,6.0,4.0,1559.0,6.0,3.0,953.0,6.0,3.0,1427.0,5.0,3.0,2437.0
6.0,5.0,182.4,6.0,5.0,93.2,6.0,5.0,1229.0,6.0,5.0,226.4,6.0,4.0,481.9,5.0,4.0,993.2
