1,藤本　紗弥香,藤本　紗弥香.1,2,金田 幸子,金田 幸子.1,3,佐藤　ほのか,佐藤　ほのか.1,4,田中 博子,田中 博子.1,5,中谷 朋子,中谷 朋子.1,6,永井 聖美,永井 聖美.1
2.0,3.0,16.0,1.0,3.0,19.3,1.0,2.0,38.8,1.0,2.0,788.5,1.0,2.0,61.5,1.0,2.0,511.3
2.0,4.0,159.1,1.0,4.0,196.2,1.0,4.0,219.5,1.0,3.0,1110.0,1.0,3.0,80.3,1.0,3.0,878.9
2.0,5.0,17.3,1.0,5.0,19.1,1.0,5.0,36.4,1.0,5.0,992.6,1.0,4.0,384.1,1.0,4.0,1515.0
2.0,6.0,52.9,1.0,6.0,49.5,1.0,6.0,92.3,1.0,6.0,1480.0,1.0,6.0,142.2,1.0,5.0,652.3
3.0,2.0,26.1,3.0,1.0,28.2,2.0,1.0,36.0,2.0,1.0,934.0,2.0,1.0,52.7,2.0,1.0,446.4
3.0,4.0,180.8,3.0,4.0,165.4,2.0,4.0,163.5,2.0,3.0,897.6,2.0,3.0,37.0,2.0,3.0,396.1
3.0,5.0,28.5,3.0,5.0,16.6,2.0,5.0,20.5,2.0,5.0,685.9,2.0,4.0,207.9,2.0,4.0,1591.0
3.0,6.0,82.8,3.0,6.0,41.0,2.0,6.0,44.2,2.0,6.0,1125.0,2.0,6.0,53.4,2.0,5.0,237.4
4.0,2.0,460.2,4.0,1.0,479.4,4.0,1.0,389.4,3.0,1.0,1120.0,3.0,1.0,74.8,3.0,1.0,910.5
4.0,3.0,478.4,4.0,3.0,434.9,4.0,2.0,313.2,3.0,2.0,1016.0,3.0,2.0,45.4,3.0,2.0,510.3
4.0,5.0,539.7,4.0,5.0,323.2,4.0,5.0,224.6,3.0,5.0,849.4,3.0,4.0,251.3,3.0,4.0,1665.0
4.0,6.0,705.0,4.0,6.0,515.5,4.0,6.0,319.1,3.0,6.0,1259.0,3.0,6.0,71.1,3.0,5.0,430.4
5.0,2.0,33.0,5.0,1.0,27.9,5.0,1.0,34.4,5.0,1.0,1125.0,4.0,1.0,642.4,4.0,1.0,2365.0
5.0,3.0,41.0,5.0,3.0,18.2,5.0,2.0,21.3,5.0,2.0,757.8,4.0,2.0,487.7,4.0,2.0,2127.0
5.0,4.0,296.3,5.0,4.0,135.3,5.0,4.0,108.1,5.0,3.0,793.4,4.0,3.0,509.3,4.0,3.0,2145.0
5.0,6.0,87.3,5.0,6.0,30.7,5.0,6.0,33.3,5.0,6.0,948.0,4.0,6.0,520.8,4.0,5.0,1888.0
6.0,2.0,169.9,6.0,1.0,127.0,6.0,1.0,180.1,6.0,1.0,2041.0,6.0,1.0,209.7,5.0,1.0,580.5
6.0,3.0,235.6,6.0,3.0,97.2,6.0,2.0,105.1,6.0,2.0,1622.0,6.0,2.0,97.8,5.0,2.0,239.0
6.0,4.0,680.4,6.0,4.0,466.1,6.0,4.0,351.0,6.0,3.0,1665.0,6.0,3.0,141.4,5.0,3.0,385.2
6.0,5.0,207.9,6.0,5.0,75.6,6.0,5.0,86.3,6.0,5.0,1515.0,6.0,4.0,475.7,5.0,4.0,1228.0
