1,岡瀬 正人,岡瀬 正人.1,2,深川 和仁,深川 和仁.1,3,中田 元泰,中田 元泰.1,4,藤丸 光一,藤丸 光一.1,5,宮地 秀祈,宮地 秀祈.1,6,小坂 宗司,小坂 宗司.1
2.0,3.0,20.8,1.0,3.0,49.1,1.0,2.0,24.2,1.0,2.0,146.4,1.0,2.0,705.1,1.0,2.0,865.3
2.0,4.0,43.8,1.0,4.0,125.7,1.0,4.0,14.1,1.0,3.0,63.2,1.0,3.0,330.2,1.0,3.0,414.4
2.0,5.0,73.1,1.0,5.0,181.5,1.0,5.0,20.1,1.0,5.0,201.7,1.0,4.0,607.7,1.0,4.0,654.5
2.0,6.0,70.9,1.0,6.0,149.1,1.0,6.0,17.8,1.0,6.0,183.1,1.0,6.0,663.0,1.0,5.0,1657.0
3.0,2.0,12.2,3.0,1.0,54.5,2.0,1.0,44.9,2.0,1.0,301.7,2.0,1.0,1239.0,2.0,1.0,1625.0
3.0,4.0,8.3,3.0,4.0,99.6,2.0,4.0,74.8,2.0,3.0,269.2,2.0,3.0,842.4,2.0,3.0,1139.0
3.0,5.0,17.7,3.0,5.0,96.6,2.0,5.0,66.2,2.0,5.0,512.5,2.0,4.0,1668.0,2.0,4.0,2868.0
3.0,6.0,15.4,3.0,6.0,83.2,2.0,6.0,55.8,2.0,6.0,505.4,2.0,6.0,1119.0,2.0,5.0,2578.0
4.0,2.0,40.6,4.0,1.0,268.1,4.0,1.0,36.8,3.0,1.0,82.7,3.0,1.0,318.6,3.0,1.0,314.7
4.0,3.0,18.8,4.0,3.0,201.3,4.0,2.0,95.5,3.0,2.0,206.8,3.0,2.0,569.8,3.0,2.0,780.6
4.0,5.0,64.5,4.0,5.0,518.8,4.0,5.0,69.7,3.0,5.0,199.1,3.0,4.0,522.0,3.0,4.0,489.0
4.0,6.0,65.5,4.0,6.0,462.4,4.0,6.0,55.5,3.0,6.0,173.0,3.0,6.0,356.5,3.0,5.0,836.9
5.0,2.0,176.2,5.0,1.0,550.1,5.0,1.0,38.7,5.0,1.0,514.6,4.0,1.0,941.9,4.0,1.0,1270.0
5.0,3.0,86.5,5.0,3.0,333.2,5.0,2.0,83.0,5.0,2.0,682.5,4.0,2.0,1426.0,4.0,2.0,2687.0
5.0,4.0,191.3,5.0,4.0,908.4,5.0,4.0,73.1,5.0,3.0,525.2,4.0,3.0,874.2,4.0,3.0,978.0
5.0,6.0,214.8,5.0,6.0,472.7,5.0,6.0,37.9,5.0,6.0,631.8,4.0,6.0,1263.0,4.0,5.0,2219.0
6.0,2.0,208.3,6.0,1.0,462.4,6.0,1.0,43.4,6.0,1.0,559.8,6.0,1.0,1357.0,5.0,1.0,1863.0
6.0,3.0,93.0,6.0,3.0,310.9,6.0,2.0,93.5,6.0,2.0,1059.0,6.0,2.0,1823.0,5.0,2.0,2478.0
6.0,4.0,184.9,6.0,4.0,709.0,6.0,4.0,71.4,6.0,3.0,464.9,6.0,3.0,848.0,5.0,3.0,1245.0
6.0,5.0,279.2,6.0,5.0,652.8,6.0,5.0,54.2,6.0,5.0,966.9,6.0,4.0,1690.0,5.0,4.0,2200.0
