1,小林 一樹,小林 一樹.1,2,渡辺 空依,渡辺 空依.1,3,島崎　丈一朗,島崎　丈一朗.1,4,岡本 大,岡本 大.1,5,東 潤樹,東 潤樹.1,6,鳥飼 眞,鳥飼 眞.1
2.0,3.0,21.2,1.0,3.0,65.0,1.0,2.0,127.4,1.0,2.0,347.8,1.0,2.0,175.8,1.0,2.0,23.4
2.0,4.0,31.4,1.0,4.0,81.7,1.0,4.0,204.7,1.0,3.0,382.9,1.0,3.0,265.2,1.0,3.0,45.8
2.0,5.0,19.4,1.0,5.0,53.3,1.0,5.0,179.0,1.0,5.0,360.6,1.0,4.0,266.3,1.0,4.0,51.8
2.0,6.0,10.3,1.0,6.0,37.2,1.0,6.0,91.4,1.0,6.0,270.3,1.0,6.0,129.6,1.0,5.0,30.1
3.0,2.0,33.1,3.0,1.0,124.0,2.0,1.0,194.2,2.0,1.0,374.1,2.0,1.0,198.2,2.0,1.0,62.2
3.0,4.0,65.1,3.0,4.0,257.1,2.0,4.0,413.9,2.0,3.0,641.5,2.0,3.0,393.0,2.0,3.0,159.8
3.0,5.0,57.3,3.0,5.0,209.5,2.0,5.0,377.4,2.0,5.0,482.9,2.0,4.0,328.4,2.0,4.0,195.3
3.0,6.0,27.0,3.0,6.0,172.8,2.0,6.0,279.8,2.0,6.0,571.8,2.0,6.0,261.8,2.0,5.0,124.4
4.0,2.0,71.1,4.0,1.0,158.6,4.0,1.0,334.2,3.0,1.0,502.8,3.0,1.0,421.6,3.0,1.0,153.6
4.0,3.0,78.3,4.0,3.0,201.8,4.0,2.0,610.6,3.0,2.0,890.4,3.0,2.0,670.4,3.0,2.0,275.7
4.0,5.0,91.2,4.0,5.0,179.8,4.0,5.0,560.5,3.0,5.0,713.8,3.0,4.0,753.1,3.0,4.0,371.6
4.0,6.0,57.6,4.0,6.0,223.2,4.0,6.0,511.8,3.0,6.0,677.1,3.0,6.0,593.6,3.0,5.0,302.8
5.0,2.0,39.1,5.0,1.0,92.8,5.0,1.0,315.1,5.0,1.0,453.5,4.0,1.0,384.6,4.0,1.0,182.0
5.0,3.0,65.1,5.0,3.0,158.9,5.0,2.0,574.6,5.0,2.0,543.6,4.0,2.0,437.8,4.0,2.0,320.7
5.0,4.0,81.0,5.0,4.0,149.4,5.0,4.0,642.7,5.0,3.0,603.0,4.0,3.0,561.4,4.0,3.0,372.4
5.0,6.0,29.4,5.0,6.0,129.9,5.0,6.0,419.0,5.0,6.0,581.5,4.0,6.0,511.8,4.0,5.0,305.5
6.0,2.0,8.3,6.0,1.0,56.7,6.0,1.0,137.1,6.0,1.0,370.0,6.0,1.0,191.2,5.0,1.0,104.4
6.0,3.0,17.0,6.0,3.0,130.3,6.0,2.0,249.2,6.0,2.0,642.7,6.0,2.0,315.7,5.0,2.0,190.2
6.0,4.0,25.5,6.0,4.0,203.9,6.0,4.0,419.5,6.0,3.0,597.8,6.0,3.0,438.9,5.0,3.0,260.0
6.0,5.0,13.8,6.0,5.0,118.5,6.0,5.0,339.9,6.0,5.0,569.9,6.0,4.0,452.3,5.0,4.0,275.3
