1,菅 章哉,菅 章哉.1,2,山崎 哲司,山崎 哲司.1,3,松本 博昭,松本 博昭.1,4,筒井 美琴,筒井 美琴.1,5,木下 陽介,木下 陽介.1,6,豊田 泰洋,豊田 泰洋.1
2.0,3.0,2.8,1.0,3.0,15.1,1.0,2.0,54.1,1.0,2.0,898.0,1.0,2.0,120.5,1.0,2.0,280.9
2.0,4.0,50.3,1.0,4.0,165.2,1.0,4.0,368.4,1.0,3.0,1318.0,1.0,3.0,172.8,1.0,3.0,359.3
2.0,5.0,7.4,1.0,5.0,30.3,1.0,5.0,103.9,1.0,5.0,1663.0,1.0,4.0,718.0,1.0,4.0,1407.0
2.0,6.0,17.1,1.0,6.0,53.7,1.0,6.0,149.3,1.0,6.0,1504.0,1.0,6.0,224.8,1.0,5.0,562.3
3.0,2.0,6.6,3.0,1.0,47.2,2.0,1.0,79.0,2.0,1.0,1146.0,2.0,1.0,201.2,2.0,1.0,467.6
3.0,4.0,76.6,3.0,4.0,407.6,2.0,4.0,588.3,2.0,3.0,1951.0,2.0,3.0,288.8,2.0,3.0,734.1
3.0,5.0,15.9,3.0,5.0,126.6,2.0,5.0,195.7,2.0,5.0,1825.0,2.0,4.0,1402.0,2.0,4.0,1942.0
3.0,6.0,27.0,3.0,6.0,187.0,2.0,6.0,257.6,2.0,6.0,1868.0,2.0,6.0,389.1,2.0,5.0,1018.0
4.0,2.0,205.1,4.0,1.0,678.5,4.0,1.0,879.9,3.0,1.0,1609.0,3.0,1.0,365.3,3.0,1.0,677.3
4.0,3.0,260.9,4.0,3.0,1008.0,4.0,2.0,1149.0,3.0,2.0,1981.0,3.0,2.0,520.0,3.0,2.0,929.7
4.0,5.0,327.9,4.0,5.0,1364.0,4.0,5.0,1583.0,3.0,5.0,2389.0,3.0,4.0,1961.0,3.0,4.0,2130.0
4.0,6.0,390.3,4.0,6.0,1239.0,4.0,6.0,1533.0,3.0,6.0,2836.0,3.0,6.0,768.4,3.0,5.0,1191.0
5.0,2.0,21.4,5.0,1.0,114.1,5.0,1.0,252.2,5.0,1.0,2374.0,4.0,1.0,2178.0,4.0,1.0,2737.0
5.0,3.0,31.6,5.0,3.0,167.8,5.0,2.0,336.0,5.0,2.0,2527.0,4.0,2.0,2543.0,4.0,2.0,2920.0
5.0,4.0,210.4,5.0,4.0,769.9,5.0,4.0,945.3,5.0,3.0,2418.0,4.0,3.0,2718.0,4.0,3.0,2941.0
5.0,6.0,59.7,5.0,6.0,274.7,5.0,6.0,440.4,5.0,6.0,2795.0,4.0,6.0,2795.0,4.0,5.0,3790.0
6.0,2.0,58.1,6.0,1.0,242.8,6.0,1.0,437.0,6.0,1.0,2142.0,6.0,1.0,368.7,5.0,1.0,735.4
6.0,3.0,77.8,6.0,3.0,397.8,6.0,2.0,546.7,6.0,2.0,3079.0,6.0,2.0,454.1,5.0,2.0,872.1
6.0,4.0,326.3,6.0,4.0,1271.0,6.0,4.0,1516.0,6.0,3.0,2986.0,6.0,3.0,608.3,5.0,3.0,1136.0
6.0,5.0,110.4,6.0,5.0,499.0,6.0,5.0,707.7,6.0,5.0,2718.0,6.0,4.0,1433.0,5.0,4.0,2202.0
