1,山田 和佐,山田 和佐.1,2,中村 辰也,中村 辰也.1,3,佐藤　謙史朗,佐藤　謙史朗.1,4,吉田 祐貴,吉田 祐貴.1,5,佃 來紀,佃 來紀.1,6,富田 恕生,富田 恕生.1
2.0,3.0,9.5,1.0,3.0,10.6,1.0,2.0,47.2,1.0,2.0,242.8,1.0,2.0,90.3,1.0,2.0,385.0
2.0,4.0,28.9,1.0,4.0,36.3,1.0,4.0,139.1,1.0,3.0,390.0,1.0,3.0,105.5,1.0,3.0,605.1
2.0,5.0,20.5,1.0,5.0,20.5,1.0,5.0,71.3,1.0,5.0,400.2,1.0,4.0,358.8,1.0,4.0,1030.0
2.0,6.0,27.8,1.0,6.0,29.3,1.0,6.0,98.5,1.0,6.0,378.4,1.0,6.0,133.3,1.0,5.0,766.3
3.0,2.0,18.1,3.0,1.0,18.1,2.0,1.0,44.2,2.0,1.0,279.2,2.0,1.0,116.2,2.0,1.0,413.2
3.0,4.0,63.5,3.0,4.0,40.2,2.0,4.0,71.0,2.0,3.0,271.8,2.0,3.0,97.8,2.0,3.0,336.6
3.0,5.0,36.8,3.0,5.0,26.9,2.0,5.0,43.6,2.0,5.0,354.6,2.0,4.0,298.4,2.0,4.0,640.7
3.0,6.0,52.1,3.0,6.0,30.4,2.0,6.0,55.4,2.0,6.0,289.9,2.0,6.0,118.7,2.0,5.0,464.9
4.0,2.0,82.6,4.0,1.0,94.6,4.0,1.0,226.5,3.0,1.0,619.9,3.0,1.0,160.8,3.0,1.0,722.7
4.0,3.0,134.7,4.0,3.0,90.3,4.0,2.0,148.9,3.0,2.0,424.7,3.0,2.0,136.5,3.0,2.0,380.2
4.0,5.0,168.8,4.0,5.0,127.2,4.0,5.0,211.5,3.0,5.0,733.1,3.0,4.0,453.8,3.0,4.0,1303.0
4.0,6.0,120.8,4.0,6.0,110.2,4.0,6.0,204.1,3.0,6.0,712.6,3.0,6.0,180.4,3.0,5.0,680.7
5.0,2.0,47.8,5.0,1.0,58.0,5.0,1.0,100.8,5.0,1.0,506.6,4.0,1.0,612.4,4.0,1.0,1210.0
5.0,3.0,57.3,5.0,3.0,50.7,5.0,2.0,83.4,5.0,2.0,427.1,4.0,2.0,503.2,4.0,2.0,743.8
5.0,4.0,127.0,5.0,4.0,132.0,5.0,4.0,220.0,5.0,3.0,643.4,4.0,3.0,740.2,4.0,3.0,1480.0
5.0,6.0,86.1,5.0,6.0,70.5,5.0,6.0,111.5,5.0,6.0,429.5,4.0,6.0,490.3,4.0,5.0,983.8
6.0,2.0,107.3,6.0,1.0,110.9,6.0,1.0,223.2,6.0,1.0,617.3,6.0,1.0,327.9,5.0,1.0,891.7
6.0,3.0,147.0,6.0,3.0,84.3,6.0,2.0,144.1,6.0,2.0,409.9,6.0,2.0,238.6,5.0,2.0,529.5
6.0,4.0,186.8,6.0,4.0,173.6,6.0,4.0,344.2,6.0,3.0,762.4,6.0,3.0,274.2,5.0,3.0,712.6
6.0,5.0,146.7,6.0,5.0,119.1,6.0,5.0,188.9,6.0,5.0,575.4,6.0,4.0,510.0,5.0,4.0,977.5
