1,西舘 健,西舘 健.1,2,松浦 勝,松浦 勝.1,3,笠 雅雄,笠 雅雄.1,4,大崎 翔,大崎 翔.1,5,海野　ゆかり,海野　ゆかり.1,6,立間 充宏,立間 充宏.1
2.0,3.0,33.5,1.0,3.0,84.6,1.0,2.0,158.1,1.0,2.0,233.5,1.0,2.0,107.5,1.0,2.0,173.9
2.0,4.0,46.4,1.0,4.0,110.1,1.0,4.0,133.8,1.0,3.0,279.3,1.0,3.0,94.8,1.0,3.0,152.8
2.0,5.0,25.6,1.0,5.0,67.4,1.0,5.0,70.2,1.0,5.0,107.8,1.0,4.0,96.6,1.0,4.0,185.4
2.0,6.0,30.9,1.0,6.0,77.0,1.0,6.0,74.3,1.0,6.0,112.7,1.0,6.0,31.9,1.0,5.0,53.4
3.0,2.0,38.9,3.0,1.0,171.9,2.0,1.0,218.7,2.0,1.0,290.5,2.0,1.0,182.5,2.0,1.0,280.6
3.0,4.0,36.8,3.0,4.0,295.3,2.0,4.0,273.8,2.0,3.0,515.5,2.0,3.0,229.9,2.0,3.0,367.3
3.0,5.0,20.1,3.0,5.0,157.8,2.0,5.0,163.3,2.0,5.0,233.5,2.0,4.0,313.8,2.0,4.0,430.7
3.0,6.0,21.9,3.0,6.0,175.6,2.0,6.0,162.6,2.0,6.0,259.7,2.0,6.0,126.4,2.0,5.0,190.4
4.0,2.0,72.6,4.0,1.0,240.3,4.0,1.0,241.4,3.0,1.0,411.4,3.0,1.0,153.8,3.0,1.0,217.2
4.0,3.0,61.2,4.0,3.0,338.9,4.0,2.0,376.8,3.0,2.0,578.0,3.0,2.0,247.6,3.0,2.0,374.9
4.0,5.0,40.8,4.0,5.0,198.2,4.0,5.0,157.0,3.0,5.0,291.9,3.0,4.0,233.2,3.0,4.0,312.2
4.0,6.0,43.1,4.0,6.0,232.3,4.0,6.0,157.8,3.0,6.0,276.5,3.0,6.0,85.7,3.0,5.0,119.9
5.0,2.0,41.4,5.0,1.0,137.0,5.0,1.0,87.7,5.0,1.0,100.2,4.0,1.0,135.0,4.0,1.0,281.0
5.0,3.0,30.7,5.0,3.0,177.1,5.0,2.0,148.4,5.0,2.0,167.2,4.0,2.0,254.6,4.0,2.0,485.6
5.0,4.0,49.7,5.0,4.0,226.6,5.0,4.0,144.5,5.0,3.0,214.3,4.0,3.0,243.1,4.0,3.0,439.7
5.0,6.0,17.5,5.0,6.0,100.1,5.0,6.0,56.9,5.0,6.0,58.2,4.0,6.0,67.7,4.0,5.0,138.0
6.0,2.0,64.6,6.0,1.0,171.9,6.0,1.0,109.0,6.0,1.0,121.8,6.0,1.0,30.4,5.0,1.0,49.5
6.0,3.0,47.3,6.0,3.0,249.2,6.0,2.0,187.3,6.0,2.0,245.2,6.0,2.0,85.2,5.0,2.0,132.5
6.0,4.0,70.7,6.0,4.0,307.6,6.0,4.0,154.7,6.0,3.0,288.7,6.0,3.0,60.0,5.0,3.0,100.1
6.0,5.0,27.6,6.0,5.0,132.2,6.0,5.0,69.0,6.0,5.0,74.5,6.0,4.0,49.9,5.0,4.0,96.9
