1,赤羽 克也,赤羽 克也.1,2,坂元 浩仁,坂元 浩仁.1,3,松尾 充,松尾 充.1,4,平野 和明,平野 和明.1,5,芦澤 望,芦澤 望.1,6,尾崎 雄二,尾崎 雄二.1
2.0,3.0,5.3,1.0,3.0,15.4,1.0,2.0,47.8,1.0,2.0,161.8,1.0,2.0,137.2,1.0,2.0,1724.0
2.0,4.0,8.4,1.0,4.0,22.5,1.0,4.0,67.5,1.0,3.0,174.6,1.0,3.0,166.5,1.0,3.0,2407.0
2.0,5.0,11.3,1.0,5.0,26.5,1.0,5.0,74.1,1.0,5.0,264.9,1.0,4.0,295.3,1.0,4.0,2757.0
2.0,6.0,54.7,1.0,6.0,101.8,1.0,6.0,263.6,1.0,6.0,513.3,1.0,6.0,386.8,1.0,5.0,2840.0
3.0,2.0,8.2,3.0,1.0,47.7,2.0,1.0,70.5,2.0,1.0,269.3,2.0,1.0,230.0,2.0,1.0,2269.0
3.0,4.0,13.0,3.0,4.0,91.0,2.0,4.0,125.5,2.0,3.0,453.0,2.0,3.0,374.9,2.0,3.0,2432.0
3.0,5.0,15.9,3.0,5.0,112.7,2.0,5.0,127.4,2.0,5.0,552.1,2.0,4.0,616.7,2.0,4.0,3316.0
3.0,6.0,78.9,3.0,6.0,335.1,2.0,6.0,320.4,2.0,6.0,967.9,2.0,6.0,735.3,2.0,5.0,3293.0
4.0,2.0,23.5,4.0,1.0,111.3,4.0,1.0,182.7,3.0,1.0,332.8,3.0,1.0,395.5,3.0,1.0,3825.0
4.0,3.0,32.6,4.0,3.0,174.6,4.0,2.0,217.5,3.0,2.0,510.0,3.0,2.0,542.6,3.0,2.0,3248.0
4.0,5.0,47.8,4.0,5.0,248.0,4.0,5.0,284.5,3.0,5.0,637.5,3.0,4.0,969.9,3.0,4.0,3363.0
4.0,6.0,117.1,4.0,6.0,521.7,4.0,6.0,737.6,3.0,6.0,1264.0,3.0,6.0,1244.0,3.0,5.0,3825.0
5.0,2.0,31.4,5.0,1.0,125.1,5.0,1.0,202.6,5.0,1.0,501.9,4.0,1.0,820.5,4.0,1.0,5389.0
5.0,3.0,38.5,5.0,3.0,188.1,5.0,2.0,243.8,5.0,2.0,617.5,4.0,2.0,1011.0,4.0,2.0,5100.0
5.0,4.0,72.9,5.0,4.0,296.9,5.0,4.0,405.7,5.0,3.0,710.0,4.0,3.0,965.9,4.0,3.0,5329.0
5.0,6.0,129.6,5.0,6.0,498.2,5.0,6.0,646.1,5.0,6.0,859.2,4.0,6.0,1281.0,4.0,5.0,4474.0
6.0,2.0,263.0,6.0,1.0,672.7,6.0,1.0,1182.0,6.0,1.0,1731.0,6.0,1.0,1092.0,5.0,1.0,3100.0
6.0,3.0,302.1,6.0,3.0,952.4,6.0,2.0,1035.0,6.0,2.0,2206.0,6.0,2.0,1191.0,5.0,2.0,3734.0
6.0,4.0,298.1,6.0,4.0,1092.0,6.0,4.0,1591.0,6.0,3.0,2325.0,6.0,3.0,1386.0,5.0,3.0,4019.0
6.0,5.0,338.7,6.0,5.0,1026.0,6.0,5.0,1386.0,6.0,5.0,1664.0,6.0,4.0,1687.0,5.0,4.0,4160.0
