1,常住 蓮,常住 蓮.1,2,荒川 健太,荒川 健太.1,3,小林 基樹,小林 基樹.1,4,佐藤 航,佐藤 航.1,5,原村 拓也,原村 拓也.1,6,田邉 亮蔵,田邉 亮蔵.1
2.0,3.0,7.2,1.0,3.0,34.7,1.0,2.0,205.4,1.0,2.0,30.8,1.0,2.0,276.4,1.0,2.0,1492.0
2.0,4.0,3.3,1.0,4.0,19.0,1.0,4.0,258.3,1.0,3.0,109.6,1.0,3.0,489.1,1.0,3.0,2583.0
2.0,5.0,18.4,1.0,5.0,65.2,1.0,5.0,501.3,1.0,5.0,62.1,1.0,4.0,330.9,1.0,4.0,1399.0
2.0,6.0,63.1,1.0,6.0,179.7,1.0,6.0,724.9,1.0,6.0,143.7,1.0,6.0,510.2,1.0,5.0,1995.0
3.0,2.0,20.6,3.0,1.0,164.9,2.0,1.0,306.7,2.0,1.0,48.6,2.0,1.0,380.2,2.0,1.0,2121.0
3.0,4.0,20.6,3.0,4.0,217.6,2.0,4.0,359.2,2.0,3.0,183.5,2.0,3.0,1515.0,2.0,3.0,3535.0
3.0,5.0,55.1,3.0,5.0,466.5,2.0,5.0,987.9,2.0,5.0,118.9,2.0,4.0,790.3,2.0,4.0,1919.0
3.0,6.0,113.0,3.0,6.0,746.4,2.0,6.0,1017.0,2.0,6.0,256.7,2.0,6.0,697.3,2.0,5.0,1206.0
4.0,2.0,6.8,4.0,1.0,54.1,4.0,1.0,425.1,3.0,1.0,262.4,3.0,1.0,641.8,3.0,1.0,2214.0
4.0,3.0,19.3,4.0,3.0,156.4,4.0,2.0,497.6,3.0,2.0,345.1,3.0,2.0,1901.0,3.0,2.0,3875.0
4.0,5.0,25.4,4.0,5.0,184.7,4.0,5.0,887.8,3.0,5.0,500.1,3.0,4.0,1849.0,3.0,4.0,3149.0
4.0,6.0,60.1,4.0,6.0,315.8,4.0,6.0,1138.0,3.0,6.0,861.2,3.0,6.0,2428.0,3.0,5.0,4113.0
5.0,2.0,63.0,5.0,1.0,256.4,5.0,1.0,832.8,5.0,1.0,92.7,4.0,1.0,322.4,4.0,1.0,1380.0
5.0,3.0,116.7,5.0,3.0,635.7,5.0,2.0,1283.0,5.0,2.0,117.1,4.0,2.0,391.3,4.0,2.0,1815.0
5.0,4.0,66.4,5.0,4.0,391.3,5.0,4.0,1352.0,5.0,3.0,312.9,4.0,3.0,793.4,4.0,3.0,2035.0
5.0,6.0,179.7,5.0,6.0,540.3,5.0,6.0,1574.0,5.0,6.0,176.7,4.0,6.0,667.3,4.0,5.0,1975.0
6.0,2.0,268.0,6.0,1.0,732.8,6.0,1.0,1171.0,6.0,1.0,290.8,6.0,1.0,825.9,5.0,1.0,2551.0
6.0,3.0,391.3,6.0,3.0,1409.0,6.0,2.0,2056.0,6.0,2.0,358.6,6.0,2.0,933.0,5.0,2.0,1171.0
6.0,4.0,231.1,6.0,4.0,727.5,6.0,4.0,1901.0,6.0,3.0,591.0,6.0,3.0,2920.0,5.0,3.0,4030.0
6.0,5.0,330.9,6.0,5.0,654.3,6.0,5.0,1995.0,6.0,5.0,416.4,6.0,4.0,1380.0,5.0,4.0,2239.0
