1,木村 仁紀,木村 仁紀.1,2,繁野谷　圭介,繁野谷　圭介.1,3,野中 義生,野中 義生.1,4,今村 暢孝,今村 暢孝.1,5,高山 智至,高山 智至.1,6,大橋　栄里佳,大橋　栄里佳.1
2.0,3.0,18.2,1.0,3.0,53.5,1.0,2.0,120.4,1.0,2.0,14.0,1.0,2.0,413.8,1.0,2.0,1093.0
2.0,4.0,8.3,1.0,4.0,34.5,1.0,4.0,87.8,1.0,3.0,22.4,1.0,3.0,420.0,1.0,3.0,1668.0
2.0,5.0,32.2,1.0,5.0,89.5,1.0,5.0,128.7,1.0,5.0,32.9,1.0,4.0,304.3,1.0,4.0,947.6
2.0,6.0,57.9,1.0,6.0,118.3,1.0,6.0,209.9,1.0,6.0,56.6,1.0,6.0,668.9,1.0,5.0,1599.0
3.0,2.0,30.8,3.0,1.0,76.0,2.0,1.0,137.2,2.0,1.0,38.2,2.0,1.0,599.2,2.0,1.0,1736.0
3.0,4.0,23.7,3.0,4.0,79.5,2.0,4.0,144.4,2.0,3.0,79.4,2.0,3.0,893.8,2.0,3.0,2488.0
3.0,5.0,54.2,3.0,5.0,98.4,2.0,5.0,157.4,2.0,5.0,118.2,2.0,4.0,743.8,2.0,4.0,2016.0
3.0,6.0,90.6,3.0,6.0,132.7,2.0,6.0,233.2,2.0,6.0,176.4,2.0,6.0,1122.0,2.0,5.0,2642.0
4.0,2.0,5.7,4.0,1.0,50.8,4.0,1.0,124.7,3.0,1.0,94.3,3.0,1.0,607.8,3.0,1.0,2417.0
4.0,3.0,9.7,4.0,3.0,88.2,4.0,2.0,164.4,3.0,2.0,144.5,3.0,2.0,799.7,3.0,2.0,2563.0
4.0,5.0,17.6,4.0,5.0,137.6,4.0,5.0,204.8,3.0,5.0,196.2,3.0,4.0,745.1,3.0,4.0,2275.0
4.0,6.0,31.5,4.0,6.0,163.3,4.0,6.0,302.4,3.0,6.0,305.4,3.0,6.0,933.0,3.0,5.0,2642.0
5.0,2.0,98.2,5.0,1.0,194.5,5.0,1.0,198.6,5.0,1.0,172.0,4.0,1.0,409.9,4.0,1.0,1205.0
5.0,3.0,111.0,5.0,3.0,210.8,5.0,2.0,266.2,5.0,2.0,288.6,4.0,2.0,673.2,4.0,2.0,1795.0
5.0,4.0,73.5,5.0,4.0,222.5,5.0,4.0,244.8,5.0,3.0,345.6,4.0,3.0,762.5,4.0,3.0,2095.0
5.0,6.0,252.3,5.0,6.0,307.8,5.0,6.0,300.4,5.0,6.0,513.2,4.0,6.0,1066.0,4.0,5.0,2488.0
6.0,2.0,226.3,6.0,1.0,373.5,6.0,1.0,489.6,6.0,1.0,306.3,6.0,1.0,1462.0,5.0,1.0,2727.0
6.0,3.0,275.2,6.0,3.0,484.0,6.0,2.0,583.6,6.0,2.0,456.0,6.0,2.0,1541.0,5.0,2.0,2710.0
6.0,4.0,157.5,6.0,4.0,379.5,6.0,4.0,527.2,6.0,3.0,659.6,6.0,3.0,1552.0,5.0,3.0,2626.0
6.0,5.0,408.3,6.0,5.0,565.8,6.0,5.0,526.5,6.0,5.0,785.0,6.0,4.0,1605.0,5.0,4.0,2874.0
