1,伊藤 誠二,伊藤 誠二.1,2,山ノ内　雅人,山ノ内　雅人.1,3,下河 雅史,下河 雅史.1,4,鈴木 峻佑,鈴木 峻佑.1,5,中川 りな,中川 りな.1,6,山本 修一,山本 修一.1
2.0,3.0,5.7,1.0,3.0,12.9,1.0,2.0,87.7,1.0,2.0,174.0,1.0,2.0,134.5,1.0,2.0,191.4
2.0,4.0,16.1,1.0,4.0,29.5,1.0,4.0,222.8,1.0,3.0,286.2,1.0,3.0,244.9,1.0,3.0,480.8
2.0,5.0,9.6,1.0,5.0,22.1,1.0,5.0,159.0,1.0,5.0,207.7,1.0,4.0,362.8,1.0,4.0,821.4
2.0,6.0,10.3,1.0,6.0,20.1,1.0,6.0,138.2,1.0,6.0,200.0,1.0,6.0,184.7,1.0,5.0,485.3
3.0,2.0,14.2,3.0,1.0,49.4,2.0,1.0,106.0,2.0,1.0,208.6,2.0,1.0,186.1,2.0,1.0,244.8
3.0,4.0,44.8,3.0,4.0,171.2,2.0,4.0,291.0,2.0,3.0,439.7,2.0,3.0,422.9,2.0,3.0,619.0
3.0,5.0,27.5,3.0,5.0,100.1,2.0,5.0,213.8,2.0,5.0,353.8,2.0,4.0,534.7,2.0,4.0,923.7
3.0,6.0,30.6,3.0,6.0,104.0,2.0,6.0,202.8,2.0,6.0,287.6,2.0,6.0,305.8,2.0,5.0,594.6
4.0,2.0,51.0,4.0,1.0,111.8,4.0,1.0,519.9,3.0,1.0,656.4,3.0,1.0,514.7,3.0,1.0,760.0
4.0,3.0,82.7,4.0,3.0,223.4,4.0,2.0,605.4,3.0,2.0,845.2,3.0,2.0,583.5,3.0,2.0,948.0
4.0,5.0,82.5,4.0,5.0,209.2,4.0,5.0,736.0,3.0,5.0,1076.0,3.0,4.0,1210.0,3.0,4.0,1825.0
4.0,6.0,92.6,4.0,6.0,212.6,4.0,6.0,749.0,3.0,6.0,804.4,3.0,6.0,779.0,3.0,5.0,1600.0
5.0,2.0,33.3,5.0,1.0,78.2,5.0,1.0,315.1,5.0,1.0,261.1,4.0,1.0,431.5,4.0,1.0,1249.0
5.0,3.0,63.4,5.0,3.0,164.9,5.0,2.0,381.2,5.0,2.0,321.6,4.0,2.0,443.0,4.0,2.0,1301.0
5.0,4.0,103.8,5.0,4.0,245.3,5.0,4.0,723.5,5.0,3.0,693.4,4.0,3.0,1038.0,4.0,3.0,2280.0
5.0,6.0,62.4,5.0,6.0,145.0,5.0,6.0,475.4,5.0,6.0,279.3,4.0,6.0,419.5,4.0,5.0,1287.0
6.0,2.0,37.9,6.0,1.0,83.2,6.0,1.0,335.0,6.0,1.0,370.6,6.0,1.0,254.7,5.0,1.0,540.3
6.0,3.0,66.9,6.0,3.0,179.8,6.0,2.0,476.9,6.0,2.0,499.3,6.0,2.0,278.7,5.0,2.0,604.6
6.0,4.0,163.4,6.0,4.0,296.0,6.0,4.0,959.7,6.0,3.0,881.9,6.0,3.0,543.4,5.0,3.0,1366.0
6.0,5.0,89.2,6.0,5.0,166.8,6.0,5.0,660.1,6.0,5.0,417.3,6.0,4.0,509.7,5.0,4.0,1189.0
