1,北村 征嗣,北村 征嗣.1,2,盛本 真輔,盛本 真輔.1,3,嶋 義信,嶋 義信.1,4,日高 逸子,日高 逸子.1,5,金子 貴志,金子 貴志.1,6,江本 真治,江本 真治.1
2.0,3.0,6.7,1.0,3.0,55.6,1.0,2.0,51.8,1.0,2.0,135.4,1.0,2.0,484.0,1.0,2.0,974.6
2.0,4.0,10.2,1.0,4.0,85.3,1.0,4.0,41.7,1.0,3.0,99.7,1.0,3.0,465.8,1.0,3.0,591.7
2.0,5.0,22.5,1.0,5.0,147.2,1.0,5.0,74.9,1.0,5.0,174.1,1.0,4.0,527.9,1.0,4.0,683.6
2.0,6.0,28.1,1.0,6.0,196.5,1.0,6.0,76.6,1.0,6.0,144.4,1.0,6.0,588.7,1.0,5.0,1359.0
3.0,2.0,7.4,3.0,1.0,130.7,2.0,1.0,125.3,2.0,1.0,299.7,2.0,1.0,906.7,2.0,1.0,1799.0
3.0,4.0,7.3,3.0,4.0,211.5,2.0,4.0,202.9,2.0,3.0,599.5,2.0,3.0,1482.0,2.0,3.0,2762.0
3.0,5.0,17.0,3.0,5.0,292.5,2.0,5.0,303.2,2.0,5.0,814.9,2.0,4.0,2107.0,2.0,4.0,2692.0
3.0,6.0,19.0,3.0,6.0,359.1,2.0,6.0,345.9,2.0,6.0,750.6,2.0,6.0,2065.0,2.0,5.0,3959.0
4.0,2.0,14.2,4.0,1.0,258.0,4.0,1.0,126.2,3.0,1.0,185.4,3.0,1.0,855.3,3.0,1.0,915.4
4.0,3.0,12.3,4.0,3.0,402.8,4.0,2.0,311.1,3.0,2.0,508.9,3.0,2.0,1435.0,3.0,2.0,2836.0
4.0,5.0,30.8,4.0,5.0,725.9,4.0,5.0,331.3,3.0,5.0,631.8,3.0,4.0,1641.0,3.0,4.0,1632.0
4.0,6.0,26.9,4.0,6.0,624.3,4.0,6.0,283.6,3.0,6.0,444.4,3.0,6.0,2009.0,3.0,5.0,3943.0
5.0,2.0,53.4,5.0,1.0,520.1,5.0,1.0,374.5,5.0,1.0,313.7,4.0,1.0,784.0,4.0,1.0,837.9
5.0,3.0,47.8,5.0,3.0,722.6,5.0,2.0,622.3,5.0,2.0,670.6,4.0,2.0,1607.0,4.0,2.0,2568.0
5.0,4.0,67.8,5.0,4.0,1084.0,5.0,4.0,570.0,5.0,3.0,630.1,4.0,3.0,1450.0,4.0,3.0,1515.0
5.0,6.0,81.0,5.0,6.0,1346.0,5.0,6.0,730.9,5.0,6.0,410.8,4.0,6.0,968.6,4.0,5.0,1845.0
6.0,2.0,96.4,6.0,1.0,839.4,6.0,1.0,333.9,6.0,1.0,324.6,6.0,1.0,1227.0,5.0,1.0,2009.0
6.0,3.0,76.4,6.0,3.0,1093.0,6.0,2.0,899.0,6.0,2.0,822.7,6.0,2.0,2329.0,5.0,2.0,3697.0
6.0,4.0,85.6,6.0,4.0,1307.0,6.0,4.0,619.8,6.0,3.0,572.4,6.0,3.0,2199.0,5.0,3.0,3741.0
6.0,5.0,122.6,6.0,5.0,1796.0,6.0,5.0,1035.0,6.0,5.0,648.2,6.0,4.0,1428.0,5.0,4.0,1955.0
