1,津留　浩一郎,津留　浩一郎.1,2,山本 修一,山本 修一.1,3,杉山 勝匡,杉山 勝匡.1,4,岡 暢祐,岡 暢祐.1,5,大賀　龍之介,大賀　龍之介.1,6,江本 真治,江本 真治.1
2.0,3.0,6.6,1.0,3.0,11.0,1.0,2.0,76.3,1.0,2.0,378.4,1.0,2.0,88.3,1.0,2.0,126.5
2.0,4.0,30.5,1.0,4.0,41.1,1.0,4.0,296.9,1.0,3.0,857.8,1.0,3.0,211.3,1.0,3.0,352.0
2.0,5.0,12.1,1.0,5.0,16.1,1.0,5.0,148.7,1.0,5.0,699.7,1.0,4.0,450.6,1.0,4.0,897.7
2.0,6.0,9.7,1.0,6.0,11.3,1.0,6.0,160.0,1.0,6.0,514.7,1.0,6.0,110.5,1.0,5.0,282.8
3.0,2.0,19.0,3.0,1.0,40.1,2.0,1.0,82.6,2.0,1.0,473.6,2.0,1.0,103.5,2.0,1.0,129.6
3.0,4.0,83.5,3.0,4.0,149.5,2.0,4.0,277.3,2.0,3.0,685.2,2.0,3.0,226.6,2.0,3.0,252.3
3.0,5.0,43.8,3.0,5.0,73.7,2.0,5.0,131.3,2.0,5.0,645.1,2.0,4.0,422.6,2.0,4.0,562.1
3.0,6.0,45.5,3.0,6.0,51.4,2.0,6.0,99.3,2.0,6.0,408.5,2.0,6.0,91.9,2.0,5.0,206.8
4.0,2.0,93.2,4.0,1.0,156.2,4.0,1.0,661.7,3.0,1.0,1338.0,3.0,1.0,410.6,3.0,1.0,606.3
4.0,3.0,181.6,4.0,3.0,275.7,4.0,2.0,521.6,3.0,2.0,965.1,3.0,2.0,415.8,3.0,2.0,414.3
4.0,5.0,189.3,4.0,5.0,261.4,4.0,5.0,699.7,3.0,5.0,1395.0,3.0,4.0,1092.0,3.0,4.0,1354.0
4.0,6.0,200.7,4.0,6.0,192.2,4.0,6.0,710.5,3.0,6.0,1465.0,3.0,6.0,473.6,3.0,5.0,812.7
5.0,2.0,33.2,5.0,1.0,55.7,5.0,1.0,316.8,5.0,1.0,857.8,4.0,1.0,1113.0,4.0,1.0,1554.0
5.0,3.0,72.4,5.0,3.0,105.0,5.0,2.0,249.0,5.0,2.0,790.5,4.0,2.0,926.5,4.0,2.0,1077.0
5.0,4.0,204.4,5.0,4.0,233.4,5.0,4.0,699.7,5.0,3.0,1245.0,4.0,3.0,1395.0,4.0,3.0,1883.0
5.0,6.0,61.5,5.0,6.0,62.4,5.0,6.0,320.8,5.0,6.0,839.2,4.0,6.0,945.4,4.0,5.0,1642.0
6.0,2.0,41.5,6.0,1.0,37.6,6.0,1.0,361.9,6.0,1.0,887.4,6.0,1.0,135.5,5.0,1.0,267.4
6.0,3.0,98.9,6.0,3.0,77.1,6.0,2.0,239.0,6.0,2.0,675.2,6.0,2.0,113.3,5.0,2.0,218.9
6.0,4.0,230.4,6.0,4.0,191.2,6.0,4.0,861.0,6.0,3.0,1678.0,6.0,3.0,319.0,5.0,3.0,522.8
6.0,5.0,92.0,6.0,5.0,71.6,6.0,5.0,514.7,6.0,5.0,1265.0,6.0,4.0,472.7,5.0,4.0,812.7
