1,生方 靖亜,生方 靖亜.1,2,大場 恒季,大場 恒季.1,3,大原 祥昌,大原 祥昌.1,4,小林 京平,小林 京平.1,5,嘉手苅　徹哉,嘉手苅　徹哉.1,6,水谷 理人,水谷 理人.1
2.0,3.0,7.7,1.0,3.0,9.8,1.0,2.0,41.6,1.0,2.0,147.4,1.0,2.0,689.7,1.0,2.0,45.1
2.0,4.0,27.4,1.0,4.0,37.7,1.0,4.0,89.1,1.0,3.0,302.2,1.0,3.0,960.3,1.0,3.0,84.0
2.0,5.0,78.1,1.0,5.0,110.1,1.0,5.0,199.4,1.0,5.0,480.1,1.0,4.0,983.0,1.0,4.0,160.0
2.0,6.0,13.0,1.0,6.0,14.5,1.0,6.0,43.7,1.0,6.0,148.6,1.0,6.0,643.5,1.0,5.0,345.8
3.0,2.0,14.5,3.0,1.0,28.8,2.0,1.0,52.2,2.0,1.0,170.0,2.0,1.0,826.8,2.0,1.0,51.2
3.0,4.0,45.2,3.0,4.0,69.6,2.0,4.0,110.3,2.0,3.0,356.7,2.0,3.0,1300.0,2.0,3.0,66.1
3.0,5.0,120.7,3.0,5.0,191.1,2.0,5.0,238.2,2.0,5.0,627.3,2.0,4.0,1504.0,2.0,4.0,118.0
3.0,6.0,24.3,3.0,6.0,28.6,2.0,6.0,46.8,2.0,6.0,148.9,2.0,6.0,689.7,2.0,5.0,318.4
4.0,2.0,64.3,4.0,1.0,96.3,4.0,1.0,205.3,3.0,1.0,462.4,3.0,1.0,1261.0,3.0,1.0,133.6
4.0,3.0,98.6,4.0,3.0,150.0,4.0,2.0,192.6,3.0,2.0,445.8,3.0,2.0,1177.0,3.0,2.0,108.7
4.0,5.0,297.9,4.0,5.0,427.5,4.0,5.0,342.0,3.0,5.0,873.0,3.0,4.0,2046.0,3.0,4.0,220.5
4.0,6.0,84.3,4.0,6.0,87.0,4.0,6.0,160.8,3.0,6.0,318.4,3.0,6.0,810.7,3.0,5.0,682.2
5.0,2.0,260.6,5.0,1.0,326.8,5.0,1.0,439.6,5.0,1.0,633.7,4.0,1.0,1134.0,4.0,1.0,213.7
5.0,3.0,366.1,5.0,3.0,464.1,5.0,2.0,432.0,5.0,2.0,559.8,4.0,2.0,1212.0,4.0,2.0,181.2
5.0,4.0,554.8,5.0,4.0,721.6,5.0,4.0,453.9,5.0,3.0,967.8,4.0,3.0,1758.0,4.0,3.0,295.1
5.0,6.0,269.6,5.0,6.0,317.6,5.0,6.0,393.8,5.0,6.0,388.9,4.0,6.0,770.6,4.0,5.0,531.2
6.0,2.0,28.5,6.0,1.0,31.4,6.0,1.0,95.8,6.0,1.0,163.6,6.0,1.0,765.9,5.0,1.0,570.0
6.0,3.0,45.6,6.0,3.0,44.7,6.0,2.0,70.8,6.0,2.0,136.7,6.0,2.0,674.8,5.0,2.0,549.9
6.0,4.0,94.2,6.0,4.0,84.2,6.0,4.0,156.2,6.0,3.0,236.4,6.0,3.0,1166.0,5.0,3.0,967.8
6.0,5.0,197.2,6.0,5.0,199.4,6.0,5.0,306.7,6.0,5.0,336.5,6.0,4.0,911.3,5.0,4.0,701.4
