1,木村 仁紀,木村 仁紀.1,2,河野 真也,河野 真也.1,3,藤田 美代,藤田 美代.1,4,佐々木　完太,佐々木　完太.1,5,内山 峻輔,内山 峻輔.1,6,堀本 翔太,堀本 翔太.1
2.0,3.0,11.3,1.0,3.0,76.6,1.0,2.0,253.4,1.0,2.0,23.8,1.0,2.0,171.4,1.0,2.0,2228.0
2.0,4.0,4.7,1.0,4.0,33.7,1.0,4.0,227.4,1.0,3.0,90.4,1.0,3.0,466.3,1.0,3.0,3031.0
2.0,5.0,13.1,1.0,5.0,77.2,1.0,5.0,469.5,1.0,5.0,31.1,1.0,4.0,156.8,1.0,4.0,1649.0
2.0,6.0,62.4,1.0,6.0,280.2,1.0,6.0,1038.0,1.0,6.0,95.3,1.0,6.0,411.4,1.0,5.0,3926.0
3.0,2.0,24.0,3.0,1.0,254.1,2.0,1.0,364.2,2.0,1.0,52.8,2.0,1.0,312.5,2.0,1.0,3351.0
3.0,4.0,22.4,3.0,4.0,366.1,2.0,4.0,587.2,2.0,3.0,232.2,2.0,3.0,981.6,2.0,3.0,5975.0
3.0,5.0,48.3,3.0,5.0,606.2,2.0,5.0,916.1,2.0,5.0,93.8,2.0,4.0,421.9,2.0,4.0,3648.0
3.0,6.0,149.5,3.0,6.0,1300.0,2.0,6.0,1365.0,2.0,6.0,227.7,2.0,6.0,785.3,2.0,5.0,4632.0
4.0,2.0,5.6,4.0,1.0,73.6,4.0,1.0,380.3,3.0,1.0,333.2,3.0,1.0,1038.0,3.0,1.0,3616.0
4.0,3.0,15.5,4.0,3.0,252.3,4.0,2.0,649.2,3.0,2.0,479.3,3.0,2.0,1365.0,3.0,2.0,6153.0
4.0,5.0,11.4,4.0,5.0,202.6,4.0,5.0,943.4,3.0,5.0,523.8,3.0,4.0,1284.0,3.0,4.0,5153.0
4.0,6.0,48.7,4.0,6.0,561.6,4.0,6.0,1526.0,3.0,6.0,912.1,3.0,6.0,1891.0,3.0,5.0,6544.0
5.0,2.0,29.8,5.0,1.0,258.3,5.0,1.0,998.2,5.0,1.0,50.1,4.0,1.0,161.9,4.0,1.0,1710.0
5.0,3.0,64.8,5.0,3.0,749.6,5.0,2.0,1483.0,5.0,2.0,75.3,4.0,2.0,278.7,4.0,2.0,3714.0
5.0,4.0,31.4,5.0,4.0,376.1,5.0,4.0,1402.0,5.0,3.0,302.9,4.0,3.0,791.3,4.0,3.0,5497.0
5.0,6.0,114.9,5.0,6.0,902.1,5.0,6.0,2204.0,5.0,6.0,124.8,4.0,6.0,405.7,4.0,5.0,3889.0
6.0,2.0,259.6,6.0,1.0,1446.0,6.0,1.0,2411.0,6.0,1.0,358.5,6.0,1.0,1161.0,5.0,1.0,4041.0
6.0,3.0,429.0,6.0,3.0,2883.0,6.0,2.0,4164.0,6.0,2.0,496.1,6.0,2.0,1374.0,5.0,2.0,4967.0
6.0,4.0,226.9,6.0,4.0,1732.0,6.0,4.0,3616.0,6.0,3.0,1093.0,6.0,3.0,2694.0,5.0,3.0,5975.0
6.0,5.0,349.0,6.0,5.0,2158.0,6.0,5.0,4967.0,6.0,5.0,401.0,6.0,4.0,1171.0,5.0,4.0,3782.0
