1,竹田 和哉,竹田 和哉.1,2,峰重 侑治,峰重 侑治.1,3,間野 兼礼,間野 兼礼.1,4,下寺 秀和,下寺 秀和.1,5,大江 純,大江 純.1,6,川口 貴久,川口 貴久.1
2.0,3.0,9.9,1.0,3.0,92.4,1.0,2.0,161.1,1.0,2.0,35.4,1.0,2.0,839.3,1.0,2.0,310.2
2.0,4.0,6.2,1.0,4.0,48.9,1.0,4.0,90.2,1.0,3.0,65.7,1.0,3.0,865.4,1.0,3.0,574.7
2.0,5.0,48.9,1.0,5.0,172.4,1.0,5.0,324.2,1.0,5.0,84.6,1.0,4.0,568.8,1.0,4.0,253.0
2.0,6.0,24.4,1.0,6.0,134.9,1.0,6.0,182.1,1.0,6.0,51.1,1.0,6.0,893.2,1.0,5.0,984.1
3.0,2.0,12.6,3.0,1.0,289.2,2.0,1.0,396.4,2.0,1.0,83.6,2.0,1.0,1202.0,2.0,1.0,534.6
3.0,4.0,8.8,3.0,4.0,362.2,2.0,4.0,372.5,2.0,3.0,251.8,2.0,3.0,1838.0,2.0,3.0,1544.0
3.0,5.0,53.8,3.0,5.0,1039.0,2.0,5.0,802.9,2.0,5.0,218.0,2.0,4.0,829.9,2.0,4.0,848.9
3.0,6.0,27.7,3.0,6.0,879.1,2.0,6.0,756.5,2.0,6.0,182.9,2.0,6.0,1659.0,2.0,5.0,1751.0
4.0,2.0,7.2,4.0,1.0,115.9,4.0,1.0,211.0,3.0,1.0,182.0,3.0,1.0,1316.0,3.0,1.0,1029.0
4.0,3.0,8.7,4.0,3.0,329.0,4.0,2.0,388.1,3.0,2.0,331.4,3.0,2.0,1985.0,3.0,2.0,2471.0
4.0,5.0,31.5,4.0,5.0,377.6,4.0,5.0,621.2,3.0,5.0,489.9,3.0,4.0,1492.0,3.0,4.0,1523.0
4.0,6.0,13.9,4.0,6.0,313.2,4.0,6.0,478.3,3.0,6.0,423.6,3.0,6.0,2021.0,3.0,5.0,3005.0
5.0,2.0,161.7,5.0,1.0,621.2,5.0,1.0,971.2,5.0,1.0,160.8,4.0,1.0,699.4,4.0,1.0,380.8
5.0,3.0,137.4,5.0,3.0,934.5,5.0,2.0,1372.0,5.0,2.0,198.0,4.0,2.0,774.9,4.0,2.0,823.7
5.0,4.0,121.1,5.0,4.0,772.2,5.0,4.0,1074.0,5.0,3.0,414.1,4.0,3.0,1523.0,4.0,3.0,1263.0
5.0,6.0,146.0,5.0,6.0,1710.0,5.0,6.0,1600.0,5.0,6.0,215.9,4.0,6.0,979.8,4.0,5.0,1444.0
6.0,2.0,61.7,6.0,1.0,506.6,6.0,1.0,934.5,6.0,1.0,122.7,6.0,1.0,1600.0,5.0,1.0,1425.0
6.0,3.0,75.1,6.0,3.0,1710.0,6.0,2.0,1710.0,6.0,2.0,202.5,6.0,2.0,1951.0,5.0,2.0,2499.0
6.0,4.0,44.3,6.0,4.0,692.8,6.0,4.0,911.5,6.0,3.0,362.2,6.0,3.0,2780.0,5.0,3.0,3046.0
6.0,5.0,154.0,6.0,5.0,1779.0,6.0,5.0,2316.0,6.0,5.0,269.9,6.0,4.0,1390.0,5.0,4.0,1793.0
