1,長尾 章平,長尾 章平.1,2,牧原 崇,牧原 崇.1,3,梶野 学志,梶野 学志.1,4,冨田 秀幸,冨田 秀幸.1,5,松尾 充,松尾 充.1,6,林 恵祐,林 恵祐.1
2.0,3.0,6.2,1.0,3.0,26.2,1.0,2.0,31.4,1.0,2.0,669.5,1.0,2.0,63.6,1.0,2.0,1614.0
2.0,4.0,28.3,1.0,4.0,78.7,1.0,4.0,80.4,1.0,3.0,774.3,1.0,3.0,61.8,1.0,3.0,2453.0
2.0,5.0,8.3,1.0,5.0,30.0,1.0,5.0,26.4,1.0,5.0,654.2,1.0,4.0,260.1,1.0,4.0,3033.0
2.0,6.0,63.5,1.0,6.0,165.0,1.0,6.0,162.8,1.0,6.0,1256.0,1.0,6.0,213.5,1.0,5.0,2158.0
3.0,2.0,6.8,3.0,1.0,60.5,2.0,1.0,65.2,2.0,1.0,963.2,2.0,1.0,134.8,2.0,1.0,2661.0
3.0,4.0,26.8,3.0,4.0,225.1,2.0,4.0,255.6,2.0,3.0,1474.0,2.0,3.0,205.3,2.0,3.0,3376.0
3.0,5.0,6.6,3.0,5.0,90.2,2.0,5.0,104.8,2.0,5.0,1322.0,2.0,4.0,638.2,2.0,4.0,4301.0
3.0,6.0,55.5,3.0,6.0,340.7,2.0,6.0,383.6,2.0,6.0,2227.0,2.0,6.0,514.3,2.0,5.0,3271.0
4.0,2.0,72.3,4.0,1.0,299.0,4.0,1.0,339.8,3.0,1.0,1026.0,3.0,1.0,122.6,3.0,1.0,2828.0
4.0,3.0,78.0,4.0,3.0,513.0,4.0,2.0,461.4,3.0,2.0,1467.0,3.0,2.0,219.7,3.0,2.0,3204.0
4.0,5.0,87.2,4.0,5.0,540.0,4.0,5.0,392.5,3.0,5.0,1292.0,3.0,4.0,669.5,3.0,4.0,4214.0
4.0,6.0,179.1,4.0,6.0,872.2,4.0,6.0,681.1,3.0,6.0,2472.0,3.0,6.0,679.6,3.0,5.0,3588.0
5.0,2.0,15.0,5.0,1.0,87.9,5.0,1.0,64.5,5.0,1.0,779.1,4.0,1.0,712.0,4.0,1.0,4686.0
5.0,3.0,14.3,5.0,3.0,136.4,5.0,2.0,121.0,5.0,2.0,1146.0,4.0,2.0,967.6,4.0,2.0,5509.0
5.0,4.0,67.6,5.0,4.0,414.2,5.0,4.0,290.4,5.0,3.0,1336.0,4.0,3.0,1111.0,4.0,3.0,5190.0
5.0,6.0,66.3,5.0,6.0,441.9,5.0,6.0,340.2,5.0,6.0,1437.0,4.0,6.0,1205.0,4.0,5.0,4984.0
6.0,2.0,225.9,6.0,1.0,960.2,6.0,1.0,923.5,6.0,1.0,2573.0,6.0,1.0,724.3,5.0,1.0,2649.0
6.0,3.0,263.4,6.0,3.0,1302.0,6.0,2.0,1148.0,6.0,2.0,3271.0,6.0,2.0,1069.0,5.0,2.0,3806.0
6.0,4.0,348.1,6.0,4.0,1968.0,6.0,4.0,1852.0,6.0,3.0,3829.0,6.0,3.0,1191.0,5.0,3.0,4243.0
6.0,5.0,248.3,6.0,5.0,1289.0,6.0,5.0,1051.0,6.0,5.0,3171.0,6.0,4.0,1852.0,5.0,4.0,4794.0
