1,篠崎 仁志,篠崎 仁志.1,2,宮野 仁,宮野 仁.1,3,富永 修一,富永 修一.1,4,井川 大作,井川 大作.1,5,梅原 祥平,梅原 祥平.1,6,川島 圭司,川島 圭司.1
2.0,3.0,3.9,1.0,3.0,72.7,1.0,2.0,96.5,1.0,2.0,194.7,1.0,2.0,1148.0,1.0,2.0,180.4
2.0,4.0,7.1,1.0,4.0,119.6,1.0,4.0,153.7,1.0,3.0,289.1,1.0,3.0,1607.0,1.0,3.0,224.1
2.0,5.0,55.1,1.0,5.0,453.8,1.0,5.0,447.5,1.0,5.0,519.9,1.0,4.0,1455.0,1.0,4.0,330.8
2.0,6.0,9.1,1.0,6.0,148.6,1.0,6.0,176.8,1.0,6.0,237.6,1.0,6.0,1948.0,1.0,5.0,770.0
3.0,2.0,5.2,3.0,1.0,214.0,2.0,1.0,193.5,2.0,1.0,483.4,2.0,1.0,1998.0,2.0,1.0,491.4
3.0,4.0,10.0,3.0,4.0,719.7,2.0,4.0,710.4,2.0,3.0,1213.0,2.0,3.0,3709.0,2.0,3.0,903.4
3.0,5.0,58.2,3.0,5.0,1587.0,2.0,5.0,1543.0,2.0,5.0,1761.0,2.0,4.0,4148.0,2.0,4.0,1131.0
3.0,6.0,11.7,3.0,6.0,763.9,2.0,6.0,851.6,2.0,6.0,661.7,2.0,6.0,3325.0,2.0,5.0,2179.0
4.0,2.0,17.7,4.0,1.0,503.6,4.0,1.0,522.0,3.0,1.0,711.7,3.0,1.0,2795.0,3.0,1.0,626.2
4.0,3.0,23.4,4.0,3.0,1083.0,4.0,2.0,1031.0,3.0,2.0,1179.0,3.0,2.0,3384.0,3.0,2.0,1269.0
4.0,5.0,101.8,4.0,5.0,2426.0,4.0,5.0,1325.0,3.0,5.0,2642.0,3.0,4.0,3977.0,3.0,4.0,1722.0
4.0,6.0,31.7,4.0,6.0,1031.0,4.0,6.0,1105.0,3.0,6.0,1325.0,3.0,6.0,4434.0,3.0,5.0,3061.0
5.0,2.0,204.2,5.0,1.0,1707.0,5.0,1.0,1786.0,5.0,1.0,1358.0,4.0,1.0,1988.0,4.0,1.0,515.7
5.0,3.0,227.0,5.0,3.0,3269.0,5.0,2.0,2642.0,5.0,2.0,1958.0,4.0,2.0,3325.0,4.0,2.0,901.3
5.0,4.0,298.3,5.0,4.0,3354.0,5.0,4.0,2191.0,5.0,3.0,2624.0,4.0,3.0,4193.0,4.0,3.0,1325.0
5.0,6.0,237.9,5.0,6.0,3136.0,5.0,6.0,1900.0,5.0,6.0,1236.0,4.0,6.0,2441.0,4.0,5.0,1745.0
6.0,2.0,23.4,6.0,1.0,650.5,6.0,1.0,711.7,6.0,1.0,357.2,6.0,1.0,2554.0,5.0,1.0,2143.0
6.0,3.0,27.8,6.0,3.0,1330.0,6.0,2.0,1377.0,6.0,2.0,569.8,6.0,2.0,4018.0,5.0,2.0,3709.0
6.0,4.0,50.6,6.0,4.0,1677.0,6.0,4.0,1714.0,6.0,3.0,899.2,6.0,3.0,4104.0,5.0,3.0,4104.0
6.0,5.0,161.4,6.0,5.0,3475.0,6.0,5.0,2352.0,6.0,5.0,1165.0,6.0,4.0,3639.0,5.0,4.0,3061.0
