1,平石 和男,平石 和男.1,2,宮地 元輝,宮地 元輝.1,3,萩原 知哉,萩原 知哉.1,4,川田 正人,川田 正人.1,5,寺島 吉彦,寺島 吉彦.1,6,志道 吉和,志道 吉和.1
2.0,3.0,13.9,1.0,3.0,12.7,1.0,2.0,297.9,1.0,2.0,77.3,1.0,2.0,98.5,1.0,2.0,1396.0
2.0,4.0,7.7,1.0,4.0,7.1,1.0,4.0,552.2,1.0,3.0,374.1,1.0,3.0,434.1,1.0,3.0,2320.0
2.0,5.0,9.8,1.0,5.0,7.5,1.0,5.0,624.8,1.0,5.0,105.2,1.0,4.0,154.1,1.0,4.0,1734.0
2.0,6.0,74.9,1.0,6.0,60.3,1.0,6.0,1249.0,1.0,6.0,297.3,1.0,6.0,414.9,1.0,5.0,1743.0
3.0,2.0,56.4,3.0,1.0,63.2,2.0,1.0,294.5,2.0,1.0,74.9,2.0,1.0,94.4,2.0,1.0,1342.0
3.0,4.0,82.9,3.0,4.0,78.6,2.0,4.0,366.1,2.0,3.0,287.6,2.0,3.0,349.1,2.0,3.0,2831.0
3.0,5.0,87.9,3.0,5.0,74.6,2.0,5.0,387.7,2.0,5.0,81.9,2.0,4.0,122.5,2.0,4.0,1551.0
3.0,6.0,387.3,3.0,6.0,228.8,2.0,6.0,910.5,2.0,6.0,245.1,2.0,6.0,346.8,2.0,5.0,1805.0
4.0,2.0,24.9,4.0,1.0,20.6,4.0,1.0,976.8,3.0,1.0,731.4,3.0,1.0,816.6,3.0,1.0,3392.0
4.0,3.0,117.7,4.0,3.0,67.4,4.0,2.0,738.4,3.0,2.0,635.1,3.0,2.0,745.6,3.0,2.0,2996.0
4.0,5.0,45.0,4.0,5.0,23.9,4.0,5.0,1215.0,3.0,5.0,1118.0,3.0,4.0,1291.0,3.0,4.0,4171.0
4.0,6.0,228.9,4.0,6.0,114.8,4.0,6.0,2057.0,3.0,6.0,1484.0,3.0,6.0,1991.0,3.0,5.0,4409.0
5.0,2.0,32.3,5.0,1.0,25.2,5.0,1.0,976.8,5.0,1.0,108.0,4.0,1.0,171.7,4.0,1.0,2430.0
5.0,3.0,139.6,5.0,3.0,76.3,5.0,2.0,682.9,5.0,2.0,92.1,4.0,2.0,144.1,4.0,2.0,1870.0
5.0,4.0,58.1,5.0,4.0,31.1,5.0,4.0,1147.0,5.0,3.0,421.1,4.0,3.0,795.5,4.0,3.0,3764.0
5.0,6.0,272.4,5.0,6.0,139.9,5.0,6.0,1870.0,5.0,6.0,232.0,4.0,6.0,466.2,4.0,5.0,1893.0
6.0,2.0,364.4,6.0,1.0,288.2,6.0,1.0,2286.0,6.0,1.0,864.6,6.0,1.0,949.8,5.0,1.0,2530.0
6.0,3.0,979.9,6.0,3.0,607.6,6.0,2.0,1917.0,6.0,2.0,699.9,6.0,2.0,814.4,5.0,2.0,2143.0
6.0,4.0,639.1,6.0,4.0,366.6,6.0,4.0,3086.0,6.0,3.0,1763.0,6.0,3.0,1659.0,5.0,3.0,3392.0
6.0,5.0,689.0,6.0,5.0,378.7,6.0,5.0,2661.0,6.0,5.0,747.4,6.0,4.0,992.5,5.0,4.0,1705.0
