1,相原 利章,相原 利章.1,2,上田 隆章,上田 隆章.1,3,小坂 尚哉,小坂 尚哉.1,4,菊池 峰晴,菊池 峰晴.1,5,楠原 正剛,楠原 正剛.1,6,平見 真彦,平見 真彦.1
2.0,3.0,17.1,1.0,3.0,94.2,1.0,2.0,41.1,1.0,2.0,267.7,1.0,2.0,244.0,1.0,2.0,1116.0
2.0,4.0,40.8,1.0,4.0,182.3,1.0,4.0,20.4,1.0,3.0,126.9,1.0,3.0,95.8,1.0,3.0,435.3
2.0,5.0,43.3,1.0,5.0,182.0,1.0,5.0,15.2,1.0,5.0,156.3,1.0,4.0,232.1,1.0,4.0,1039.0
2.0,6.0,79.1,1.0,6.0,286.1,1.0,6.0,29.3,1.0,6.0,182.3,1.0,6.0,206.6,1.0,5.0,823.3
3.0,2.0,10.9,3.0,1.0,167.1,2.0,1.0,128.7,2.0,1.0,572.8,2.0,1.0,564.4,2.0,1.0,1365.0
3.0,4.0,8.5,3.0,4.0,312.9,2.0,4.0,189.2,2.0,3.0,696.5,2.0,3.0,640.2,2.0,3.0,1698.0
3.0,5.0,7.2,3.0,5.0,267.0,2.0,5.0,175.5,2.0,5.0,634.3,2.0,4.0,1024.0,2.0,4.0,2232.0
3.0,6.0,14.0,3.0,6.0,398.4,2.0,6.0,241.0,2.0,6.0,713.6,2.0,6.0,757.1,2.0,5.0,2204.0
4.0,2.0,53.5,4.0,1.0,429.9,4.0,1.0,46.9,3.0,1.0,144.3,3.0,1.0,121.8,3.0,1.0,452.9
4.0,3.0,24.3,4.0,3.0,541.6,4.0,2.0,183.1,3.0,2.0,458.2,3.0,2.0,397.5,3.0,2.0,1289.0
4.0,5.0,41.2,4.0,5.0,658.3,4.0,5.0,53.0,3.0,5.0,158.9,3.0,4.0,275.7,3.0,4.0,757.1
4.0,6.0,60.1,4.0,6.0,762.1,4.0,6.0,69.0,3.0,6.0,206.4,3.0,6.0,228.6,3.0,5.0,563.5
5.0,2.0,58.3,5.0,1.0,492.6,5.0,1.0,37.3,5.0,1.0,192.7,4.0,1.0,403.1,4.0,1.0,1157.0
5.0,3.0,21.0,5.0,3.0,530.9,5.0,2.0,138.5,5.0,2.0,454.6,4.0,2.0,921.3,4.0,2.0,2337.0
5.0,4.0,53.9,5.0,4.0,943.8,5.0,4.0,67.0,5.0,3.0,198.1,4.0,3.0,398.0,4.0,3.0,1030.0
5.0,6.0,58.7,5.0,6.0,804.3,5.0,6.0,60.5,5.0,6.0,221.1,4.0,6.0,479.7,4.0,5.0,1324.0
6.0,2.0,186.5,6.0,1.0,918.9,6.0,1.0,113.0,6.0,1.0,420.6,6.0,1.0,422.1,5.0,1.0,981.0
6.0,3.0,82.4,6.0,3.0,959.4,6.0,2.0,323.9,6.0,2.0,793.3,6.0,2.0,849.4,5.0,2.0,2470.0
6.0,4.0,158.0,6.0,4.0,1404.0,6.0,4.0,151.2,6.0,3.0,437.5,6.0,3.0,352.8,5.0,3.0,695.1
6.0,5.0,149.7,6.0,5.0,1119.0,6.0,5.0,114.1,6.0,5.0,412.6,6.0,4.0,625.2,5.0,4.0,1393.0
