1,嘉手苅　徹哉,嘉手苅　徹哉.1,2,大江 純,大江 純.1,3,川辺 郭人,川辺 郭人.1,4,笹木 香吾,笹木 香吾.1,5,小林 孝彰,小林 孝彰.1,6,坂井 滉哉,坂井 滉哉.1
2.0,3.0,48.4,1.0,3.0,70.1,1.0,2.0,204.2,1.0,2.0,82.4,1.0,2.0,118.9,1.0,2.0,777.6
2.0,4.0,30.3,1.0,4.0,38.4,1.0,4.0,217.3,1.0,3.0,162.4,1.0,3.0,177.0,1.0,3.0,1093.0
2.0,5.0,32.9,1.0,5.0,43.3,1.0,5.0,181.8,1.0,5.0,74.0,1.0,4.0,125.3,1.0,4.0,1074.0
2.0,6.0,109.7,1.0,6.0,125.6,1.0,6.0,397.1,1.0,6.0,172.7,1.0,6.0,234.9,1.0,5.0,1176.0
3.0,2.0,81.8,3.0,1.0,104.1,2.0,1.0,190.6,2.0,1.0,64.4,2.0,1.0,114.8,2.0,1.0,771.2
3.0,4.0,76.0,3.0,4.0,46.5,2.0,4.0,85.4,2.0,3.0,66.5,2.0,3.0,108.5,2.0,3.0,963.0
3.0,5.0,91.2,3.0,5.0,48.0,2.0,5.0,89.1,2.0,5.0,17.9,2.0,4.0,34.9,2.0,4.0,529.5
3.0,6.0,251.5,3.0,6.0,133.8,2.0,6.0,234.9,2.0,6.0,58.5,2.0,6.0,101.2,2.0,5.0,586.3
4.0,2.0,44.6,4.0,1.0,40.3,4.0,1.0,211.6,3.0,1.0,221.8,3.0,1.0,302.2,3.0,1.0,1387.0
4.0,3.0,94.3,4.0,3.0,31.2,4.0,2.0,119.3,3.0,2.0,123.9,3.0,2.0,195.0,3.0,2.0,1299.0
4.0,5.0,52.5,4.0,5.0,12.5,4.0,5.0,94.7,3.0,5.0,95.5,3.0,4.0,201.3,3.0,4.0,1214.0
4.0,6.0,152.9,4.0,6.0,43.7,4.0,6.0,217.1,3.0,6.0,203.1,3.0,6.0,323.2,3.0,5.0,1273.0
5.0,2.0,59.1,5.0,1.0,50.9,5.0,1.0,225.2,5.0,1.0,46.3,4.0,1.0,97.9,4.0,1.0,797.7
5.0,3.0,121.8,5.0,3.0,48.8,5.0,2.0,135.0,5.0,2.0,16.5,4.0,2.0,35.1,4.0,2.0,467.0
5.0,4.0,75.3,5.0,4.0,17.8,5.0,4.0,137.9,5.0,3.0,54.5,4.0,3.0,104.8,4.0,3.0,924.7
5.0,6.0,162.0,5.0,6.0,52.3,5.0,6.0,239.5,5.0,6.0,25.1,4.0,6.0,59.1,4.0,5.0,342.3
6.0,2.0,377.0,6.0,1.0,265.5,6.0,1.0,652.1,6.0,1.0,199.6,6.0,1.0,280.7,5.0,1.0,848.7
6.0,3.0,520.6,6.0,3.0,263.2,6.0,2.0,568.4,6.0,2.0,107.6,6.0,2.0,187.9,5.0,2.0,561.5
6.0,4.0,476.5,6.0,4.0,145.6,6.0,4.0,510.6,6.0,3.0,235.5,6.0,3.0,309.2,5.0,3.0,1026.0
6.0,5.0,421.4,6.0,5.0,134.7,6.0,5.0,395.4,6.0,5.0,72.5,6.0,4.0,141.8,5.0,4.0,368.7
