1,平見 真彦,平見 真彦.1,2,岸本 隆,岸本 隆.1,3,本橋 克洋,本橋 克洋.1,4,松本 浩貴,松本 浩貴.1,5,宇野 博之,宇野 博之.1,6,松村 敏,松村 敏.1
2.0,3.0,14.5,1.0,3.0,104.3,1.0,2.0,134.0,1.0,2.0,668.5,1.0,2.0,580.0,1.0,2.0,23.1
2.0,4.0,50.2,1.0,4.0,257.1,1.0,4.0,242.4,1.0,3.0,632.3,1.0,3.0,410.9,1.0,3.0,18.5
2.0,5.0,39.5,1.0,5.0,235.6,1.0,5.0,203.7,1.0,5.0,1048.0,1.0,4.0,1066.0,1.0,4.0,80.4
2.0,6.0,8.8,1.0,6.0,53.5,1.0,6.0,54.6,1.0,6.0,419.4,1.0,6.0,258.5,1.0,5.0,50.6
3.0,2.0,15.8,3.0,1.0,207.2,2.0,1.0,229.3,2.0,1.0,1030.0,2.0,1.0,985.3,2.0,1.0,59.8
3.0,4.0,36.9,3.0,4.0,570.5,2.0,4.0,512.2,2.0,3.0,1100.0,2.0,3.0,1151.0,2.0,3.0,90.3
3.0,5.0,30.5,3.0,5.0,659.5,2.0,5.0,565.3,2.0,5.0,1790.0,2.0,4.0,1916.0,2.0,4.0,208.8
3.0,6.0,7.2,3.0,6.0,198.1,2.0,6.0,218.6,2.0,6.0,683.4,2.0,6.0,701.0,2.0,5.0,191.6
4.0,2.0,122.5,4.0,1.0,594.0,4.0,1.0,498.6,3.0,1.0,947.3,3.0,1.0,675.9,3.0,1.0,40.9
4.0,3.0,110.6,4.0,3.0,809.7,4.0,2.0,739.0,3.0,2.0,1245.0,3.0,2.0,1562.0,3.0,2.0,94.5
4.0,5.0,163.5,4.0,5.0,1251.0,4.0,5.0,929.3,3.0,5.0,1916.0,3.0,4.0,1916.0,3.0,4.0,160.9
4.0,6.0,54.9,4.0,6.0,344.1,4.0,6.0,448.5,3.0,6.0,799.2,3.0,6.0,752.6,3.0,5.0,159.9
5.0,2.0,93.8,5.0,1.0,732.4,5.0,1.0,436.5,5.0,1.0,1451.0,4.0,1.0,1572.0,4.0,1.0,234.3
5.0,3.0,75.8,5.0,3.0,766.7,5.0,2.0,854.9,5.0,2.0,1572.0,4.0,2.0,1931.0,4.0,2.0,353.5
5.0,4.0,207.9,5.0,4.0,1418.0,5.0,4.0,1264.0,5.0,3.0,1901.0,4.0,3.0,2061.0,4.0,3.0,354.5
5.0,6.0,47.0,5.0,6.0,592.6,5.0,6.0,450.1,5.0,6.0,1162.0,4.0,6.0,1271.0,4.0,5.0,479.2
6.0,2.0,10.6,6.0,1.0,111.3,6.0,1.0,65.5,6.0,1.0,513.2,6.0,1.0,281.6,5.0,1.0,122.7
6.0,3.0,7.7,6.0,3.0,189.1,6.0,2.0,161.7,6.0,2.0,647.3,6.0,2.0,584.1,5.0,2.0,275.9
6.0,4.0,38.4,6.0,4.0,383.3,6.0,4.0,300.3,6.0,3.0,736.8,6.0,3.0,551.3,5.0,3.0,252.4
6.0,5.0,24.4,6.0,5.0,399.6,6.0,5.0,248.8,6.0,5.0,997.3,6.0,4.0,989.3,5.0,4.0,441.2
