1,永田 義紘,永田 義紘.1,2,野見山　拓己,野見山　拓己.1,3,東 潤樹,東 潤樹.1,4,栗山 繁洋,栗山 繁洋.1,5,齊藤 大将,齊藤 大将.1,6,藤田 俊祐,藤田 俊祐.1
2.0,3.0,11.8,1.0,3.0,36.7,1.0,2.0,82.8,1.0,2.0,125.9,1.0,2.0,257.9,1.0,2.0,72.5
2.0,4.0,17.3,1.0,4.0,52.7,1.0,4.0,67.9,1.0,3.0,114.9,1.0,3.0,321.6,1.0,3.0,110.1
2.0,5.0,24.7,1.0,5.0,68.4,1.0,5.0,113.0,1.0,5.0,146.0,1.0,4.0,367.4,1.0,4.0,91.4
2.0,6.0,14.5,1.0,6.0,38.4,1.0,6.0,69.4,1.0,6.0,67.0,1.0,6.0,179.1,1.0,5.0,150.8
3.0,2.0,14.2,3.0,1.0,96.9,2.0,1.0,142.3,2.0,1.0,196.3,2.0,1.0,400.5,2.0,1.0,131.7
3.0,4.0,20.0,3.0,4.0,202.1,2.0,4.0,246.1,2.0,3.0,393.2,2.0,3.0,758.7,2.0,3.0,253.4
3.0,5.0,28.9,3.0,5.0,223.9,2.0,5.0,316.9,2.0,5.0,307.8,2.0,4.0,720.5,2.0,4.0,256.4
3.0,6.0,16.9,3.0,6.0,172.2,2.0,6.0,191.6,2.0,6.0,159.8,2.0,6.0,481.2,2.0,5.0,377.1
4.0,2.0,28.7,4.0,1.0,118.2,4.0,1.0,112.2,3.0,1.0,153.7,3.0,1.0,441.7,3.0,1.0,200.6
4.0,3.0,30.9,4.0,3.0,250.9,4.0,2.0,261.1,3.0,2.0,388.5,3.0,2.0,786.5,3.0,2.0,328.2
4.0,5.0,45.8,4.0,5.0,358.2,4.0,5.0,317.7,3.0,5.0,392.0,3.0,4.0,1057.0,3.0,4.0,329.0
4.0,6.0,24.7,4.0,6.0,160.8,4.0,6.0,163.6,3.0,6.0,218.6,3.0,6.0,530.8,3.0,5.0,463.9
5.0,2.0,64.3,5.0,1.0,194.2,5.0,1.0,228.6,5.0,1.0,191.9,4.0,1.0,416.0,4.0,1.0,145.2
5.0,3.0,65.8,5.0,3.0,413.4,5.0,2.0,410.7,5.0,2.0,261.6,4.0,2.0,573.2,4.0,2.0,234.5
5.0,4.0,83.2,5.0,4.0,509.8,5.0,4.0,503.8,5.0,3.0,399.3,4.0,3.0,843.0,4.0,3.0,345.8
5.0,6.0,54.0,5.0,6.0,338.5,5.0,6.0,269.8,5.0,6.0,130.8,4.0,6.0,270.4,4.0,5.0,235.8
6.0,2.0,29.7,6.0,1.0,92.3,6.0,1.0,124.2,6.0,1.0,81.7,6.0,1.0,228.6,5.0,1.0,252.9
6.0,3.0,35.4,6.0,3.0,207.0,6.0,2.0,199.0,6.0,2.0,127.0,6.0,2.0,390.8,5.0,2.0,367.4
6.0,4.0,37.5,6.0,4.0,204.0,6.0,4.0,212.8,6.0,3.0,196.9,6.0,3.0,515.9,5.0,3.0,541.9
6.0,5.0,54.1,6.0,5.0,304.9,6.0,5.0,278.5,6.0,5.0,119.1,6.0,4.0,301.3,5.0,4.0,339.4
