1,木場 悠介,木場 悠介.1,2,池永 太,池永 太.1,3,吉永 浩則,吉永 浩則.1,4,田中　太一郎,田中　太一郎.1,5,川崎 公靖,川崎 公靖.1,6,野長瀬　正孝,野長瀬　正孝.1
2.0,3.0,13.6,1.0,3.0,24.1,1.0,2.0,183.1,1.0,2.0,51.8,1.0,2.0,781.6,1.0,2.0,48.7
2.0,4.0,8.7,1.0,4.0,14.5,1.0,4.0,238.8,1.0,3.0,220.0,1.0,3.0,1596.0,1.0,3.0,279.4
2.0,5.0,42.5,1.0,5.0,53.2,1.0,5.0,362.9,1.0,5.0,138.6,1.0,4.0,1132.0,1.0,4.0,164.1
2.0,6.0,5.9,1.0,6.0,7.9,1.0,6.0,297.3,1.0,6.0,77.4,1.0,6.0,1388.0,1.0,5.0,461.8
3.0,2.0,58.3,3.0,1.0,106.0,2.0,1.0,218.4,2.0,1.0,58.6,2.0,1.0,846.7,2.0,1.0,52.2
3.0,4.0,129.7,3.0,4.0,171.5,2.0,4.0,291.7,2.0,3.0,221.6,2.0,3.0,1780.0,2.0,3.0,260.3
3.0,5.0,240.4,3.0,5.0,296.3,2.0,5.0,478.3,2.0,5.0,162.8,2.0,4.0,1160.0,2.0,4.0,125.4
3.0,6.0,109.0,3.0,6.0,134.1,2.0,6.0,307.4,2.0,6.0,72.1,2.0,6.0,1352.0,2.0,5.0,419.1
4.0,2.0,28.9,4.0,1.0,44.5,4.0,1.0,246.5,3.0,1.0,308.8,3.0,1.0,2042.0,3.0,1.0,590.9
4.0,3.0,138.2,4.0,3.0,145.7,4.0,2.0,233.6,3.0,2.0,325.7,3.0,2.0,2289.0,3.0,2.0,508.6
4.0,5.0,160.1,4.0,5.0,161.9,4.0,5.0,296.1,3.0,5.0,362.9,3.0,4.0,1653.0,3.0,4.0,909.6
4.0,6.0,43.7,4.0,6.0,54.1,4.0,6.0,435.7,3.0,6.0,568.3,3.0,6.0,3041.0,3.0,5.0,1627.0
5.0,2.0,230.6,5.0,1.0,287.7,5.0,1.0,743.9,5.0,1.0,225.9,4.0,1.0,1038.0,4.0,1.0,300.1
5.0,3.0,428.6,5.0,3.0,634.1,5.0,2.0,697.8,5.0,2.0,259.2,4.0,2.0,1082.0,4.0,2.0,196.9
5.0,4.0,391.5,5.0,4.0,433.9,5.0,4.0,587.6,5.0,3.0,500.7,4.0,3.0,1318.0,4.0,3.0,838.2
5.0,6.0,377.7,5.0,6.0,352.7,5.0,6.0,1110.0,5.0,6.0,450.4,4.0,6.0,1482.0,4.0,5.0,907.6
6.0,2.0,14.6,6.0,1.0,20.1,6.0,1.0,593.4,6.0,1.0,147.5,6.0,1.0,1946.0,5.0,1.0,1402.0
6.0,3.0,65.7,6.0,3.0,82.3,6.0,2.0,529.3,6.0,2.0,116.8,6.0,2.0,1693.0,5.0,2.0,1326.0
6.0,4.0,37.8,6.0,4.0,39.1,6.0,4.0,875.2,6.0,3.0,662.3,6.0,3.0,3443.0,5.0,3.0,2705.0
6.0,5.0,153.9,6.0,5.0,146.6,6.0,5.0,1361.0,6.0,5.0,490.1,6.0,4.0,2408.0,5.0,4.0,1646.0
