1,下河 雅史,下河 雅史.1,2,藤井 公人,藤井 公人.1,3,岩崎 正哉,岩崎 正哉.1,4,藤森 拓海,藤森 拓海.1,5,藤丸 光一,藤丸 光一.1,6,岡崎 恭裕,岡崎 恭裕.1
2.0,3.0,39.0,1.0,3.0,106.5,1.0,2.0,40.1,1.0,2.0,933.1,1.0,2.0,409.6,1.0,2.0,44.0
2.0,4.0,168.8,1.0,4.0,379.7,1.0,4.0,125.3,1.0,3.0,698.7,1.0,3.0,207.4,1.0,3.0,21.9
2.0,5.0,121.4,1.0,5.0,372.0,1.0,5.0,38.3,1.0,5.0,1114.0,1.0,4.0,760.5,1.0,4.0,154.4
2.0,6.0,44.0,1.0,6.0,120.2,1.0,6.0,13.5,1.0,6.0,697.0,1.0,6.0,191.3,1.0,5.0,61.7
3.0,2.0,17.1,3.0,1.0,122.0,2.0,1.0,106.1,2.0,1.0,1072.0,2.0,1.0,848.0,2.0,1.0,75.1
3.0,4.0,62.8,3.0,4.0,491.6,2.0,4.0,380.5,2.0,3.0,1194.0,2.0,3.0,966.5,2.0,3.0,70.8
3.0,5.0,17.0,3.0,5.0,424.6,2.0,5.0,304.8,2.0,5.0,1292.0,2.0,4.0,1521.0,2.0,4.0,269.0
3.0,6.0,5.7,3.0,6.0,120.1,2.0,6.0,100.4,2.0,6.0,960.0,2.0,6.0,758.5,2.0,5.0,259.5
4.0,2.0,307.1,4.0,1.0,520.5,4.0,1.0,355.2,3.0,1.0,765.6,3.0,1.0,276.4,3.0,1.0,30.6
4.0,3.0,214.9,4.0,3.0,626.9,4.0,2.0,573.6,3.0,2.0,1194.0,3.0,2.0,571.9,3.0,2.0,57.4
4.0,5.0,441.8,4.0,5.0,934.7,4.0,5.0,793.5,3.0,5.0,1589.0,3.0,4.0,1031.0,3.0,4.0,195.7
4.0,6.0,187.9,4.0,6.0,567.3,4.0,6.0,392.1,3.0,6.0,843.0,3.0,6.0,223.1,3.0,5.0,89.4
5.0,2.0,95.2,5.0,1.0,687.7,5.0,1.0,111.9,5.0,1.0,1830.0,4.0,1.0,1567.0,4.0,1.0,371.8
5.0,3.0,38.8,5.0,3.0,699.5,5.0,2.0,262.7,5.0,2.0,2033.0,4.0,2.0,1801.0,4.0,2.0,502.9
5.0,4.0,228.1,5.0,4.0,1390.0,5.0,4.0,526.3,5.0,3.0,2070.0,4.0,3.0,1848.0,4.0,3.0,457.5
5.0,6.0,33.6,5.0,6.0,633.9,5.0,6.0,97.9,5.0,6.0,1607.0,4.0,6.0,1469.0,4.0,5.0,845.5
6.0,2.0,19.9,6.0,1.0,129.0,6.0,1.0,22.7,6.0,1.0,831.9,6.0,1.0,210.3,5.0,1.0,141.1
6.0,3.0,7.4,6.0,3.0,119.0,6.0,2.0,54.9,6.0,2.0,1238.0,6.0,2.0,447.1,5.0,2.0,308.1
6.0,4.0,67.5,6.0,4.0,438.1,6.0,4.0,169.1,6.0,3.0,998.8,6.0,3.0,213.6,5.0,3.0,149.8
6.0,5.0,21.8,6.0,5.0,414.1,6.0,5.0,59.2,6.0,5.0,1571.0,6.0,4.0,790.2,5.0,4.0,603.5
