1,草場 康幸,草場 康幸.1,2,出本 正博,出本 正博.1,3,塩田 北斗,塩田 北斗.1,4,田中 宏樹,田中 宏樹.1,5,中島 浩哉,中島 浩哉.1,6,加藤 高史,加藤 高史.1
2.0,3.0,40.5,1.0,3.0,194.8,1.0,2.0,29.5,1.0,2.0,428.6,1.0,2.0,1167.0,1.0,2.0,1127.0
2.0,4.0,81.2,1.0,4.0,382.3,1.0,4.0,6.7,1.0,3.0,96.0,1.0,3.0,347.9,1.0,3.0,268.8
2.0,5.0,151.6,1.0,5.0,594.9,1.0,5.0,12.7,1.0,5.0,240.3,1.0,4.0,653.4,1.0,4.0,695.8
2.0,6.0,172.5,1.0,6.0,633.5,1.0,6.0,9.9,1.0,6.0,195.1,1.0,6.0,698.7,1.0,5.0,1014.0
3.0,2.0,23.3,3.0,1.0,229.6,2.0,1.0,85.1,2.0,1.0,721.4,2.0,1.0,2015.0,2.0,1.0,2704.0
3.0,4.0,8.6,3.0,4.0,558.0,2.0,4.0,134.9,2.0,3.0,680.1,2.0,3.0,1591.0,2.0,3.0,1933.0
3.0,5.0,15.7,3.0,5.0,833.5,2.0,5.0,190.0,2.0,5.0,1415.0,2.0,4.0,1911.0,2.0,4.0,2392.0
3.0,6.0,15.0,3.0,6.0,773.4,2.0,6.0,190.2,2.0,6.0,1227.0,2.0,6.0,2078.0,2.0,5.0,2771.0
4.0,2.0,103.7,4.0,1.0,837.7,4.0,1.0,16.3,3.0,1.0,86.7,3.0,1.0,303.7,3.0,1.0,240.4
4.0,3.0,31.2,4.0,3.0,886.9,4.0,2.0,86.7,3.0,2.0,373.2,3.0,2.0,1104.0,3.0,2.0,791.9
4.0,5.0,80.9,4.0,5.0,1583.0,4.0,5.0,24.0,3.0,5.0,131.3,3.0,4.0,436.4,3.0,4.0,327.0
4.0,6.0,74.5,4.0,6.0,1646.0,4.0,6.0,18.4,3.0,6.0,86.6,3.0,6.0,395.9,3.0,5.0,530.4
5.0,2.0,266.9,5.0,1.0,1968.0,5.0,1.0,42.0,5.0,1.0,398.3,4.0,1.0,879.8,4.0,1.0,1083.0
5.0,3.0,83.4,5.0,3.0,1614.0,5.0,2.0,185.0,5.0,2.0,986.9,4.0,2.0,1858.0,4.0,2.0,2639.0
5.0,4.0,157.8,5.0,4.0,2091.0,5.0,4.0,47.2,5.0,3.0,266.0,4.0,3.0,504.7,4.0,3.0,498.6
5.0,6.0,200.4,5.0,6.0,2091.0,5.0,6.0,43.0,5.0,6.0,299.3,4.0,6.0,632.3,4.0,5.0,1274.0
6.0,2.0,314.9,6.0,1.0,2040.0,6.0,1.0,34.7,6.0,1.0,374.1,6.0,1.0,1330.0,5.0,1.0,1614.0
6.0,3.0,78.0,6.0,3.0,1750.0,6.0,2.0,160.9,6.0,2.0,1131.0,6.0,2.0,2410.0,5.0,2.0,2794.0
6.0,4.0,152.3,6.0,4.0,2309.0,6.0,4.0,37.5,6.0,3.0,241.3,6.0,3.0,659.9,5.0,3.0,821.2
6.0,5.0,241.7,6.0,5.0,2660.0,6.0,5.0,52.0,6.0,5.0,445.8,6.0,4.0,986.9,5.0,4.0,1346.0
