1,佐藤 旭,佐藤 旭.1,2,石川 哲秀,石川 哲秀.1,3,榎 幸司,榎 幸司.1,4,山本 修一,山本 修一.1,5,石塚 裕介,石塚 裕介.1,6,三嶌　こころ,三嶌　こころ.1
2.0,3.0,22.0,1.0,3.0,68.6,1.0,2.0,85.2,1.0,2.0,44.3,1.0,2.0,194.7,1.0,2.0,2969.0
2.0,4.0,17.2,1.0,4.0,54.9,1.0,4.0,28.2,1.0,3.0,29.0,1.0,3.0,142.1,1.0,3.0,2812.0
2.0,5.0,36.7,1.0,5.0,90.5,1.0,5.0,49.2,1.0,5.0,24.6,1.0,4.0,108.9,1.0,4.0,2988.0
2.0,6.0,326.6,1.0,6.0,665.0,1.0,6.0,411.8,1.0,6.0,186.0,1.0,6.0,383.7,1.0,5.0,3490.0
3.0,2.0,20.0,3.0,1.0,148.7,2.0,1.0,171.1,2.0,1.0,84.4,2.0,1.0,356.2,2.0,1.0,3764.0
3.0,4.0,7.9,3.0,4.0,106.9,2.0,4.0,116.6,2.0,3.0,108.0,2.0,3.0,379.4,2.0,3.0,4307.0
3.0,5.0,18.0,3.0,5.0,183.1,2.0,5.0,153.7,2.0,5.0,75.6,2.0,4.0,254.4,2.0,4.0,3084.0
3.0,6.0,256.3,3.0,6.0,887.1,2.0,6.0,781.2,2.0,6.0,390.9,2.0,6.0,1006.0,2.0,5.0,4346.0
4.0,2.0,18.0,4.0,1.0,106.1,4.0,1.0,41.4,3.0,1.0,50.4,3.0,1.0,237.5,3.0,1.0,3595.0
4.0,3.0,10.3,4.0,3.0,114.4,4.0,2.0,98.0,3.0,2.0,109.1,3.0,2.0,420.5,3.0,2.0,4642.0
4.0,5.0,13.7,4.0,5.0,109.9,4.0,5.0,52.2,3.0,5.0,53.3,3.0,4.0,209.0,3.0,4.0,3678.0
4.0,6.0,192.3,4.0,6.0,583.8,4.0,6.0,424.2,3.0,6.0,407.2,3.0,6.0,1186.0,3.0,5.0,4427.0
5.0,2.0,56.1,5.0,1.0,295.8,5.0,1.0,126.6,5.0,1.0,27.7,4.0,1.0,95.1,4.0,1.0,2732.0
5.0,3.0,41.1,5.0,3.0,277.8,5.0,2.0,211.7,5.0,2.0,44.7,4.0,2.0,145.9,4.0,2.0,3951.0
5.0,4.0,36.3,5.0,4.0,199.6,5.0,4.0,105.7,5.0,3.0,44.8,4.0,3.0,135.1,4.0,3.0,3706.0
5.0,6.0,332.5,5.0,6.0,1081.0,5.0,6.0,687.9,5.0,6.0,100.9,4.0,6.0,258.3,4.0,5.0,2287.0
6.0,2.0,989.9,6.0,1.0,2988.0,6.0,1.0,1839.0,6.0,1.0,585.2,6.0,1.0,979.8,5.0,1.0,3984.0
6.0,3.0,838.8,6.0,3.0,2897.0,6.0,2.0,1604.0,6.0,2.0,748.2,6.0,2.0,1245.0,5.0,2.0,4468.0
6.0,4.0,677.2,6.0,4.0,2332.0,6.0,4.0,1671.0,6.0,3.0,853.8,6.0,3.0,1201.0,5.0,3.0,3649.0
6.0,5.0,743.6,6.0,5.0,2897.0,6.0,5.0,1648.0,6.0,5.0,404.5,6.0,4.0,883.8,5.0,4.0,2153.0
