1,村上 彰一,村上 彰一.1,2,阪本 勇介,阪本 勇介.1,3,鈴木 賢一,鈴木 賢一.1,4,沢田 昭宏,沢田 昭宏.1,5,繁野谷　圭介,繁野谷　圭介.1,6,安田 吉宏,安田 吉宏.1
2.0,3.0,14.5,1.0,3.0,38.7,1.0,2.0,62.3,1.0,2.0,291.6,1.0,2.0,40.0,1.0,2.0,582.2
2.0,4.0,25.4,1.0,4.0,55.7,1.0,4.0,82.9,1.0,3.0,418.5,1.0,3.0,48.3,1.0,3.0,645.9
2.0,5.0,10.5,1.0,5.0,27.1,1.0,5.0,30.0,1.0,5.0,211.0,1.0,4.0,114.7,1.0,4.0,1172.0
2.0,6.0,51.1,1.0,6.0,99.2,1.0,6.0,93.0,1.0,6.0,494.7,1.0,6.0,76.8,1.0,5.0,482.8
3.0,2.0,16.1,3.0,1.0,87.3,2.0,1.0,116.9,2.0,1.0,430.1,2.0,1.0,68.0,2.0,1.0,877.8
3.0,4.0,29.1,3.0,4.0,167.9,2.0,4.0,178.8,2.0,3.0,568.7,2.0,3.0,91.0,2.0,3.0,1408.0
3.0,5.0,12.1,3.0,5.0,80.4,2.0,5.0,81.5,2.0,5.0,329.8,2.0,4.0,182.3,2.0,4.0,1630.0
3.0,6.0,45.4,3.0,6.0,255.1,2.0,6.0,258.9,2.0,6.0,730.0,2.0,6.0,168.2,2.0,5.0,880.1
4.0,2.0,61.5,4.0,1.0,193.7,4.0,1.0,164.9,3.0,1.0,507.9,3.0,1.0,80.7,3.0,1.0,871.1
4.0,3.0,61.9,4.0,3.0,271.5,4.0,2.0,218.9,3.0,2.0,515.6,3.0,2.0,97.0,3.0,2.0,1549.0
4.0,5.0,46.2,4.0,5.0,176.7,4.0,5.0,104.7,3.0,5.0,320.2,3.0,4.0,182.9,3.0,4.0,1811.0
4.0,6.0,127.8,4.0,6.0,469.6,4.0,6.0,257.0,3.0,6.0,657.1,3.0,6.0,149.6,3.0,5.0,679.3
5.0,2.0,13.9,5.0,1.0,58.2,5.0,1.0,44.7,5.0,1.0,236.9,4.0,1.0,253.4,4.0,1.0,1737.0
5.0,3.0,17.6,5.0,3.0,82.1,5.0,2.0,64.6,5.0,2.0,246.8,4.0,2.0,244.0,4.0,2.0,1990.0
5.0,4.0,33.2,5.0,4.0,143.4,5.0,4.0,97.5,5.0,3.0,288.9,4.0,3.0,237.9,4.0,3.0,2074.0
5.0,6.0,37.4,5.0,6.0,152.9,5.0,6.0,82.0,5.0,6.0,334.0,4.0,6.0,363.0,4.0,5.0,1521.0
6.0,2.0,143.0,6.0,1.0,443.4,6.0,1.0,239.4,6.0,1.0,927.8,6.0,1.0,147.9,5.0,1.0,539.1
6.0,3.0,141.1,6.0,3.0,728.4,6.0,2.0,429.0,6.0,2.0,1118.0,6.0,2.0,208.3,5.0,2.0,680.6
6.0,4.0,226.7,6.0,4.0,912.9,6.0,4.0,482.8,6.0,3.0,1164.0,6.0,3.0,177.1,5.0,3.0,562.1
6.0,5.0,114.5,6.0,5.0,476.8,6.0,5.0,183.6,6.0,5.0,707.3,6.0,4.0,381.2,5.0,4.0,1201.0
