1,河野 真也,河野 真也.1,2,安東 幸治,安東 幸治.1,3,待鳥 雄紀,待鳥 雄紀.1,4,岸本 隆,岸本 隆.1,5,三原 司,三原 司.1,6,林 恵祐,林 恵祐.1
2.0,3.0,6.6,1.0,3.0,37.9,1.0,2.0,28.7,1.0,2.0,145.4,1.0,2.0,288.9,1.0,2.0,1504.0
2.0,4.0,12.4,1.0,4.0,66.8,1.0,4.0,33.0,1.0,3.0,145.3,1.0,3.0,198.7,1.0,3.0,1947.0
2.0,5.0,17.4,1.0,5.0,96.8,1.0,5.0,34.7,1.0,5.0,216.6,1.0,4.0,474.9,1.0,4.0,3369.0
2.0,6.0,84.6,1.0,6.0,285.1,1.0,6.0,127.4,1.0,6.0,435.3,1.0,6.0,677.9,1.0,5.0,4123.0
3.0,2.0,5.9,3.0,1.0,82.1,2.0,1.0,69.6,2.0,1.0,310.4,2.0,1.0,526.2,2.0,1.0,2596.0
3.0,4.0,7.0,3.0,4.0,222.9,2.0,4.0,148.1,2.0,3.0,455.1,2.0,3.0,708.0,2.0,3.0,3369.0
3.0,5.0,8.9,3.0,5.0,266.7,2.0,5.0,153.4,2.0,5.0,587.0,2.0,4.0,1379.0,2.0,4.0,3982.0
3.0,6.0,52.4,3.0,6.0,671.4,2.0,6.0,444.7,2.0,6.0,842.4,2.0,6.0,1653.0,2.0,5.0,4493.0
4.0,2.0,23.1,4.0,1.0,252.5,4.0,1.0,100.3,3.0,1.0,233.4,3.0,1.0,309.6,3.0,1.0,2352.0
4.0,3.0,19.7,4.0,3.0,424.3,4.0,2.0,171.5,3.0,2.0,372.4,3.0,2.0,748.8,3.0,2.0,3576.0
4.0,5.0,39.0,4.0,5.0,558.0,4.0,5.0,156.2,3.0,5.0,443.6,3.0,4.0,957.5,3.0,4.0,3470.0
4.0,6.0,117.5,4.0,6.0,885.0,4.0,6.0,354.0,3.0,6.0,846.5,3.0,6.0,1242.0,3.0,5.0,5154.0
5.0,2.0,34.4,5.0,1.0,375.2,5.0,1.0,106.5,5.0,1.0,365.0,4.0,1.0,800.1,4.0,1.0,4611.0
5.0,3.0,25.9,5.0,3.0,493.6,5.0,2.0,196.5,5.0,2.0,551.0,4.0,2.0,1307.0,4.0,2.0,5940.0
5.0,4.0,54.2,5.0,4.0,861.1,5.0,4.0,215.2,5.0,3.0,561.6,4.0,3.0,1212.0,4.0,3.0,5079.0
5.0,6.0,130.2,5.0,6.0,1172.0,5.0,6.0,435.9,5.0,6.0,609.5,4.0,6.0,1615.0,4.0,5.0,5745.0
6.0,2.0,347.6,6.0,1.0,1436.0,6.0,1.0,713.8,6.0,1.0,1661.0,6.0,1.0,2417.0,5.0,1.0,4326.0
6.0,3.0,300.5,6.0,3.0,1788.0,6.0,2.0,1212.0,6.0,2.0,1947.0,6.0,2.0,3101.0,5.0,2.0,3937.0
6.0,4.0,421.2,6.0,4.0,2655.0,6.0,4.0,1091.0,6.0,3.0,2037.0,6.0,3.0,2558.0,5.0,3.0,4493.0
6.0,5.0,363.5,6.0,5.0,1806.0,6.0,5.0,973.5,6.0,5.0,1374.0,6.0,4.0,3402.0,5.0,4.0,3982.0
