1,福嶋 智之,福嶋 智之.1,2,中岡 健人,中岡 健人.1,3,横川 聖志,横川 聖志.1,4,平野 和明,平野 和明.1,5,赤羽 克也,赤羽 克也.1,6,前沢 丈史,前沢 丈史.1
2.0,3.0,32.0,1.0,3.0,126.3,1.0,2.0,106.6,1.0,2.0,139.5,1.0,2.0,156.7,1.0,2.0,479.7
2.0,4.0,27.1,1.0,4.0,86.0,1.0,4.0,36.4,1.0,3.0,101.8,1.0,3.0,82.1,1.0,3.0,528.0
2.0,5.0,39.8,1.0,5.0,118.0,1.0,5.0,43.5,1.0,5.0,56.5,1.0,4.0,73.2,1.0,4.0,381.6
2.0,6.0,50.9,1.0,6.0,163.9,1.0,6.0,74.0,1.0,6.0,68.2,1.0,6.0,53.5,1.0,5.0,276.9
3.0,2.0,35.0,3.0,1.0,210.5,2.0,1.0,183.8,2.0,1.0,210.5,2.0,1.0,255.1,2.0,1.0,787.5
3.0,4.0,15.5,3.0,4.0,280.3,2.0,4.0,157.5,2.0,3.0,392.6,2.0,3.0,439.4,2.0,3.0,1064.0
3.0,5.0,17.9,3.0,5.0,313.1,2.0,5.0,210.5,2.0,5.0,228.5,2.0,4.0,297.4,2.0,4.0,1098.0
3.0,6.0,32.0,3.0,6.0,425.7,2.0,6.0,256.0,2.0,6.0,284.4,2.0,6.0,300.7,2.0,5.0,952.7
4.0,2.0,32.1,4.0,1.0,157.8,4.0,1.0,77.8,3.0,1.0,155.1,3.0,1.0,164.3,3.0,1.0,769.7
4.0,3.0,25.4,4.0,3.0,341.4,4.0,2.0,149.5,3.0,2.0,338.0,3.0,2.0,438.0,3.0,2.0,1154.0
4.0,5.0,16.9,4.0,5.0,239.0,4.0,5.0,53.9,3.0,5.0,106.9,3.0,4.0,132.4,3.0,4.0,636.6
4.0,6.0,27.6,4.0,6.0,321.3,4.0,6.0,79.3,3.0,6.0,144.4,3.0,6.0,152.2,3.0,5.0,534.2
5.0,2.0,53.9,5.0,1.0,231.7,5.0,1.0,88.4,5.0,1.0,64.0,4.0,1.0,89.8,4.0,1.0,449.6
5.0,3.0,27.0,5.0,3.0,370.2,5.0,2.0,200.6,5.0,2.0,162.5,4.0,2.0,218.3,4.0,2.0,952.7
5.0,4.0,24.4,5.0,4.0,313.9,5.0,4.0,62.4,5.0,3.0,102.9,4.0,3.0,142.5,4.0,3.0,736.4
5.0,6.0,22.4,5.0,6.0,298.1,5.0,6.0,86.8,5.0,6.0,42.2,4.0,6.0,60.4,4.0,5.0,173.5
6.0,2.0,106.5,6.0,1.0,411.6,6.0,1.0,234.4,6.0,1.0,140.7,6.0,1.0,85.2,5.0,1.0,257.5
6.0,3.0,87.5,6.0,3.0,761.1,6.0,2.0,431.1,6.0,2.0,329.8,6.0,2.0,221.1,5.0,2.0,642.6
6.0,4.0,59.5,6.0,4.0,510.2,6.0,4.0,151.5,6.0,3.0,238.1,6.0,3.0,136.3,5.0,3.0,396.0
6.0,5.0,43.2,6.0,5.0,516.0,6.0,5.0,166.9,6.0,5.0,75.9,6.0,4.0,68.1,5.0,4.0,173.5
