1,深川 真二,深川 真二.1,2,浜先 真範,浜先 真範.1,3,林 祐介,林 祐介.1,4,長尾　京志郎,長尾　京志郎.1,5,近藤 友宝,近藤 友宝.1,6,桂林 寛,桂林 寛.1
2.0,3.0,4.7,1.0,3.0,19.7,1.0,2.0,39.1,1.0,2.0,305.7,1.0,2.0,861.1,1.0,2.0,136.3
2.0,4.0,12.8,1.0,4.0,37.5,1.0,4.0,64.5,1.0,3.0,331.1,1.0,3.0,913.6,1.0,3.0,168.4
2.0,5.0,29.7,1.0,5.0,85.2,1.0,5.0,123.6,1.0,5.0,630.9,1.0,4.0,1773.0,1.0,4.0,423.2
2.0,6.0,11.1,1.0,6.0,43.4,1.0,6.0,79.3,1.0,6.0,502.8,1.0,6.0,1674.0,1.0,5.0,580.7
3.0,2.0,8.0,3.0,1.0,33.2,2.0,1.0,47.9,2.0,1.0,436.8,2.0,1.0,1238.0,2.0,1.0,202.4
3.0,4.0,17.7,3.0,4.0,63.8,2.0,4.0,95.6,2.0,3.0,609.1,2.0,3.0,1873.0,2.0,3.0,371.8
3.0,5.0,43.2,3.0,5.0,118.6,2.0,5.0,174.5,2.0,5.0,1040.0,2.0,4.0,2699.0,2.0,4.0,756.7
3.0,6.0,17.5,3.0,6.0,110.4,2.0,6.0,156.7,2.0,6.0,945.3,2.0,6.0,2518.0,2.0,5.0,1047.0
4.0,2.0,45.6,4.0,1.0,125.3,4.0,1.0,107.7,3.0,1.0,387.6,3.0,1.0,1413.0,3.0,1.0,312.8
4.0,3.0,54.7,4.0,3.0,157.3,4.0,2.0,157.3,3.0,2.0,548.8,3.0,2.0,2081.0,3.0,2.0,481.8
4.0,5.0,135.1,4.0,5.0,340.5,4.0,5.0,269.9,3.0,5.0,738.1,3.0,4.0,1896.0,3.0,4.0,982.5
4.0,6.0,85.9,4.0,6.0,327.8,4.0,6.0,305.4,3.0,6.0,919.2,3.0,6.0,3027.0,3.0,5.0,1381.0
5.0,2.0,119.6,5.0,1.0,297.5,5.0,1.0,294.0,5.0,1.0,1157.0,4.0,1.0,2323.0,4.0,1.0,1077.0
5.0,3.0,132.6,5.0,3.0,435.5,5.0,2.0,403.3,5.0,2.0,1161.0,4.0,2.0,2539.0,4.0,2.0,1683.0
5.0,4.0,244.2,5.0,4.0,688.9,5.0,4.0,442.6,5.0,3.0,1193.0,4.0,3.0,2561.0,4.0,3.0,1896.0
5.0,6.0,161.6,5.0,6.0,774.3,5.0,6.0,692.1,5.0,6.0,1594.0,4.0,6.0,2827.0,4.0,5.0,2518.0
6.0,2.0,18.5,6.0,1.0,132.1,6.0,1.0,191.4,6.0,1.0,790.7,6.0,1.0,2583.0,5.0,1.0,1611.0
6.0,3.0,23.2,6.0,3.0,234.8,6.0,2.0,315.4,6.0,2.0,1253.0,6.0,2.0,3525.0,5.0,2.0,2397.0
6.0,4.0,49.8,6.0,4.0,455.4,6.0,4.0,541.9,6.0,3.0,1248.0,6.0,3.0,3943.0,5.0,3.0,2497.0
6.0,5.0,88.1,6.0,5.0,671.9,6.0,5.0,861.1,6.0,5.0,1664.0,6.0,4.0,3367.0,5.0,4.0,3027.0
