1,田頭 虎親,田頭 虎親.1,2,岸本 隆,岸本 隆.1,3,宇野 博之,宇野 博之.1,4,山本 修一,山本 修一.1,5,坂東 満,坂東 満.1,6,出畑 孝成,出畑 孝成.1
2.0,3.0,15.0,1.0,3.0,94.2,1.0,2.0,181.7,1.0,2.0,18.5,1.0,2.0,256.0,1.0,2.0,1210.0
2.0,4.0,6.5,1.0,4.0,47.2,1.0,4.0,116.9,1.0,3.0,30.5,1.0,3.0,472.1,1.0,3.0,2214.0
2.0,5.0,34.9,1.0,5.0,155.2,1.0,5.0,276.0,1.0,5.0,21.5,1.0,4.0,181.1,1.0,4.0,1270.0
2.0,6.0,205.7,1.0,6.0,533.5,1.0,6.0,1101.0,1.0,6.0,142.2,1.0,6.0,826.4,1.0,5.0,2145.0
3.0,2.0,20.8,3.0,1.0,223.9,2.0,1.0,259.7,2.0,1.0,51.4,2.0,1.0,557.2,2.0,1.0,1669.0
3.0,4.0,10.6,3.0,4.0,210.9,2.0,4.0,267.8,2.0,3.0,131.9,2.0,3.0,922.1,2.0,3.0,2214.0
3.0,5.0,40.4,3.0,5.0,441.4,2.0,5.0,544.0,2.0,5.0,90.0,2.0,4.0,608.0,2.0,4.0,1953.0
3.0,6.0,192.4,3.0,6.0,922.1,2.0,6.0,1394.0,2.0,6.0,372.0,2.0,6.0,1310.0,2.0,5.0,2742.0
4.0,2.0,5.5,4.0,1.0,81.0,4.0,1.0,145.3,3.0,1.0,91.5,3.0,1.0,890.4,3.0,1.0,2145.0
4.0,3.0,7.4,4.0,3.0,149.8,4.0,2.0,248.0,3.0,2.0,161.6,3.0,2.0,962.9,3.0,2.0,3479.0
4.0,5.0,11.0,4.0,5.0,186.5,4.0,5.0,317.7,3.0,5.0,183.8,3.0,4.0,976.5,3.0,4.0,3833.0
4.0,6.0,79.9,4.0,6.0,608.0,4.0,6.0,1193.0,3.0,6.0,713.8,3.0,6.0,2555.0,3.0,5.0,4452.0
5.0,2.0,75.0,5.0,1.0,454.5,5.0,1.0,613.4,5.0,1.0,42.7,4.0,1.0,217.6,4.0,1.0,1761.0
5.0,3.0,90.5,5.0,3.0,638.9,5.0,2.0,868.0,5.0,2.0,73.4,4.0,2.0,376.4,4.0,2.0,2010.0
5.0,4.0,53.6,5.0,4.0,450.0,5.0,4.0,675.4,5.0,3.0,136.5,4.0,3.0,657.2,4.0,3.0,3185.0
5.0,6.0,311.7,5.0,6.0,1169.0,5.0,6.0,2238.0,5.0,6.0,208.9,4.0,6.0,880.9,4.0,5.0,2540.0
6.0,2.0,584.0,6.0,1.0,1580.0,6.0,1.0,3569.0,6.0,1.0,494.1,6.0,1.0,1592.0,5.0,1.0,3000.0
6.0,3.0,715.1,6.0,3.0,2060.0,6.0,2.0,3044.0,6.0,2.0,805.5,6.0,2.0,1009.0,5.0,2.0,3234.0
6.0,4.0,397.7,6.0,4.0,1348.0,6.0,4.0,2479.0,6.0,3.0,1146.0,6.0,3.0,2604.0,5.0,3.0,3906.0
6.0,5.0,640.9,6.0,5.0,1890.0,6.0,5.0,2654.0,6.0,5.0,561.8,6.0,4.0,1623.0,5.0,4.0,2509.0
