1,大野 芳顕,大野 芳顕.1,2,郷原 章平,郷原 章平.1,3,伊藤 啓三,伊藤 啓三.1,4,星 栄爾,星 栄爾.1,5,渥美 卓郎,渥美 卓郎.1,6,永田 啓二,永田 啓二.1
2.0,3.0,7.7,1.0,3.0,26.4,1.0,2.0,57.9,1.0,2.0,212.2,1.0,2.0,1579.0,1.0,2.0,53.1
2.0,4.0,13.6,1.0,4.0,47.4,1.0,4.0,87.1,1.0,3.0,266.4,1.0,3.0,1500.0,1.0,3.0,62.8
2.0,5.0,98.3,1.0,5.0,237.1,1.0,5.0,251.3,1.0,5.0,636.4,1.0,4.0,1699.0,1.0,4.0,103.8
2.0,6.0,8.6,1.0,6.0,25.7,1.0,6.0,44.5,1.0,6.0,132.9,1.0,6.0,2001.0,1.0,5.0,409.7
3.0,2.0,11.6,3.0,1.0,60.5,2.0,1.0,90.0,2.0,1.0,292.1,2.0,1.0,2058.0,2.0,1.0,79.7
3.0,4.0,18.2,3.0,4.0,138.7,2.0,4.0,201.7,2.0,3.0,478.3,2.0,3.0,2251.0,2.0,3.0,117.5
3.0,5.0,109.2,3.0,5.0,417.8,2.0,5.0,562.8,2.0,5.0,1094.0,2.0,4.0,2467.0,2.0,4.0,203.5
3.0,6.0,12.3,3.0,6.0,70.0,2.0,6.0,91.7,2.0,6.0,282.2,2.0,6.0,1957.0,2.0,5.0,492.0
4.0,2.0,25.2,4.0,1.0,129.1,4.0,1.0,217.9,3.0,1.0,391.9,3.0,1.0,1748.0,3.0,1.0,135.9
4.0,3.0,30.8,4.0,3.0,205.9,4.0,2.0,272.0,3.0,2.0,474.5,3.0,2.0,3052.0,3.0,2.0,173.6
4.0,5.0,157.0,4.0,5.0,679.6,4.0,5.0,779.6,3.0,5.0,1281.0,3.0,4.0,3187.0,3.0,4.0,277.2
4.0,6.0,27.2,4.0,6.0,150.9,4.0,6.0,215.5,3.0,6.0,319.3,3.0,6.0,3187.0,3.0,5.0,784.7
5.0,2.0,331.9,5.0,1.0,984.1,5.0,1.0,955.4,5.0,1.0,957.9,4.0,1.0,2265.0,4.0,1.0,212.1
5.0,3.0,327.4,5.0,3.0,1158.0,5.0,2.0,1339.0,5.0,2.0,1305.0,4.0,2.0,2728.0,4.0,2.0,313.2
5.0,4.0,366.4,5.0,4.0,1572.0,5.0,4.0,1545.0,5.0,3.0,1757.0,4.0,3.0,3001.0,4.0,3.0,337.5
5.0,6.0,298.1,5.0,6.0,692.7,5.0,6.0,687.4,5.0,6.0,652.5,4.0,6.0,1458.0,4.0,5.0,753.5
6.0,2.0,16.2,6.0,1.0,62.2,6.0,1.0,88.1,6.0,1.0,206.0,6.0,1.0,3052.0,5.0,1.0,1147.0
6.0,3.0,20.8,6.0,3.0,88.0,6.0,2.0,113.3,6.0,2.0,308.1,6.0,2.0,2294.0,5.0,2.0,1111.0
6.0,4.0,32.9,6.0,4.0,154.9,6.0,4.0,228.9,6.0,3.0,322.1,6.0,3.0,2952.0,5.0,3.0,1552.0
6.0,5.0,171.7,6.0,5.0,509.4,6.0,5.0,557.5,6.0,5.0,631.9,6.0,4.0,1600.0,5.0,4.0,1026.0
