1,浮田 圭浩,浮田 圭浩.1,2,山根 大樹,山根 大樹.1,3,梶野 学志,梶野 学志.1,4,安河内 将,安河内 将.1,5,黒柳 浩孝,黒柳 浩孝.1,6,國弘 翔平,國弘 翔平.1
2.0,3.0,88.0,1.0,3.0,302.2,1.0,2.0,138.9,1.0,2.0,117.8,1.0,2.0,326.2,1.0,2.0,2154.0
2.0,4.0,89.5,1.0,4.0,339.8,1.0,4.0,19.9,1.0,3.0,25.0,1.0,3.0,104.7,1.0,3.0,1751.0
2.0,5.0,141.3,1.0,5.0,546.3,1.0,5.0,30.8,1.0,5.0,27.2,1.0,4.0,88.2,1.0,4.0,1493.0
2.0,6.0,307.2,1.0,6.0,951.3,1.0,6.0,139.4,1.0,6.0,92.7,1.0,6.0,196.7,1.0,5.0,1696.0
3.0,2.0,61.0,3.0,1.0,421.6,2.0,1.0,362.1,2.0,1.0,279.0,2.0,1.0,604.5,2.0,1.0,3376.0
3.0,4.0,11.5,3.0,4.0,462.1,2.0,4.0,272.4,2.0,3.0,275.0,2.0,3.0,666.9,2.0,3.0,4358.0
3.0,5.0,20.3,3.0,5.0,657.5,2.0,5.0,361.8,2.0,5.0,275.8,2.0,4.0,540.0,2.0,4.0,3346.0
3.0,6.0,107.5,3.0,6.0,1171.0,2.0,6.0,533.1,2.0,6.0,438.3,2.0,6.0,737.8,2.0,5.0,4074.0
4.0,2.0,61.1,4.0,1.0,406.0,4.0,1.0,21.7,3.0,1.0,28.6,3.0,1.0,115.8,3.0,1.0,1922.0
4.0,3.0,12.1,4.0,3.0,451.0,4.0,2.0,116.2,3.0,2.0,107.7,3.0,2.0,414.6,3.0,2.0,2357.0
4.0,5.0,16.8,4.0,5.0,582.0,4.0,5.0,13.1,3.0,5.0,15.8,3.0,4.0,55.2,3.0,4.0,1095.0
4.0,6.0,88.1,4.0,6.0,946.5,4.0,6.0,53.0,3.0,6.0,53.5,3.0,6.0,184.1,3.0,5.0,1441.0
5.0,2.0,157.4,5.0,1.0,794.1,5.0,1.0,54.1,5.0,1.0,27.7,4.0,1.0,72.4,4.0,1.0,1511.0
5.0,3.0,41.1,5.0,3.0,1015.0,5.0,2.0,228.9,5.0,2.0,115.6,4.0,2.0,230.0,4.0,2.0,2231.0
5.0,4.0,34.8,5.0,4.0,814.8,5.0,4.0,28.4,5.0,3.0,18.5,4.0,3.0,47.0,4.0,3.0,1118.0
5.0,6.0,163.7,5.0,6.0,1673.0,5.0,6.0,96.8,5.0,6.0,36.6,4.0,6.0,88.4,4.0,5.0,581.1
6.0,2.0,621.6,6.0,1.0,1846.0,6.0,1.0,428.3,6.0,1.0,221.3,6.0,1.0,290.7,5.0,1.0,1301.0
6.0,3.0,412.8,6.0,3.0,2094.0,6.0,2.0,920.9,6.0,2.0,433.3,6.0,2.0,580.2,5.0,2.0,2258.0
6.0,4.0,391.2,6.0,4.0,1688.0,6.0,4.0,233.5,6.0,3.0,169.0,6.0,3.0,285.2,5.0,3.0,1306.0
6.0,5.0,470.2,6.0,5.0,1942.0,6.0,5.0,294.9,6.0,5.0,127.3,6.0,4.0,196.7,5.0,4.0,623.6
