1,榎 幸司,榎 幸司.1,2,今村 暢孝,今村 暢孝.1,3,堤 啓輔,堤 啓輔.1,4,内田 圭,内田 圭.1,5,梶山 涼斗,梶山 涼斗.1,6,松下 哲也,松下 哲也.1
2.0,3.0,6.0,1.0,3.0,11.8,1.0,2.0,67.4,1.0,2.0,82.6,1.0,2.0,114.9,1.0,2.0,500.2
2.0,4.0,13.9,1.0,4.0,21.2,1.0,4.0,122.7,1.0,3.0,137.5,1.0,3.0,204.3,1.0,3.0,862.1
2.0,5.0,13.1,1.0,5.0,21.4,1.0,5.0,141.7,1.0,5.0,85.0,1.0,4.0,199.8,1.0,4.0,780.4
2.0,6.0,34.7,1.0,6.0,55.0,1.0,6.0,265.5,1.0,6.0,149.7,1.0,6.0,220.6,1.0,5.0,726.3
3.0,2.0,12.4,3.0,1.0,32.0,2.0,1.0,76.2,2.0,1.0,85.1,2.0,1.0,137.0,2.0,1.0,573.6
3.0,4.0,24.4,3.0,4.0,69.9,2.0,4.0,188.4,2.0,3.0,169.2,2.0,3.0,275.3,2.0,3.0,998.3
3.0,5.0,25.5,3.0,5.0,80.7,2.0,5.0,209.6,2.0,5.0,113.5,2.0,4.0,272.4,2.0,4.0,975.1
3.0,6.0,66.3,3.0,6.0,183.0,2.0,6.0,385.0,2.0,6.0,187.7,2.0,6.0,293.9,2.0,5.0,1022.0
4.0,2.0,34.0,4.0,1.0,56.3,4.0,1.0,253.0,3.0,1.0,295.6,3.0,1.0,439.6,3.0,1.0,1450.0
4.0,3.0,47.9,4.0,3.0,108.6,4.0,2.0,282.4,3.0,2.0,352.8,3.0,2.0,437.1,3.0,2.0,1527.0
4.0,5.0,59.7,4.0,5.0,107.9,4.0,5.0,326.6,3.0,5.0,362.0,3.0,4.0,654.2,3.0,4.0,2014.0
4.0,6.0,96.6,4.0,6.0,184.8,4.0,6.0,488.0,3.0,6.0,645.0,3.0,6.0,875.2,3.0,5.0,1837.0
5.0,2.0,33.5,5.0,1.0,68.8,5.0,1.0,303.6,5.0,1.0,92.8,4.0,1.0,196.1,4.0,1.0,952.9
5.0,3.0,55.7,5.0,3.0,144.3,5.0,2.0,337.6,5.0,2.0,108.9,4.0,2.0,215.1,4.0,2.0,1048.0
5.0,4.0,85.7,5.0,4.0,157.1,5.0,4.0,437.6,5.0,3.0,229.6,4.0,3.0,447.8,4.0,3.0,2031.0
5.0,6.0,108.3,5.0,6.0,235.0,5.0,6.0,558.3,5.0,6.0,112.3,4.0,6.0,229.9,4.0,5.0,802.1
6.0,2.0,136.3,6.0,1.0,264.9,6.0,1.0,785.7,6.0,1.0,281.0,6.0,1.0,360.3,5.0,1.0,1062.0
6.0,3.0,233.5,6.0,3.0,483.4,6.0,2.0,843.2,6.0,2.0,295.2,6.0,2.0,389.2,5.0,2.0,1092.0
6.0,4.0,262.6,6.0,4.0,444.7,6.0,4.0,1024.0,6.0,3.0,597.4,6.0,3.0,742.7,5.0,3.0,2014.0
6.0,5.0,228.5,6.0,5.0,408.1,6.0,5.0,933.6,6.0,5.0,218.8,6.0,4.0,421.2,5.0,4.0,966.9
