1,中野 希一,中野 希一.1,2,山本　稔太朗,山本　稔太朗.1,3,笹木 香吾,笹木 香吾.1,4,岩下 巧斗,岩下 巧斗.1,5,小林 京平,小林 京平.1,6,山下 大輝,山下 大輝.1
2.0,3.0,9.9,1.0,3.0,95.1,1.0,2.0,48.9,1.0,2.0,557.4,1.0,2.0,630.1,1.0,2.0,34.2
2.0,4.0,34.3,1.0,4.0,210.3,1.0,4.0,64.7,1.0,3.0,373.1,1.0,3.0,421.3,1.0,3.0,31.3
2.0,5.0,40.7,1.0,5.0,249.3,1.0,5.0,88.0,1.0,5.0,499.1,1.0,4.0,819.8,1.0,4.0,112.3
2.0,6.0,13.0,1.0,6.0,103.1,1.0,6.0,24.9,1.0,6.0,306.3,1.0,6.0,340.2,1.0,5.0,142.1
3.0,2.0,9.0,3.0,1.0,191.8,2.0,1.0,108.6,2.0,1.0,936.3,2.0,1.0,1207.0,2.0,1.0,89.1
3.0,4.0,19.4,3.0,4.0,600.9,2.0,4.0,418.4,2.0,3.0,1362.0,2.0,3.0,1820.0,2.0,3.0,113.6
3.0,5.0,28.2,3.0,5.0,805.2,2.0,5.0,499.1,2.0,5.0,1596.0,2.0,4.0,2399.0,2.0,4.0,357.3
3.0,6.0,7.0,3.0,6.0,312.3,2.0,6.0,140.5,2.0,6.0,1118.0,2.0,6.0,1372.0,2.0,5.0,445.7
4.0,2.0,70.5,4.0,1.0,651.7,4.0,1.0,140.1,3.0,1.0,457.5,3.0,1.0,527.4,3.0,1.0,55.5
4.0,3.0,54.5,4.0,3.0,1098.0,4.0,2.0,328.2,3.0,2.0,1191.0,3.0,2.0,1289.0,3.0,2.0,132.0
4.0,5.0,150.9,4.0,5.0,1503.0,4.0,5.0,278.9,3.0,5.0,810.6,3.0,4.0,1367.0,3.0,4.0,238.2
4.0,6.0,55.8,4.0,6.0,958.6,4.0,6.0,122.8,3.0,6.0,487.0,3.0,6.0,683.6,3.0,5.0,305.0
5.0,2.0,85.2,5.0,1.0,621.5,5.0,1.0,204.1,5.0,1.0,905.8,4.0,1.0,1317.0,4.0,1.0,357.7
5.0,3.0,77.5,5.0,3.0,1372.0,5.0,2.0,452.9,5.0,2.0,1858.0,4.0,2.0,2431.0,4.0,2.0,648.2
5.0,4.0,177.6,5.0,4.0,1793.0,5.0,4.0,348.4,5.0,3.0,1535.0,4.0,3.0,2169.0,4.0,3.0,463.9
5.0,6.0,73.3,5.0,6.0,1139.0,5.0,6.0,165.6,5.0,6.0,922.0,4.0,6.0,1415.0,4.0,5.0,792.8
6.0,2.0,15.2,6.0,1.0,216.7,6.0,1.0,36.9,6.0,1.0,525.1,6.0,1.0,463.9,5.0,1.0,376.2
6.0,3.0,10.8,6.0,3.0,410.8,6.0,2.0,88.1,6.0,2.0,968.8,6.0,2.0,929.1,5.0,2.0,698.1
6.0,4.0,40.9,6.0,4.0,860.7,6.0,4.0,116.2,6.0,3.0,764.4,6.0,3.0,634.5,5.0,3.0,511.0
6.0,5.0,47.5,6.0,5.0,1015.0,6.0,5.0,153.5,6.0,5.0,1056.0,6.0,4.0,1240.0,5.0,4.0,881.6
