1,乙津 康志,乙津 康志.1,2,久田 武,久田 武.1,3,原村 拓也,原村 拓也.1,4,荒川 健太,荒川 健太.1,5,田中 和也,田中 和也.1,6,永田 義紘,永田 義紘.1
2.0,3.0,27.9,1.0,3.0,38.3,1.0,2.0,144.4,1.0,2.0,49.5,1.0,2.0,66.6,1.0,2.0,1259.0
2.0,4.0,11.1,1.0,4.0,13.8,1.0,4.0,208.8,1.0,3.0,125.6,1.0,3.0,215.6,1.0,3.0,1433.0
2.0,5.0,13.5,1.0,5.0,14.5,1.0,5.0,162.7,1.0,5.0,46.0,1.0,4.0,77.4,1.0,4.0,1402.0
2.0,6.0,150.1,1.0,6.0,132.9,1.0,6.0,390.1,1.0,6.0,178.3,1.0,6.0,256.2,1.0,5.0,1582.0
3.0,2.0,43.0,3.0,1.0,77.9,2.0,1.0,171.1,2.0,1.0,55.7,2.0,1.0,77.8,2.0,1.0,1521.0
3.0,4.0,59.8,3.0,4.0,68.7,2.0,4.0,156.8,2.0,3.0,120.9,2.0,3.0,183.1,2.0,3.0,2039.0
3.0,5.0,63.4,3.0,5.0,76.8,2.0,5.0,161.4,2.0,5.0,34.4,2.0,4.0,54.1,2.0,4.0,1052.0
3.0,6.0,248.4,3.0,6.0,371.0,2.0,6.0,504.5,2.0,6.0,170.3,2.0,6.0,240.0,2.0,5.0,1595.0
4.0,2.0,21.5,4.0,1.0,22.0,4.0,1.0,297.4,3.0,1.0,332.9,3.0,1.0,412.9,3.0,1.0,1997.0
4.0,3.0,65.8,4.0,3.0,55.5,4.0,2.0,217.1,3.0,2.0,207.7,3.0,2.0,335.2,3.0,2.0,2602.0
4.0,5.0,27.6,4.0,5.0,15.6,4.0,5.0,231.6,3.0,5.0,210.8,3.0,4.0,342.2,3.0,4.0,1920.0
4.0,6.0,174.7,4.0,6.0,156.8,4.0,6.0,648.5,3.0,6.0,608.5,3.0,6.0,817.3,3.0,5.0,3190.0
5.0,2.0,26.8,5.0,1.0,31.4,5.0,1.0,311.4,5.0,1.0,47.0,4.0,1.0,89.1,4.0,1.0,2039.0
5.0,3.0,80.2,5.0,3.0,80.9,5.0,2.0,241.2,5.0,2.0,36.0,4.0,2.0,56.6,4.0,2.0,1143.0
5.0,4.0,40.7,5.0,4.0,20.2,5.0,4.0,264.7,5.0,3.0,125.0,4.0,3.0,211.5,4.0,3.0,2637.0
5.0,6.0,197.5,5.0,6.0,167.9,5.0,6.0,679.7,5.0,6.0,98.2,4.0,6.0,175.0,4.0,5.0,1267.0
6.0,2.0,580.0,6.0,1.0,614.2,6.0,1.0,1041.0,6.0,1.0,461.0,6.0,1.0,547.9,5.0,1.0,1798.0
6.0,3.0,763.6,6.0,3.0,1019.0,6.0,2.0,1004.0,6.0,2.0,393.2,6.0,2.0,485.9,5.0,2.0,1608.0
6.0,4.0,766.6,6.0,4.0,595.7,6.0,4.0,1267.0,6.0,3.0,810.6,6.0,3.0,1276.0,5.0,3.0,3296.0
6.0,5.0,714.0,6.0,5.0,573.3,6.0,5.0,1276.0,6.0,5.0,320.5,6.0,4.0,583.4,5.0,4.0,1327.0
