1,峰重 力也,峰重 力也.1,2,鈴木 成美,鈴木 成美.1,3,今坂 晃広,今坂 晃広.1,4,貫地谷　直人,貫地谷　直人.1,5,杉村 賢也,杉村 賢也.1,6,宮地 博士,宮地 博士.1
2.0,3.0,9.8,1.0,3.0,36.6,1.0,2.0,29.7,1.0,2.0,262.2,1.0,2.0,115.7,1.0,2.0,398.9
2.0,4.0,23.8,1.0,4.0,73.0,1.0,4.0,41.8,1.0,3.0,232.5,1.0,3.0,104.4,1.0,3.0,457.4
2.0,5.0,19.0,1.0,5.0,60.2,1.0,5.0,27.9,1.0,5.0,257.4,1.0,4.0,252.0,1.0,4.0,731.9
2.0,6.0,23.7,1.0,6.0,105.6,1.0,6.0,45.8,1.0,6.0,245.4,1.0,6.0,166.6,1.0,5.0,738.3
3.0,2.0,8.2,3.0,1.0,62.2,2.0,1.0,51.4,2.0,1.0,425.1,2.0,1.0,184.5,2.0,1.0,637.6
3.0,4.0,14.1,3.0,4.0,143.3,2.0,4.0,137.7,2.0,3.0,318.8,2.0,3.0,242.5,2.0,3.0,707.3
3.0,5.0,10.6,3.0,5.0,100.6,2.0,5.0,104.3,2.0,5.0,420.8,2.0,4.0,609.9,2.0,4.0,1014.0
3.0,6.0,14.1,3.0,6.0,199.9,2.0,6.0,143.3,2.0,6.0,526.0,2.0,6.0,420.8,2.0,5.0,945.7
4.0,2.0,44.6,4.0,1.0,212.5,4.0,1.0,107.9,3.0,1.0,353.6,3.0,1.0,205.3,3.0,1.0,689.9
4.0,3.0,37.5,4.0,3.0,258.9,4.0,2.0,164.7,3.0,2.0,516.4,3.0,2.0,347.8,3.0,2.0,956.5
4.0,5.0,55.8,4.0,5.0,260.5,4.0,5.0,151.3,3.0,5.0,427.2,3.0,4.0,475.5,3.0,4.0,1202.0
4.0,6.0,67.7,4.0,6.0,459.9,4.0,6.0,166.3,3.0,6.0,454.9,3.0,6.0,259.7,3.0,5.0,1137.0
5.0,2.0,38.7,5.0,1.0,136.8,5.0,1.0,75.6,5.0,1.0,395.1,4.0,1.0,519.5,4.0,1.0,1107.0
5.0,3.0,30.9,5.0,3.0,184.1,5.0,2.0,131.7,5.0,2.0,498.0,4.0,2.0,772.2,4.0,2.0,1153.0
5.0,4.0,70.4,5.0,4.0,327.5,5.0,4.0,175.7,5.0,3.0,447.7,4.0,3.0,744.8,4.0,3.0,1476.0
5.0,6.0,59.5,5.0,6.0,404.6,5.0,6.0,123.6,5.0,6.0,387.8,4.0,6.0,695.6,4.0,5.0,1683.0
6.0,2.0,90.4,6.0,1.0,410.6,6.0,1.0,193.0,6.0,1.0,380.8,6.0,1.0,576.5,5.0,1.0,1107.0
6.0,3.0,63.0,6.0,3.0,561.1,6.0,2.0,293.2,6.0,2.0,684.3,6.0,2.0,695.6,5.0,2.0,1153.0
6.0,4.0,112.5,6.0,4.0,772.2,6.0,4.0,303.8,6.0,3.0,498.0,6.0,3.0,382.6,5.0,3.0,1402.0
6.0,5.0,116.4,6.0,5.0,758.3,6.0,5.0,229.9,6.0,5.0,628.1,6.0,4.0,786.6,5.0,4.0,1683.0
