1,藤田 竜弘,藤田 竜弘.1,2,永田 啓二,永田 啓二.1,3,竹田 広樹,竹田 広樹.1,4,富永 正人,富永 正人.1,5,菊池 峰晴,菊池 峰晴.1,6,楠原 正剛,楠原 正剛.1
2.0,3.0,14.8,1.0,3.0,12.5,1.0,2.0,178.3,1.0,2.0,231.4,1.0,2.0,149.9,1.0,2.0,393.1
2.0,4.0,14.5,1.0,4.0,10.9,1.0,4.0,357.7,1.0,3.0,676.8,1.0,3.0,586.5,1.0,3.0,1605.0
2.0,5.0,11.8,1.0,5.0,7.5,1.0,5.0,290.5,1.0,5.0,440.9,1.0,4.0,575.7,1.0,4.0,1406.0
2.0,6.0,21.3,1.0,6.0,15.8,1.0,6.0,481.6,1.0,6.0,494.9,1.0,6.0,386.4,1.0,5.0,1170.0
3.0,2.0,39.8,3.0,1.0,33.9,2.0,1.0,146.3,2.0,1.0,193.9,2.0,1.0,135.0,2.0,1.0,421.6
3.0,4.0,99.6,3.0,4.0,44.1,2.0,4.0,188.8,2.0,3.0,507.9,2.0,3.0,285.8,2.0,3.0,1284.0
3.0,5.0,82.5,3.0,5.0,29.8,2.0,5.0,138.5,2.0,5.0,217.7,2.0,4.0,294.2,2.0,4.0,821.1
3.0,6.0,154.8,3.0,6.0,50.7,2.0,6.0,223.8,2.0,6.0,288.8,2.0,6.0,178.2,2.0,5.0,561.5
4.0,2.0,53.1,4.0,1.0,34.9,4.0,1.0,650.4,3.0,1.0,1079.0,3.0,1.0,963.2,3.0,1.0,2362.0
4.0,3.0,161.7,4.0,3.0,58.7,4.0,2.0,501.8,3.0,2.0,1128.0,3.0,2.0,468.1,3.0,2.0,2104.0
4.0,5.0,132.4,4.0,5.0,35.9,4.0,5.0,754.3,3.0,5.0,1431.0,3.0,4.0,1926.0,3.0,4.0,3527.0
4.0,6.0,137.0,4.0,6.0,47.4,4.0,6.0,840.4,3.0,6.0,1473.0,3.0,6.0,1626.0,3.0,5.0,2878.0
5.0,2.0,42.7,5.0,1.0,22.2,5.0,1.0,485.3,5.0,1.0,559.0,4.0,1.0,907.3,4.0,1.0,1751.0
5.0,3.0,141.9,5.0,3.0,36.5,5.0,2.0,295.6,5.0,2.0,379.4,4.0,2.0,514.2,4.0,2.0,1332.0
5.0,4.0,149.8,5.0,4.0,40.5,5.0,4.0,749.8,5.0,3.0,1209.0,4.0,3.0,2340.0,4.0,3.0,2912.0
5.0,6.0,134.9,5.0,6.0,31.4,5.0,6.0,775.3,5.0,6.0,660.7,4.0,6.0,1164.0,4.0,5.0,2608.0
6.0,2.0,88.5,6.0,1.0,57.9,6.0,1.0,1047.0,6.0,1.0,900.8,6.0,1.0,705.4,5.0,1.0,1143.0
6.0,3.0,278.8,6.0,3.0,108.1,6.0,2.0,851.8,6.0,2.0,723.8,6.0,2.0,393.7,5.0,2.0,699.5
6.0,4.0,250.9,6.0,4.0,94.9,6.0,4.0,1763.0,6.0,3.0,1595.0,6.0,3.0,1692.0,5.0,3.0,2431.0
6.0,5.0,224.2,6.0,5.0,65.7,6.0,5.0,1353.0,6.0,5.0,1061.0,6.0,4.0,1464.0,5.0,4.0,2052.0
