1,守田 俊介,守田 俊介.1,2,小野寺　智洋,小野寺　智洋.1,3,冨田 秀幸,冨田 秀幸.1,4,山田 佑樹,山田 佑樹.1,5,岡本 大,岡本 大.1,6,松山 裕基,松山 裕基.1
2.0,3.0,6.0,1.0,3.0,30.8,1.0,2.0,247.0,1.0,2.0,48.3,1.0,2.0,772.0,1.0,2.0,723.5
2.0,4.0,3.4,1.0,4.0,18.3,1.0,4.0,304.3,1.0,3.0,164.1,1.0,3.0,1763.0,1.0,3.0,2030.0
2.0,5.0,17.2,1.0,5.0,86.3,1.0,5.0,608.6,1.0,5.0,134.1,1.0,4.0,702.4,1.0,4.0,881.9
2.0,6.0,18.0,1.0,6.0,78.4,1.0,6.0,651.3,1.0,6.0,132.7,1.0,6.0,1429.0,1.0,5.0,1980.0
3.0,2.0,17.1,3.0,1.0,129.2,2.0,1.0,389.7,2.0,1.0,91.7,2.0,1.0,1380.0,2.0,1.0,1046.0
3.0,4.0,21.1,3.0,4.0,137.8,2.0,4.0,356.9,2.0,3.0,270.9,2.0,3.0,3222.0,2.0,3.0,2842.0
3.0,5.0,64.3,3.0,5.0,328.7,2.0,5.0,750.4,2.0,5.0,255.7,2.0,4.0,1108.0,2.0,4.0,1098.0
3.0,6.0,64.9,3.0,6.0,387.8,2.0,6.0,1088.0,2.0,6.0,245.3,2.0,6.0,2196.0,2.0,5.0,3717.0
4.0,2.0,7.6,4.0,1.0,53.4,4.0,1.0,534.6,3.0,1.0,459.4,3.0,1.0,2491.0,3.0,1.0,3403.0
4.0,3.0,19.2,4.0,3.0,98.9,4.0,2.0,567.2,3.0,2.0,484.2,3.0,2.0,3717.0,3.0,2.0,3222.0
4.0,5.0,32.7,4.0,5.0,183.0,4.0,5.0,1342.0,3.0,5.0,978.3,3.0,4.0,3717.0,3.0,4.0,2323.0
4.0,6.0,31.6,4.0,6.0,163.9,4.0,6.0,1380.0,3.0,6.0,891.7,3.0,6.0,4315.0,3.0,5.0,5370.0
5.0,2.0,79.9,5.0,1.0,447.5,5.0,1.0,1751.0,5.0,1.0,221.9,4.0,1.0,797.5,4.0,1.0,1184.0
5.0,3.0,172.8,5.0,3.0,1184.0,5.0,2.0,2570.0,5.0,2.0,306.2,4.0,2.0,891.7,4.0,2.0,966.6
5.0,4.0,108.5,5.0,4.0,468.3,5.0,4.0,2237.0,5.0,3.0,792.3,4.0,3.0,3265.0,4.0,3.0,3606.0
5.0,6.0,184.7,5.0,6.0,1184.0,5.0,6.0,2809.0,5.0,6.0,368.3,4.0,6.0,1689.0,4.0,5.0,1997.0
6.0,2.0,83.7,6.0,1.0,468.3,6.0,1.0,2083.0,6.0,1.0,329.6,6.0,1.0,2065.0,5.0,1.0,2911.0
6.0,3.0,218.8,6.0,3.0,1421.0,6.0,2.0,2911.0,6.0,2.0,401.4,6.0,2.0,3138.0,5.0,2.0,4833.0
6.0,4.0,123.9,6.0,4.0,596.6,6.0,4.0,1948.0,6.0,3.0,966.6,6.0,3.0,3775.0,5.0,3.0,5619.0
6.0,5.0,236.2,6.0,5.0,1429.0,6.0,5.0,3179.0,6.0,5.0,630.9,6.0,4.0,2301.0,5.0,4.0,2626.0
