1,田川 大貴,田川 大貴.1,2,榎 幸司,榎 幸司.1,3,西丸　侑太朗,西丸　侑太朗.1,4,菊池 峰晴,菊池 峰晴.1,5,永田 啓二,永田 啓二.1,6,山崎 善庸,山崎 善庸.1
2.0,3.0,15.5,1.0,3.0,72.5,1.0,2.0,105.4,1.0,2.0,127.6,1.0,2.0,27.7,1.0,2.0,2289.0
2.0,4.0,13.3,1.0,4.0,49.9,1.0,4.0,80.5,1.0,3.0,203.4,1.0,3.0,50.8,1.0,3.0,3129.0
2.0,5.0,8.1,1.0,5.0,30.9,1.0,5.0,52.8,1.0,5.0,84.5,1.0,4.0,37.5,1.0,4.0,3175.0
2.0,6.0,144.5,1.0,6.0,347.1,1.0,6.0,378.6,1.0,6.0,442.5,1.0,6.0,135.3,1.0,5.0,2265.0
3.0,2.0,20.9,3.0,1.0,218.9,2.0,1.0,210.2,2.0,1.0,200.8,2.0,1.0,52.5,2.0,1.0,2416.0
3.0,4.0,21.8,3.0,4.0,398.0,2.0,4.0,244.3,2.0,3.0,595.9,2.0,3.0,132.7,2.0,3.0,3595.0
3.0,5.0,13.7,3.0,5.0,239.0,2.0,5.0,205.5,2.0,5.0,190.3,2.0,4.0,97.8,2.0,4.0,3372.0
3.0,6.0,150.0,3.0,6.0,1215.0,2.0,6.0,658.1,2.0,6.0,939.5,2.0,6.0,247.5,2.0,5.0,2824.0
4.0,2.0,26.2,4.0,1.0,146.7,4.0,1.0,172.3,3.0,1.0,396.1,3.0,1.0,112.9,3.0,1.0,3085.0
4.0,3.0,36.1,4.0,3.0,479.1,4.0,2.0,290.2,3.0,2.0,678.6,3.0,2.0,169.0,3.0,2.0,3816.0
4.0,5.0,18.1,4.0,5.0,148.5,4.0,5.0,137.6,3.0,5.0,305.0,3.0,4.0,160.9,3.0,4.0,4104.0
4.0,6.0,221.7,4.0,6.0,939.5,4.0,6.0,526.0,3.0,6.0,1112.0,3.0,6.0,417.4,3.0,5.0,3222.0
5.0,2.0,10.4,5.0,1.0,57.5,5.0,1.0,95.4,5.0,1.0,80.4,4.0,1.0,72.9,4.0,1.0,3270.0
5.0,3.0,16.3,5.0,3.0,191.9,5.0,2.0,172.6,5.0,2.0,116.9,4.0,2.0,91.4,4.0,2.0,3536.0
5.0,4.0,15.7,5.0,4.0,122.1,5.0,4.0,131.7,5.0,3.0,204.4,4.0,3.0,152.1,4.0,3.0,4531.0
5.0,6.0,93.4,5.0,6.0,531.1,5.0,6.0,418.6,5.0,6.0,260.3,4.0,6.0,214.4,4.0,5.0,3042.0
6.0,2.0,483.3,6.0,1.0,1342.0,6.0,1.0,1426.0,6.0,1.0,1191.0,6.0,1.0,282.4,5.0,1.0,2230.0
6.0,3.0,539.7,6.0,3.0,1805.0,6.0,2.0,1542.0,6.0,2.0,1398.0,6.0,2.0,378.9,5.0,2.0,2685.0
6.0,4.0,608.4,6.0,4.0,1629.0,6.0,4.0,1553.0,6.0,3.0,1521.0,6.0,3.0,493.2,5.0,3.0,3000.0
6.0,5.0,458.4,6.0,5.0,1537.0,6.0,5.0,993.2,6.0,5.0,912.0,6.0,4.0,427.7,5.0,4.0,2685.0
