1,安田 吉宏,安田 吉宏.1,2,鈴木 賢一,鈴木 賢一.1,3,佐々木　和伸,佐々木　和伸.1,4,杉山 正樹,杉山 正樹.1,5,庄司　樹良々,庄司　樹良々.1,6,西橋 奈未,西橋 奈未.1
2.0,3.0,63.1,1.0,3.0,90.0,1.0,2.0,142.9,1.0,2.0,74.8,1.0,2.0,261.2,1.0,2.0,583.1
2.0,4.0,50.9,1.0,4.0,67.2,1.0,4.0,73.8,1.0,3.0,52.7,1.0,3.0,268.8,1.0,3.0,620.4
2.0,5.0,95.0,1.0,5.0,118.3,1.0,5.0,126.5,1.0,5.0,50.6,1.0,4.0,170.7,1.0,4.0,345.3
2.0,6.0,131.5,1.0,6.0,149.5,1.0,6.0,131.8,1.0,6.0,42.2,1.0,6.0,235.4,1.0,5.0,603.5
3.0,2.0,76.7,3.0,1.0,126.7,2.0,1.0,164.8,2.0,1.0,80.5,2.0,1.0,305.3,2.0,1.0,801.1
3.0,4.0,37.4,3.0,4.0,44.3,2.0,4.0,53.3,2.0,3.0,50.9,2.0,3.0,289.9,2.0,3.0,600.0
3.0,5.0,78.1,3.0,5.0,78.1,2.0,5.0,95.2,2.0,5.0,48.3,2.0,4.0,158.5,2.0,4.0,364.4
3.0,6.0,82.7,3.0,6.0,107.2,2.0,6.0,115.0,2.0,6.0,52.0,2.0,6.0,228.3,2.0,5.0,724.5
4.0,2.0,47.4,4.0,1.0,69.8,4.0,1.0,62.6,3.0,1.0,63.0,3.0,1.0,310.2,3.0,1.0,605.9
4.0,3.0,32.7,4.0,3.0,43.4,4.0,2.0,44.7,3.0,2.0,51.0,3.0,2.0,326.8,3.0,2.0,572.4
4.0,5.0,47.7,4.0,5.0,53.4,4.0,5.0,35.8,3.0,5.0,36.1,3.0,4.0,151.7,3.0,4.0,165.1
4.0,6.0,39.6,4.0,6.0,61.9,4.0,6.0,30.2,3.0,6.0,28.2,3.0,6.0,205.4,3.0,5.0,445.3
5.0,2.0,164.3,5.0,1.0,194.6,5.0,1.0,177.4,5.0,1.0,54.6,4.0,1.0,128.5,4.0,1.0,268.6
5.0,3.0,156.6,5.0,3.0,123.0,5.0,2.0,165.6,5.0,2.0,44.6,4.0,2.0,121.2,4.0,2.0,270.0
5.0,4.0,113.4,5.0,4.0,90.2,5.0,4.0,80.5,5.0,3.0,41.3,4.0,3.0,111.8,4.0,3.0,145.1
5.0,6.0,188.8,5.0,6.0,166.3,5.0,6.0,117.7,5.0,6.0,21.6,4.0,6.0,72.1,4.0,5.0,172.1
6.0,2.0,278.7,6.0,1.0,381.3,6.0,1.0,247.4,6.0,1.0,48.8,6.0,1.0,304.4,5.0,1.0,692.2
6.0,3.0,215.5,6.0,3.0,250.0,6.0,2.0,252.0,6.0,2.0,66.0,6.0,2.0,287.5,5.0,2.0,622.9
6.0,4.0,118.6,6.0,4.0,177.8,6.0,4.0,84.0,6.0,3.0,34.8,6.0,3.0,239.4,5.0,3.0,455.1
6.0,5.0,270.0,6.0,5.0,279.7,6.0,5.0,175.3,6.0,5.0,31.5,6.0,4.0,124.0,5.0,4.0,204.0
