1,嶋田 貴支,嶋田 貴支.1,2,寺嶋 雄,寺嶋 雄.1,3,青木　幸太郎,青木　幸太郎.1,4,玄馬 徹,玄馬 徹.1,5,新田 智彰,新田 智彰.1,6,山口 達也,山口 達也.1
2.0,3.0,11.7,1.0,3.0,33.0,1.0,2.0,48.3,1.0,2.0,477.4,1.0,2.0,179.2,1.0,2.0,51.8
2.0,4.0,53.2,1.0,4.0,100.4,1.0,4.0,102.9,1.0,3.0,552.7,1.0,3.0,181.5,1.0,3.0,82.7
2.0,5.0,22.5,1.0,5.0,41.1,1.0,5.0,42.7,1.0,5.0,512.3,1.0,4.0,412.5,1.0,4.0,223.9
2.0,6.0,13.8,1.0,6.0,36.1,1.0,6.0,31.8,1.0,6.0,305.7,1.0,6.0,105.9,1.0,5.0,88.6
3.0,2.0,15.1,3.0,1.0,70.9,2.0,1.0,71.4,2.0,1.0,512.3,2.0,1.0,276.3,2.0,1.0,118.6
3.0,4.0,49.9,3.0,4.0,255.0,2.0,4.0,195.8,2.0,3.0,807.1,2.0,3.0,423.3,2.0,3.0,177.5
3.0,5.0,21.4,3.0,5.0,116.5,2.0,5.0,96.6,2.0,5.0,784.6,2.0,4.0,719.2,2.0,4.0,335.9
3.0,6.0,15.5,3.0,6.0,84.6,2.0,6.0,63.9,2.0,6.0,569.5,2.0,6.0,292.9,2.0,5.0,198.2
4.0,2.0,134.0,4.0,1.0,296.0,4.0,1.0,231.8,3.0,1.0,656.1,3.0,1.0,275.0,3.0,1.0,112.8
4.0,3.0,129.8,4.0,3.0,428.2,4.0,2.0,382.9,3.0,2.0,807.1,3.0,2.0,346.2,3.0,2.0,173.6
4.0,5.0,150.8,4.0,5.0,393.6,4.0,5.0,223.5,3.0,5.0,641.1,3.0,4.0,684.1,3.0,4.0,405.0
4.0,6.0,88.4,4.0,6.0,291.4,4.0,6.0,157.1,3.0,6.0,498.6,3.0,6.0,234.2,3.0,5.0,170.7
5.0,2.0,48.5,5.0,1.0,131.2,5.0,1.0,79.9,5.0,1.0,656.1,4.0,1.0,790.1,4.0,1.0,400.7
5.0,3.0,43.7,5.0,3.0,188.2,5.0,2.0,140.2,5.0,2.0,927.2,4.0,2.0,1193.0,4.0,2.0,633.9
5.0,4.0,151.2,5.0,4.0,370.2,5.0,4.0,189.2,5.0,3.0,723.8,4.0,3.0,912.2,4.0,3.0,644.8
5.0,6.0,33.6,5.0,6.0,127.6,5.0,6.0,56.7,5.0,6.0,400.7,4.0,6.0,600.0,4.0,5.0,492.1
6.0,2.0,24.0,6.0,1.0,79.0,6.0,1.0,54.0,6.0,1.0,402.1,6.0,1.0,131.6,5.0,1.0,123.9
6.0,3.0,22.9,6.0,3.0,119.3,6.0,2.0,88.9,6.0,2.0,600.0,6.0,2.0,264.6,5.0,2.0,264.6
6.0,4.0,62.6,6.0,4.0,271.0,6.0,4.0,155.8,6.0,3.0,575.3,6.0,3.0,235.2,5.0,3.0,244.9
6.0,5.0,27.0,6.0,5.0,127.3,6.0,5.0,60.4,6.0,5.0,415.5,6.0,4.0,450.6,5.0,4.0,403.5
