1,堀本 和也,堀本 和也.1,2,中田 元泰,中田 元泰.1,3,伊倉 光,伊倉 光.1,4,深山 祐二,深山 祐二.1,5,金子 貴志,金子 貴志.1,6,北川 潤二,北川 潤二.1
2.0,3.0,15.2,1.0,3.0,27.5,1.0,2.0,160.8,1.0,2.0,309.4,1.0,2.0,500.7,1.0,2.0,19.8
2.0,4.0,21.6,1.0,4.0,36.2,1.0,4.0,291.8,1.0,3.0,468.5,1.0,3.0,1200.0,1.0,3.0,68.4
2.0,5.0,29.6,1.0,5.0,38.1,1.0,5.0,339.2,1.0,5.0,490.3,1.0,4.0,1051.0,1.0,4.0,105.5
2.0,6.0,6.1,1.0,6.0,12.7,1.0,6.0,212.8,1.0,6.0,351.0,1.0,6.0,580.5,1.0,5.0,99.4
3.0,2.0,46.7,3.0,1.0,45.0,2.0,1.0,148.8,2.0,1.0,312.6,2.0,1.0,462.4,2.0,1.0,23.4
3.0,4.0,95.1,3.0,4.0,60.1,2.0,4.0,186.5,2.0,3.0,418.4,2.0,3.0,800.4,2.0,3.0,76.1
3.0,5.0,155.7,3.0,5.0,87.8,2.0,5.0,211.7,2.0,5.0,412.7,2.0,4.0,628.9,2.0,4.0,100.4
3.0,6.0,57.1,3.0,6.0,54.5,2.0,6.0,166.9,2.0,6.0,304.9,2.0,6.0,425.2,2.0,5.0,102.2
4.0,2.0,87.6,4.0,1.0,90.8,4.0,1.0,361.8,3.0,1.0,574.2,3.0,1.0,1531.0,3.0,1.0,207.5
4.0,3.0,147.6,4.0,3.0,101.8,4.0,2.0,324.6,3.0,2.0,532.3,3.0,2.0,1072.0,3.0,2.0,211.3
4.0,5.0,221.0,4.0,5.0,142.7,4.0,5.0,316.8,3.0,5.0,557.5,3.0,4.0,1250.0,3.0,4.0,378.7
4.0,6.0,109.2,4.0,6.0,96.7,4.0,6.0,335.9,3.0,6.0,566.5,3.0,6.0,1498.0,3.0,5.0,559.0
5.0,2.0,139.7,5.0,1.0,130.1,5.0,1.0,548.9,5.0,1.0,670.8,4.0,1.0,1130.0,4.0,1.0,340.3
5.0,3.0,317.3,5.0,3.0,172.7,5.0,2.0,465.4,5.0,2.0,648.2,4.0,2.0,1001.0,4.0,2.0,300.6
5.0,4.0,305.3,5.0,4.0,197.3,5.0,4.0,469.6,5.0,3.0,686.1,4.0,3.0,1363.0,4.0,3.0,600.3
5.0,6.0,171.3,5.0,6.0,130.7,5.0,6.0,560.5,5.0,6.0,612.5,4.0,6.0,1207.0,4.0,5.0,650.2
6.0,2.0,8.2,6.0,1.0,20.8,6.0,1.0,318.7,6.0,1.0,575.8,6.0,1.0,806.5,5.0,1.0,416.0
6.0,3.0,27.2,6.0,3.0,55.0,6.0,2.0,297.2,6.0,2.0,463.4,6.0,2.0,505.5,5.0,2.0,362.4
6.0,4.0,46.3,6.0,4.0,78.6,6.0,4.0,480.2,6.0,3.0,686.1,6.0,3.0,1467.0,5.0,3.0,930.9
6.0,5.0,57.6,6.0,5.0,72.4,6.0,5.0,630.8,6.0,5.0,679.5,6.0,4.0,1250.0,5.0,4.0,757.4
