1,村上 純,村上 純.1,2,南野 利騰,南野 利騰.1,3,三苫 晃幸,三苫 晃幸.1,4,小野 信樹,小野 信樹.1,5,羽田 妃希,羽田 妃希.1,6,芝田 浩治,芝田 浩治.1
2.0,3.0,12.4,1.0,3.0,25.7,1.0,2.0,31.4,1.0,2.0,245.5,1.0,2.0,1736.0,1.0,2.0,42.2
2.0,4.0,45.1,1.0,4.0,73.8,1.0,4.0,70.4,1.0,3.0,282.7,1.0,3.0,1194.0,1.0,3.0,42.8
2.0,5.0,213.0,1.0,5.0,332.6,1.0,5.0,198.5,1.0,5.0,661.7,1.0,4.0,2690.0,1.0,4.0,122.2
2.0,6.0,12.0,1.0,6.0,23.6,1.0,6.0,24.0,1.0,6.0,172.5,1.0,6.0,1579.0,1.0,5.0,247.5
3.0,2.0,15.6,3.0,1.0,41.8,2.0,1.0,49.0,2.0,1.0,286.0,2.0,1.0,1530.0,2.0,1.0,44.4
3.0,4.0,40.6,3.0,4.0,80.5,2.0,4.0,87.2,2.0,3.0,277.5,2.0,3.0,1724.0,2.0,3.0,45.9
3.0,5.0,179.6,3.0,5.0,341.9,2.0,5.0,323.8,2.0,5.0,810.7,2.0,4.0,2577.0,2.0,4.0,102.5
3.0,6.0,12.9,3.0,6.0,28.0,2.0,6.0,29.9,2.0,6.0,173.2,2.0,6.0,1883.0,2.0,5.0,204.5
4.0,2.0,104.7,4.0,1.0,197.6,4.0,1.0,139.1,3.0,1.0,335.4,3.0,1.0,1483.0,3.0,1.0,55.2
4.0,3.0,105.4,4.0,3.0,158.9,4.0,2.0,145.0,3.0,2.0,277.5,3.0,2.0,1869.0,3.0,2.0,49.5
4.0,5.0,354.3,4.0,5.0,661.7,4.0,5.0,637.6,3.0,5.0,960.1,3.0,4.0,2690.0,3.0,4.0,118.1
4.0,6.0,83.8,4.0,6.0,120.9,4.0,6.0,90.6,3.0,6.0,182.9,3.0,6.0,1643.0,3.0,5.0,291.1
5.0,2.0,615.1,5.0,1.0,934.5,5.0,1.0,640.9,5.0,1.0,1083.0,4.0,1.0,1813.0,4.0,1.0,152.9
5.0,3.0,478.2,5.0,3.0,810.7,5.0,2.0,682.0,5.0,2.0,999.3,4.0,2.0,2847.0,4.0,2.0,122.0
5.0,4.0,975.4,5.0,4.0,1530.0,5.0,4.0,1316.0,5.0,3.0,1182.0,4.0,3.0,2448.0,4.0,3.0,144.6
5.0,6.0,533.4,5.0,6.0,560.2,5.0,6.0,551.4,5.0,6.0,720.1,4.0,6.0,2092.0,4.0,5.0,408.0
6.0,2.0,20.1,6.0,1.0,37.9,6.0,1.0,35.0,6.0,1.0,143.8,6.0,1.0,1990.0,5.0,1.0,513.2
6.0,3.0,23.1,6.0,3.0,34.8,6.0,2.0,32.5,6.0,2.0,120.1,6.0,2.0,2074.0,5.0,2.0,395.5
6.0,4.0,68.3,6.0,4.0,94.9,6.0,4.0,72.7,6.0,3.0,144.4,6.0,3.0,1898.0,5.0,3.0,514.3
6.0,5.0,252.4,6.0,5.0,291.1,6.0,5.0,212.1,6.0,5.0,357.4,6.0,4.0,2577.0,5.0,4.0,767.5
