1,山田 理央,山田 理央.1,2,竹田 辰也,竹田 辰也.1,3,松浦 勝,松浦 勝.1,4,平池 仁志,平池 仁志.1,5,黒柳 浩孝,黒柳 浩孝.1,6,村上 純,村上 純.1
2.0,3.0,38.5,1.0,3.0,31.1,1.0,2.0,210.1,1.0,2.0,461.1,1.0,2.0,64.6,1.0,2.0,214.4
2.0,4.0,53.7,1.0,4.0,41.9,1.0,4.0,425.7,1.0,3.0,1033.0,1.0,3.0,135.4,1.0,3.0,516.6
2.0,5.0,24.4,1.0,5.0,16.6,1.0,5.0,224.4,1.0,5.0,682.6,1.0,4.0,210.8,1.0,4.0,617.6
2.0,6.0,51.2,1.0,6.0,47.8,1.0,6.0,545.3,1.0,6.0,1024.0,1.0,6.0,200.6,1.0,5.0,353.3
3.0,2.0,84.5,3.0,1.0,32.4,2.0,1.0,137.0,2.0,1.0,357.9,2.0,1.0,49.2,2.0,1.0,171.5
3.0,4.0,199.1,3.0,4.0,20.9,2.0,4.0,95.5,2.0,3.0,286.8,2.0,3.0,41.8,2.0,3.0,173.2
3.0,5.0,102.0,3.0,5.0,10.0,2.0,5.0,52.3,2.0,5.0,167.4,2.0,4.0,62.4,2.0,4.0,191.3
3.0,6.0,245.3,3.0,6.0,39.6,2.0,6.0,156.3,2.0,6.0,375.1,2.0,6.0,65.5,2.0,5.0,108.7
4.0,2.0,145.4,4.0,1.0,77.9,4.0,1.0,442.4,3.0,1.0,975.2,3.0,1.0,200.0,3.0,1.0,845.8
4.0,3.0,308.5,4.0,3.0,36.9,4.0,2.0,169.9,3.0,2.0,368.6,3.0,2.0,77.4,3.0,2.0,360.3
4.0,5.0,227.2,4.0,5.0,23.1,4.0,5.0,188.0,3.0,5.0,448.7,3.0,4.0,217.4,3.0,4.0,688.8
4.0,6.0,459.5,4.0,6.0,70.5,4.0,6.0,491.3,3.0,6.0,1061.0,3.0,6.0,275.2,3.0,5.0,533.2
5.0,2.0,49.0,5.0,1.0,19.7,5.0,1.0,226.3,5.0,1.0,643.6,4.0,1.0,439.9,4.0,1.0,1141.0
5.0,3.0,101.6,5.0,3.0,11.7,5.0,2.0,81.6,5.0,2.0,212.9,4.0,2.0,147.2,4.0,2.0,555.6
5.0,4.0,177.2,5.0,4.0,18.8,5.0,4.0,168.4,5.0,3.0,408.0,4.0,3.0,285.3,4.0,3.0,1011.0
5.0,6.0,181.0,5.0,6.0,24.3,5.0,6.0,299.6,5.0,6.0,634.0,4.0,6.0,412.4,4.0,5.0,791.5
6.0,2.0,98.4,6.0,1.0,71.2,6.0,1.0,714.5,6.0,1.0,1114.0,6.0,1.0,256.0,5.0,1.0,498.4
6.0,3.0,207.0,6.0,3.0,63.6,6.0,2.0,377.4,6.0,2.0,570.6,6.0,2.0,117.0,5.0,2.0,202.9
6.0,4.0,295.2,6.0,4.0,70.3,6.0,4.0,729.5,6.0,3.0,1151.0,6.0,3.0,274.4,5.0,3.0,550.8
6.0,5.0,163.4,6.0,5.0,35.8,6.0,5.0,447.6,6.0,5.0,882.9,6.0,4.0,368.3,5.0,4.0,621.6
