1,酒見 峻介,酒見 峻介.1,2,河野 大,河野 大.1,3,長尾　京志郎,長尾　京志郎.1,4,田頭 虎親,田頭 虎親.1,5,大塚 雅治,大塚 雅治.1,6,廣瀬 真也,廣瀬 真也.1
2.0,3.0,9.3,1.0,3.0,45.0,1.0,2.0,185.8,1.0,2.0,32.0,1.0,2.0,375.1,1.0,2.0,435.3
2.0,4.0,4.7,1.0,4.0,20.5,1.0,4.0,153.9,1.0,3.0,101.1,1.0,3.0,655.9,1.0,3.0,820.3
2.0,5.0,19.6,1.0,5.0,66.5,1.0,5.0,253.1,1.0,5.0,77.9,1.0,4.0,349.4,1.0,4.0,415.5
2.0,6.0,16.4,1.0,6.0,57.9,1.0,6.0,306.5,1.0,6.0,70.3,1.0,6.0,563.3,1.0,5.0,848.4
3.0,2.0,22.7,3.0,1.0,171.1,2.0,1.0,268.5,2.0,1.0,51.6,2.0,1.0,567.0,2.0,1.0,543.8
3.0,4.0,20.4,3.0,4.0,210.8,2.0,4.0,305.7,2.0,3.0,180.0,2.0,3.0,1101.0,2.0,3.0,1280.0
3.0,5.0,53.8,3.0,5.0,468.2,2.0,5.0,561.4,2.0,5.0,158.7,2.0,4.0,746.2,2.0,4.0,736.7
3.0,6.0,56.9,3.0,6.0,474.0,2.0,6.0,688.5,2.0,6.0,137.7,2.0,6.0,1108.0,2.0,5.0,1388.0
4.0,2.0,7.8,4.0,1.0,45.7,4.0,1.0,302.7,3.0,1.0,244.3,3.0,1.0,1257.0,3.0,1.0,1314.0
4.0,3.0,21.5,4.0,3.0,143.9,4.0,2.0,378.0,3.0,2.0,400.6,3.0,2.0,1393.0,3.0,2.0,1906.0
4.0,5.0,28.2,4.0,5.0,165.0,4.0,5.0,574.5,3.0,5.0,566.0,3.0,4.0,1476.0,3.0,4.0,1726.0
4.0,6.0,19.8,4.0,6.0,128.9,4.0,6.0,522.5,3.0,6.0,503.6,3.0,6.0,1735.0,3.0,5.0,2393.0
5.0,2.0,63.0,5.0,1.0,287.2,5.0,1.0,712.5,5.0,1.0,140.4,4.0,1.0,422.6,4.0,1.0,559.6
5.0,3.0,117.2,5.0,3.0,810.7,5.0,2.0,874.0,5.0,2.0,198.7,4.0,2.0,619.6,4.0,2.0,836.1
5.0,4.0,75.4,5.0,4.0,424.7,5.0,4.0,935.3,5.0,3.0,432.6,4.0,3.0,985.8,4.0,3.0,1388.0
5.0,6.0,127.5,5.0,6.0,729.0,5.0,6.0,1192.0,5.0,6.0,174.6,4.0,6.0,534.6,4.0,5.0,1000.0
6.0,2.0,69.0,6.0,1.0,242.3,6.0,1.0,1020.0,6.0,1.0,156.7,6.0,1.0,854.6,5.0,1.0,1204.0
6.0,3.0,131.0,6.0,3.0,880.7,6.0,2.0,1458.0,6.0,2.0,219.6,6.0,2.0,1243.0,5.0,2.0,1584.0
6.0,4.0,70.6,6.0,4.0,345.9,6.0,4.0,1200.0,6.0,3.0,510.3,6.0,3.0,1885.0,5.0,3.0,2142.0
6.0,5.0,163.5,6.0,5.0,885.2,6.0,5.0,1652.0,6.0,5.0,263.0,6.0,4.0,910.7,5.0,4.0,1209.0
