1,大神 康司,大神 康司.1,2,佐藤 大佑,佐藤 大佑.1,3,服部 達哉,服部 達哉.1,4,阿波 勝哉,阿波 勝哉.1,5,山田 丈,山田 丈.1,6,川崎 智稔,川崎 智稔.1
2.0,3.0,9.1,1.0,3.0,34.5,1.0,2.0,104.2,1.0,2.0,194.3,1.0,2.0,34.8,1.0,2.0,465.7
2.0,4.0,22.4,1.0,4.0,63.7,1.0,4.0,127.4,1.0,3.0,331.9,1.0,3.0,53.3,1.0,3.0,687.8
2.0,5.0,8.5,1.0,5.0,27.9,1.0,5.0,72.5,1.0,5.0,204.2,1.0,4.0,40.5,1.0,4.0,419.9
2.0,6.0,57.5,1.0,6.0,123.4,1.0,6.0,208.5,1.0,6.0,413.2,1.0,6.0,57.7,1.0,5.0,382.0
3.0,2.0,13.8,3.0,1.0,107.4,2.0,1.0,181.1,2.0,1.0,288.3,2.0,1.0,62.3,2.0,1.0,700.4
3.0,4.0,26.9,3.0,4.0,234.4,2.0,4.0,330.3,2.0,3.0,640.1,2.0,3.0,137.7,2.0,3.0,1283.0
3.0,5.0,11.0,3.0,5.0,111.4,2.0,5.0,198.4,2.0,5.0,519.9,2.0,4.0,105.8,2.0,4.0,886.7
3.0,6.0,53.8,3.0,6.0,367.1,2.0,6.0,513.3,2.0,6.0,1011.0,2.0,6.0,148.0,2.0,5.0,766.5
4.0,2.0,65.7,4.0,1.0,280.6,4.0,1.0,467.6,3.0,1.0,802.5,3.0,1.0,120.9,3.0,1.0,1224.0
4.0,3.0,86.3,4.0,3.0,490.1,4.0,2.0,726.3,3.0,2.0,1047.0,3.0,2.0,180.1,3.0,2.0,1471.0
4.0,5.0,68.1,4.0,5.0,318.7,4.0,5.0,472.8,3.0,5.0,810.6,3.0,4.0,200.9,3.0,4.0,1126.0
4.0,6.0,161.0,4.0,6.0,660.6,4.0,6.0,847.4,3.0,6.0,1380.0,3.0,6.0,250.3,3.0,5.0,970.2
5.0,2.0,12.5,5.0,1.0,65.5,5.0,1.0,139.1,5.0,1.0,320.0,4.0,1.0,92.2,4.0,1.0,829.9
5.0,3.0,15.1,5.0,3.0,114.1,5.0,2.0,199.8,5.0,2.0,487.7,4.0,2.0,136.1,4.0,2.0,1103.0
5.0,4.0,23.7,5.0,4.0,136.6,5.0,4.0,243.5,5.0,3.0,642.6,4.0,3.0,204.5,4.0,3.0,1312.0
5.0,6.0,40.0,5.0,6.0,225.0,5.0,6.0,315.0,5.0,6.0,399.2,4.0,6.0,122.8,4.0,5.0,550.2
6.0,2.0,158.6,6.0,1.0,520.3,6.0,1.0,692.5,6.0,1.0,895.6,6.0,1.0,92.3,5.0,1.0,383.6
6.0,3.0,160.1,6.0,3.0,768.0,6.0,2.0,984.5,6.0,2.0,1277.0,6.0,2.0,128.4,5.0,2.0,500.5
6.0,4.0,151.6,6.0,4.0,659.5,6.0,4.0,799.3,6.0,3.0,1347.0,6.0,3.0,206.8,5.0,3.0,653.1
6.0,5.0,123.2,6.0,5.0,556.7,6.0,5.0,633.0,6.0,5.0,528.5,6.0,4.0,87.1,5.0,4.0,320.7
