1,桐本 康臣,桐本 康臣.1,2,若林 義人,若林 義人.1,3,堤 昇,堤 昇.1,4,後藤 正宗,後藤 正宗.1,5,宮下 元胤,宮下 元胤.1,6,下河 誉史,下河 誉史.1
2.0,3.0,10.9,1.0,3.0,30.6,1.0,2.0,94.9,1.0,2.0,46.1,1.0,2.0,223.1,1.0,2.0,154.6
2.0,4.0,10.4,1.0,4.0,28.2,1.0,4.0,99.7,1.0,3.0,73.4,1.0,3.0,280.2,1.0,3.0,265.7
2.0,5.0,23.2,1.0,5.0,44.1,1.0,5.0,118.0,1.0,5.0,62.1,1.0,4.0,224.6,1.0,4.0,233.3
2.0,6.0,28.3,1.0,6.0,35.6,1.0,6.0,201.7,1.0,6.0,82.2,1.0,6.0,379.7,1.0,5.0,351.5
3.0,2.0,22.0,3.0,1.0,64.5,2.0,1.0,126.9,2.0,1.0,60.0,2.0,1.0,282.0,2.0,1.0,158.2
3.0,4.0,22.6,3.0,4.0,82.9,2.0,4.0,158.2,2.0,3.0,111.6,2.0,3.0,445.5,2.0,3.0,309.7
3.0,5.0,35.9,3.0,5.0,112.3,2.0,5.0,216.3,2.0,5.0,84.5,2.0,4.0,338.9,2.0,4.0,262.3
3.0,6.0,64.1,3.0,6.0,121.1,2.0,6.0,275.4,2.0,6.0,108.2,2.0,6.0,477.9,2.0,5.0,355.6
4.0,2.0,17.0,4.0,1.0,53.7,4.0,1.0,138.4,3.0,1.0,128.1,3.0,1.0,381.9,3.0,1.0,476.4
4.0,3.0,28.4,4.0,3.0,87.6,4.0,2.0,157.7,3.0,2.0,154.6,3.0,2.0,555.8,3.0,2.0,518.8
4.0,5.0,29.1,4.0,5.0,95.8,4.0,5.0,141.3,3.0,5.0,148.5,3.0,4.0,424.5,3.0,4.0,549.2
4.0,6.0,48.8,4.0,6.0,95.2,4.0,6.0,272.0,3.0,6.0,235.6,3.0,6.0,968.9,3.0,5.0,759.4
5.0,2.0,54.0,5.0,1.0,132.7,5.0,1.0,203.6,5.0,1.0,84.3,4.0,1.0,228.6,4.0,1.0,356.7
5.0,3.0,67.1,5.0,3.0,207.0,5.0,2.0,262.9,5.0,2.0,95.8,4.0,2.0,283.0,4.0,2.0,383.8
5.0,4.0,60.5,5.0,4.0,169.4,5.0,4.0,195.1,5.0,3.0,138.3,4.0,3.0,354.8,4.0,3.0,580.3
5.0,6.0,110.6,5.0,6.0,247.1,5.0,6.0,432.9,5.0,6.0,165.3,4.0,6.0,449.4,4.0,5.0,631.3
6.0,2.0,57.1,6.0,1.0,61.9,6.0,1.0,395.3,6.0,1.0,165.3,6.0,1.0,703.7,5.0,1.0,680.8
6.0,3.0,96.8,6.0,3.0,110.5,6.0,2.0,448.1,6.0,2.0,175.4,6.0,2.0,681.8,5.0,2.0,670.8
6.0,4.0,84.2,6.0,4.0,102.6,6.0,4.0,460.6,6.0,3.0,283.3,6.0,3.0,1041.0,5.0,3.0,977.1
6.0,5.0,133.4,6.0,5.0,147.0,6.0,5.0,637.4,6.0,5.0,234.8,6.0,4.0,844.4,5.0,4.0,865.0
