1,三苫 晃幸,三苫 晃幸.1,2,大賀 広幸,大賀 広幸.1,3,内山 文典,内山 文典.1,4,川村 正輝,川村 正輝.1,5,村上 彰一,村上 彰一.1,6,上野 秀和,上野 秀和.1
2.0,3.0,5.8,1.0,3.0,30.7,1.0,2.0,85.6,1.0,2.0,54.6,1.0,2.0,394.2,1.0,2.0,163.9
2.0,4.0,6.0,1.0,4.0,30.7,1.0,4.0,126.8,1.0,3.0,129.6,1.0,3.0,601.2,1.0,3.0,314.5
2.0,5.0,22.0,1.0,5.0,83.5,1.0,5.0,206.4,1.0,5.0,122.9,1.0,4.0,501.5,1.0,4.0,275.6
2.0,6.0,16.0,1.0,6.0,59.3,1.0,6.0,199.5,1.0,6.0,97.0,1.0,6.0,429.4,1.0,5.0,447.1
3.0,2.0,10.8,3.0,1.0,83.7,2.0,1.0,154.4,2.0,1.0,89.4,2.0,1.0,618.3,2.0,1.0,253.8
3.0,4.0,15.8,3.0,4.0,224.9,2.0,4.0,301.5,2.0,3.0,331.9,2.0,3.0,1376.0,2.0,3.0,482.5
3.0,5.0,39.5,3.0,5.0,424.6,2.0,5.0,471.2,2.0,5.0,278.2,2.0,4.0,1154.0,2.0,4.0,446.7
3.0,6.0,37.8,3.0,6.0,311.0,2.0,6.0,368.3,2.0,6.0,193.3,2.0,6.0,880.6,2.0,5.0,752.6
4.0,2.0,11.2,4.0,1.0,83.7,4.0,1.0,214.1,3.0,1.0,293.3,3.0,1.0,1142.0,3.0,1.0,678.4
4.0,3.0,21.6,4.0,3.0,244.2,4.0,2.0,362.0,3.0,2.0,509.8,3.0,2.0,1881.0,3.0,2.0,854.7
4.0,5.0,35.3,4.0,5.0,361.2,4.0,5.0,470.4,3.0,5.0,724.5,3.0,4.0,2264.0,3.0,4.0,863.2
4.0,6.0,27.8,4.0,6.0,233.4,4.0,6.0,426.3,3.0,6.0,602.6,3.0,6.0,1749.0,3.0,5.0,1139.0
5.0,2.0,63.6,5.0,1.0,385.7,5.0,1.0,514.3,5.0,1.0,214.7,4.0,1.0,624.9,4.0,1.0,454.8
5.0,3.0,93.6,5.0,3.0,765.9,5.0,2.0,713.6,5.0,2.0,332.7,4.0,2.0,983.2,4.0,2.0,571.0
5.0,4.0,92.5,5.0,4.0,728.5,5.0,4.0,785.4,5.0,3.0,608.9,4.0,3.0,1682.0,4.0,3.0,981.4
5.0,6.0,100.0,5.0,6.0,699.3,5.0,6.0,674.9,5.0,6.0,275.1,4.0,6.0,735.7,4.0,5.0,1000.0
6.0,2.0,55.0,6.0,1.0,238.2,6.0,1.0,496.3,6.0,1.0,204.3,6.0,1.0,671.5,5.0,1.0,808.5
6.0,3.0,98.0,6.0,3.0,604.0,6.0,2.0,618.3,6.0,2.0,293.3,6.0,2.0,1076.0,5.0,2.0,1065.0
6.0,4.0,81.3,6.0,4.0,447.1,6.0,4.0,715.6,6.0,3.0,641.8,6.0,3.0,1575.0,5.0,3.0,1387.0
6.0,5.0,127.1,6.0,5.0,771.5,6.0,5.0,822.5,6.0,5.0,357.3,6.0,4.0,1144.0,5.0,4.0,1139.0
