1,田中 宏樹,田中 宏樹.1,2,藤森 拓海,藤森 拓海.1,3,嘉手苅　徹哉,嘉手苅　徹哉.1,4,宮嵜　隆太郎,宮嵜　隆太郎.1,5,松尾 宣邦,松尾 宣邦.1,6,佐藤　謙史朗,佐藤　謙史朗.1
2.0,3.0,52.3,1.0,3.0,245.0,1.0,2.0,357.5,1.0,2.0,66.4,1.0,2.0,130.2,1.0,2.0,122.0
2.0,4.0,36.3,1.0,4.0,183.7,1.0,4.0,268.4,1.0,3.0,155.3,1.0,3.0,174.9,1.0,3.0,196.8
2.0,5.0,28.1,1.0,5.0,258.6,1.0,5.0,191.5,1.0,5.0,22.3,1.0,4.0,58.8,1.0,4.0,79.9
2.0,6.0,43.9,1.0,6.0,286.7,1.0,6.0,343.0,1.0,6.0,32.4,1.0,6.0,50.2,1.0,5.0,77.9
3.0,2.0,54.9,3.0,1.0,526.2,2.0,1.0,557.9,2.0,1.0,127.8,2.0,1.0,281.9,2.0,1.0,230.0
3.0,4.0,51.9,3.0,4.0,964.7,2.0,4.0,1046.0,2.0,3.0,481.1,2.0,3.0,894.8,2.0,3.0,564.7
3.0,5.0,33.9,3.0,5.0,1109.0,2.0,5.0,959.7,2.0,5.0,150.4,2.0,4.0,354.8,2.0,4.0,295.4
3.0,6.0,52.5,3.0,6.0,1136.0,2.0,6.0,1195.0,2.0,6.0,143.9,2.0,6.0,365.3,2.0,5.0,409.7
4.0,2.0,31.3,4.0,1.0,243.0,4.0,1.0,394.0,3.0,1.0,327.8,3.0,1.0,389.9,3.0,1.0,433.7
4.0,3.0,54.2,4.0,3.0,791.5,4.0,2.0,873.7,3.0,2.0,762.2,3.0,2.0,959.7,3.0,2.0,853.5
4.0,5.0,15.4,4.0,5.0,435.8,4.0,5.0,460.7,3.0,5.0,326.1,3.0,4.0,686.0,3.0,4.0,638.7
4.0,6.0,21.2,4.0,6.0,456.2,4.0,6.0,582.4,3.0,6.0,441.0,3.0,6.0,484.8,3.0,5.0,645.3
5.0,2.0,25.9,5.0,1.0,506.0,5.0,1.0,333.1,5.0,1.0,18.7,4.0,1.0,44.1,4.0,1.0,95.0
5.0,3.0,30.1,5.0,3.0,1064.0,5.0,2.0,903.5,5.0,2.0,68.2,4.0,2.0,138.0,4.0,2.0,219.4
5.0,4.0,20.6,5.0,4.0,683.4,5.0,4.0,582.4,5.0,3.0,151.2,4.0,3.0,309.7,4.0,3.0,368.2
5.0,6.0,11.1,5.0,6.0,709.6,5.0,6.0,501.9,5.0,6.0,16.4,4.0,6.0,43.9,4.0,5.0,81.5
6.0,2.0,76.3,6.0,1.0,538.4,6.0,1.0,709.6,6.0,1.0,42.3,6.0,1.0,86.1,5.0,1.0,97.1
6.0,3.0,88.7,6.0,3.0,1218.0,6.0,2.0,1493.0,6.0,2.0,106.6,6.0,2.0,268.8,5.0,2.0,305.1
6.0,4.0,40.4,6.0,4.0,647.6,6.0,4.0,834.3,6.0,3.0,241.8,6.0,3.0,357.5,5.0,3.0,365.3
6.0,5.0,25.2,6.0,5.0,945.0,6.0,5.0,737.9,6.0,5.0,35.5,6.0,4.0,74.6,5.0,4.0,98.3
