1,新田 智彰,新田 智彰.1,2,岩崎 正哉,岩崎 正哉.1,3,松尾 昂明,松尾 昂明.1,4,深川 和仁,深川 和仁.1,5,渡邊 哲也,渡邊 哲也.1,6,嶋田 貴支,嶋田 貴支.1
2.0,3.0,5.0,1.0,3.0,17.9,1.0,2.0,21.3,1.0,2.0,119.9,1.0,2.0,624.6,1.0,2.0,937.6
2.0,4.0,10.6,1.0,4.0,33.2,1.0,4.0,35.4,1.0,3.0,165.0,1.0,3.0,648.8,1.0,3.0,899.4
2.0,5.0,35.7,1.0,5.0,117.5,1.0,5.0,75.5,1.0,5.0,303.7,1.0,4.0,1064.0,1.0,4.0,1488.0
2.0,6.0,27.4,1.0,6.0,77.8,1.0,6.0,63.3,1.0,6.0,252.9,1.0,6.0,1178.0,1.0,5.0,2350.0
3.0,2.0,5.8,3.0,1.0,31.7,2.0,1.0,35.0,2.0,1.0,170.3,2.0,1.0,1136.0,2.0,1.0,1186.0
3.0,4.0,9.9,3.0,4.0,70.6,2.0,4.0,77.3,2.0,3.0,264.9,2.0,3.0,1564.0,2.0,3.0,1290.0
3.0,5.0,29.2,3.0,5.0,183.0,2.0,5.0,152.9,2.0,5.0,502.1,2.0,4.0,2106.0,2.0,4.0,2125.0
3.0,6.0,31.1,3.0,6.0,129.1,2.0,6.0,100.1,2.0,6.0,372.8,2.0,6.0,2134.0,2.0,5.0,2703.0
4.0,2.0,25.4,4.0,1.0,94.2,4.0,1.0,85.5,3.0,1.0,220.4,3.0,1.0,1103.0,3.0,1.0,1189.0
4.0,3.0,28.7,4.0,3.0,150.3,4.0,2.0,112.2,3.0,2.0,245.2,3.0,2.0,1569.0,3.0,2.0,1267.0
4.0,5.0,90.5,4.0,5.0,370.3,4.0,5.0,188.1,3.0,5.0,527.7,3.0,4.0,1836.0,3.0,4.0,1789.0
4.0,6.0,88.8,4.0,6.0,295.1,4.0,6.0,157.3,3.0,6.0,368.0,3.0,6.0,1549.0,3.0,5.0,2482.0
5.0,2.0,167.1,5.0,1.0,418.0,5.0,1.0,318.4,5.0,1.0,526.0,4.0,1.0,1520.0,4.0,1.0,1725.0
5.0,3.0,167.7,5.0,3.0,561.2,5.0,2.0,404.1,5.0,2.0,735.0,4.0,2.0,2232.0,4.0,2.0,2328.0
5.0,4.0,237.8,5.0,4.0,793.8,5.0,4.0,471.9,5.0,3.0,923.3,4.0,3.0,1970.0,4.0,3.0,2070.0
5.0,6.0,308.7,5.0,6.0,865.8,5.0,6.0,391.8,5.0,6.0,690.2,4.0,6.0,2070.0,4.0,5.0,2764.0
6.0,2.0,134.8,6.0,1.0,331.2,6.0,1.0,253.4,6.0,1.0,428.7,6.0,1.0,2079.0,5.0,1.0,3288.0
6.0,3.0,167.3,6.0,3.0,481.3,6.0,2.0,276.9,6.0,2.0,606.7,6.0,2.0,2749.0,5.0,2.0,3333.0
6.0,4.0,279.9,6.0,4.0,725.2,6.0,4.0,441.1,6.0,3.0,636.9,6.0,3.0,2306.0,5.0,3.0,2913.0
6.0,5.0,407.5,6.0,5.0,1028.0,6.0,5.0,516.0,6.0,5.0,797.7,6.0,4.0,2534.0,5.0,4.0,2862.0
