1,武井　莉里佳,武井　莉里佳.1,2,水原 慎,水原 慎.1,3,大崎 翔,大崎 翔.1,4,芝田 浩治,芝田 浩治.1,5,内山 文典,内山 文典.1,6,志道 吉和,志道 吉和.1
2.0,3.0,34.4,1.0,3.0,69.9,1.0,2.0,202.8,1.0,2.0,20.0,1.0,2.0,325.9,1.0,2.0,1315.0
2.0,4.0,15.8,1.0,4.0,36.1,1.0,4.0,105.6,1.0,3.0,38.8,1.0,3.0,376.9,1.0,3.0,1880.0
2.0,5.0,52.2,1.0,5.0,103.7,1.0,5.0,171.2,1.0,5.0,17.7,1.0,4.0,175.2,1.0,4.0,817.7
2.0,6.0,122.6,1.0,6.0,192.9,1.0,6.0,357.5,1.0,6.0,39.7,1.0,6.0,409.7,1.0,5.0,1791.0
3.0,2.0,48.9,3.0,1.0,163.9,2.0,1.0,281.1,2.0,1.0,34.1,2.0,1.0,444.6,2.0,1.0,1694.0
3.0,4.0,25.6,3.0,4.0,92.8,2.0,4.0,129.2,2.0,3.0,46.9,2.0,3.0,489.7,2.0,3.0,1791.0
3.0,5.0,65.7,3.0,5.0,214.2,2.0,5.0,262.3,2.0,5.0,35.9,2.0,4.0,249.1,2.0,4.0,717.8
3.0,6.0,180.4,3.0,6.0,392.6,2.0,6.0,479.7,2.0,6.0,65.9,2.0,6.0,587.7,2.0,5.0,1825.0
4.0,2.0,11.6,4.0,1.0,43.9,4.0,1.0,106.9,3.0,1.0,62.1,3.0,1.0,564.7,3.0,1.0,2239.0
4.0,3.0,17.3,4.0,3.0,59.1,4.0,2.0,103.7,3.0,2.0,54.4,3.0,2.0,646.3,3.0,2.0,2113.0
4.0,5.0,15.9,4.0,5.0,59.7,4.0,5.0,85.3,3.0,5.0,62.5,3.0,4.0,279.0,3.0,4.0,1068.0
4.0,6.0,41.4,4.0,6.0,130.0,4.0,6.0,176.4,3.0,6.0,125.2,3.0,6.0,912.9,3.0,5.0,2576.0
5.0,2.0,94.0,5.0,1.0,221.2,5.0,1.0,326.5,5.0,1.0,20.4,4.0,1.0,134.9,4.0,1.0,662.2
5.0,3.0,124.8,5.0,3.0,247.1,5.0,2.0,376.1,5.0,2.0,26.6,4.0,2.0,156.2,4.0,2.0,584.0
5.0,4.0,49.8,5.0,4.0,136.5,5.0,4.0,168.8,5.0,3.0,43.2,4.0,3.0,188.4,4.0,3.0,921.9
5.0,6.0,171.9,5.0,6.0,384.6,5.0,6.0,502.8,5.0,6.0,26.9,4.0,6.0,167.0,4.0,5.0,554.8
6.0,2.0,318.2,6.0,1.0,595.1,6.0,1.0,904.2,6.0,1.0,87.9,6.0,1.0,707.0,5.0,1.0,1774.0
6.0,3.0,387.7,6.0,3.0,835.9,6.0,2.0,843.3,6.0,2.0,106.8,6.0,2.0,843.3,5.0,2.0,1504.0
6.0,4.0,183.4,6.0,4.0,356.2,6.0,4.0,458.7,6.0,3.0,145.2,6.0,3.0,887.1,5.0,3.0,2265.0
6.0,5.0,347.6,6.0,5.0,740.4,6.0,5.0,891.3,6.0,5.0,73.5,6.0,4.0,364.4,5.0,4.0,635.3
