1,田村 慶,田村 慶.1,2,栗原 一馬,栗原 一馬.1,3,石田 貴洋,石田 貴洋.1,4,木谷 賢太,木谷 賢太.1,5,登玉 隼百,登玉 隼百.1,6,坂井 滉哉,坂井 滉哉.1
2.0,3.0,14.3,1.0,3.0,132.5,1.0,2.0,57.3,1.0,2.0,209.3,1.0,2.0,229.2,1.0,2.0,1868.0
2.0,4.0,22.5,1.0,4.0,171.8,1.0,4.0,18.6,1.0,3.0,86.2,1.0,3.0,117.6,1.0,3.0,1108.0
2.0,5.0,32.9,1.0,5.0,219.3,1.0,5.0,21.2,1.0,5.0,119.1,1.0,4.0,187.3,1.0,4.0,1818.0
2.0,6.0,70.9,1.0,6.0,407.9,1.0,6.0,66.7,1.0,6.0,270.7,1.0,6.0,307.4,1.0,5.0,1689.0
3.0,2.0,11.9,3.0,1.0,233.3,2.0,1.0,163.7,2.0,1.0,459.0,2.0,1.0,454.6,2.0,1.0,2722.0
3.0,4.0,6.1,3.0,4.0,277.9,2.0,4.0,150.3,2.0,3.0,461.2,2.0,3.0,516.7,2.0,3.0,2996.0
3.0,5.0,8.7,3.0,5.0,357.4,2.0,5.0,190.5,2.0,5.0,572.6,2.0,4.0,634.4,2.0,4.0,3093.0
3.0,6.0,31.0,3.0,6.0,682.6,2.0,6.0,362.0,2.0,6.0,930.6,2.0,6.0,1073.0,2.0,5.0,3555.0
4.0,2.0,24.9,4.0,1.0,362.0,4.0,1.0,38.3,3.0,1.0,97.7,3.0,1.0,166.6,3.0,1.0,1377.0
4.0,3.0,11.7,4.0,3.0,394.7,4.0,2.0,107.0,3.0,2.0,270.7,3.0,2.0,396.3,3.0,2.0,2870.0
4.0,5.0,25.4,4.0,5.0,603.1,4.0,5.0,35.7,3.0,5.0,89.1,3.0,4.0,171.0,3.0,4.0,1791.0
4.0,6.0,57.8,4.0,6.0,869.4,4.0,6.0,104.1,3.0,6.0,259.3,3.0,6.0,444.4,3.0,5.0,1968.0
5.0,2.0,48.4,5.0,1.0,643.8,5.0,1.0,55.6,5.0,1.0,167.5,4.0,1.0,322.3,4.0,1.0,2561.0
5.0,3.0,25.7,5.0,3.0,647.3,5.0,2.0,166.6,5.0,2.0,407.9,4.0,2.0,684.5,4.0,2.0,3427.0
5.0,4.0,42.7,5.0,4.0,874.2,5.0,4.0,57.0,5.0,3.0,147.3,4.0,3.0,213.7,4.0,3.0,2370.0
5.0,6.0,87.7,5.0,6.0,1357.0,5.0,6.0,148.3,5.0,6.0,344.5,4.0,6.0,573.3,4.0,5.0,2507.0
6.0,2.0,268.8,6.0,1.0,1598.0,6.0,1.0,366.7,6.0,1.0,875.8,6.0,1.0,814.4,5.0,1.0,2603.0
6.0,3.0,174.4,6.0,3.0,1732.0,6.0,2.0,778.5,6.0,2.0,1470.0,6.0,2.0,1475.0,5.0,2.0,3427.0
6.0,4.0,217.5,6.0,4.0,1861.0,6.0,4.0,398.7,6.0,3.0,822.9,6.0,3.0,1077.0,5.0,3.0,2456.0
6.0,5.0,258.2,6.0,5.0,2146.0,6.0,5.0,433.1,6.0,5.0,911.0,6.0,4.0,1162.0,5.0,4.0,2394.0
