1,坂井 滉哉,坂井 滉哉.1,2,小玉 啓太,小玉 啓太.1,3,嘉手苅　徹哉,嘉手苅　徹哉.1,4,大江 純,大江 純.1,5,川辺 郭人,川辺 郭人.1,6,井上 慧人,井上 慧人.1
2.0,3.0,12.5,1.0,3.0,32.7,1.0,2.0,75.3,1.0,2.0,30.8,1.0,2.0,273.4,1.0,2.0,161.4
2.0,4.0,8.3,1.0,4.0,20.8,1.0,4.0,73.6,1.0,3.0,69.2,1.0,3.0,309.6,1.0,3.0,239.5
2.0,5.0,42.0,1.0,5.0,71.2,1.0,5.0,142.8,1.0,5.0,62.1,1.0,4.0,255.8,1.0,4.0,153.7
2.0,6.0,36.4,1.0,6.0,70.0,1.0,6.0,185.6,1.0,6.0,51.7,1.0,6.0,418.0,1.0,5.0,335.7
3.0,2.0,22.0,3.0,1.0,75.4,2.0,1.0,111.6,2.0,1.0,47.9,2.0,1.0,335.7,2.0,1.0,209.3
3.0,4.0,22.6,3.0,4.0,59.1,2.0,4.0,94.6,2.0,3.0,94.4,2.0,3.0,410.2,2.0,3.0,340.0
3.0,5.0,56.9,3.0,5.0,174.5,2.0,5.0,229.9,2.0,5.0,101.9,2.0,4.0,326.5,2.0,4.0,224.0
3.0,6.0,64.0,3.0,6.0,160.4,2.0,6.0,224.3,2.0,6.0,78.2,2.0,6.0,649.8,2.0,5.0,426.2
4.0,2.0,12.9,4.0,1.0,39.2,4.0,1.0,117.8,3.0,1.0,155.5,3.0,1.0,525.0,3.0,1.0,451.1
4.0,3.0,24.2,4.0,3.0,57.6,4.0,2.0,116.3,3.0,2.0,120.8,3.0,2.0,705.7,3.0,2.0,419.4
4.0,5.0,40.9,4.0,5.0,96.9,4.0,5.0,182.8,3.0,5.0,206.7,3.0,4.0,599.4,3.0,4.0,527.2
4.0,6.0,32.5,4.0,6.0,71.8,4.0,6.0,170.0,3.0,6.0,199.8,3.0,6.0,863.6,3.0,5.0,721.2
5.0,2.0,96.3,5.0,1.0,226.7,5.0,1.0,323.3,5.0,1.0,86.8,4.0,1.0,263.6,4.0,1.0,172.7
5.0,3.0,119.3,5.0,3.0,269.5,5.0,2.0,380.5,5.0,2.0,108.1,4.0,2.0,289.7,4.0,2.0,230.3
5.0,4.0,98.5,5.0,4.0,195.9,5.0,4.0,342.7,5.0,3.0,172.9,4.0,3.0,538.0,4.0,3.0,407.6
5.0,6.0,158.5,5.0,6.0,360.6,5.0,6.0,520.9,5.0,6.0,93.3,4.0,6.0,328.1,4.0,5.0,340.0
6.0,2.0,90.7,6.0,1.0,203.5,6.0,1.0,378.3,6.0,1.0,79.9,6.0,1.0,563.4,5.0,1.0,514.7
6.0,3.0,126.7,6.0,3.0,274.0,6.0,2.0,388.3,6.0,2.0,91.0,6.0,2.0,676.6,5.0,2.0,475.6
6.0,4.0,79.7,6.0,4.0,172.0,6.0,4.0,379.4,6.0,3.0,198.2,6.0,3.0,905.3,5.0,3.0,558.6
6.0,5.0,183.5,6.0,5.0,436.1,6.0,5.0,631.1,6.0,5.0,114.3,6.0,4.0,448.0,5.0,4.0,418.0
