1,桐本 康臣,桐本 康臣.1,2,渡邉 英児,渡邉 英児.1,3,大西 賢,大西 賢.1,4,向井田　佑紀,向井田　佑紀.1,5,青木　幸太郎,青木　幸太郎.1,6,菊池 宏志,菊池 宏志.1
2.0,3.0,11.3,1.0,3.0,46.2,1.0,2.0,231.4,1.0,2.0,68.1,1.0,2.0,61.7,1.0,2.0,929.2
2.0,4.0,5.1,1.0,4.0,23.2,1.0,4.0,232.7,1.0,3.0,232.1,1.0,3.0,193.0,1.0,3.0,1979.0
2.0,5.0,7.8,1.0,5.0,28.6,1.0,5.0,339.3,1.0,5.0,75.8,1.0,4.0,103.5,1.0,4.0,1614.0
2.0,6.0,27.3,1.0,6.0,73.3,1.0,6.0,717.1,1.0,6.0,191.6,1.0,6.0,127.0,1.0,5.0,1400.0
3.0,2.0,23.8,3.0,1.0,171.7,2.0,1.0,288.6,2.0,1.0,107.9,2.0,1.0,110.1,2.0,1.0,1109.0
3.0,4.0,29.2,3.0,4.0,239.7,2.0,4.0,440.2,2.0,3.0,422.2,2.0,3.0,419.2,2.0,3.0,2858.0
3.0,5.0,37.6,3.0,5.0,276.6,2.0,5.0,573.3,2.0,5.0,171.0,2.0,4.0,252.8,2.0,4.0,1736.0
3.0,6.0,94.1,3.0,6.0,447.4,2.0,6.0,942.0,2.0,6.0,341.9,2.0,6.0,257.4,2.0,5.0,1332.0
4.0,2.0,10.9,4.0,1.0,71.4,4.0,1.0,399.6,3.0,1.0,471.5,3.0,1.0,737.7,3.0,1.0,3459.0
4.0,3.0,29.0,4.0,3.0,208.2,4.0,2.0,567.0,3.0,2.0,718.4,3.0,2.0,952.9,3.0,2.0,3920.0
4.0,5.0,17.1,4.0,5.0,115.7,4.0,5.0,640.2,3.0,5.0,861.2,3.0,4.0,1372.0,3.0,4.0,4625.0
4.0,6.0,51.3,4.0,6.0,239.1,4.0,6.0,1349.0,3.0,6.0,1349.0,3.0,6.0,1327.0,3.0,5.0,4200.0
5.0,2.0,17.4,5.0,1.0,90.3,5.0,1.0,658.6,5.0,1.0,91.9,4.0,1.0,159.6,4.0,1.0,2407.0
5.0,3.0,47.9,5.0,3.0,294.2,5.0,2.0,872.1,5.0,2.0,136.8,4.0,2.0,219.7,4.0,2.0,2008.0
5.0,4.0,26.0,5.0,4.0,176.3,5.0,4.0,968.6,5.0,3.0,445.5,4.0,3.0,657.6,4.0,3.0,4379.0
5.0,6.0,61.9,5.0,6.0,253.7,5.0,6.0,1372.0,5.0,6.0,168.7,4.0,6.0,253.0,4.0,5.0,1744.0
6.0,2.0,137.6,6.0,1.0,505.7,6.0,1.0,2089.0,6.0,1.0,492.4,6.0,1.0,404.3,5.0,1.0,1789.0
6.0,3.0,330.9,6.0,3.0,1042.0,6.0,2.0,2352.0,6.0,2.0,596.6,6.0,2.0,446.4,5.0,2.0,1439.0
6.0,4.0,225.9,6.0,4.0,698.9,6.0,4.0,2781.0,6.0,3.0,1225.0,6.0,3.0,1179.0,5.0,3.0,3742.0
6.0,5.0,215.9,6.0,5.0,560.0,6.0,5.0,2249.0,6.0,5.0,403.5,6.0,4.0,532.5,5.0,4.0,1571.0
