1,秋元 哲,秋元 哲.1,2,宮本 夏樹,宮本 夏樹.1,3,中岡 健人,中岡 健人.1,4,大神 康司,大神 康司.1,5,関野 文,関野 文.1,6,上之 晃弘,上之 晃弘.1
2.0,3.0,35.4,1.0,3.0,125.4,1.0,2.0,212.7,1.0,2.0,22.3,1.0,2.0,101.1,1.0,2.0,1098.0
2.0,4.0,10.8,1.0,4.0,51.7,1.0,4.0,140.6,1.0,3.0,57.6,1.0,3.0,207.1,1.0,3.0,1491.0
2.0,5.0,18.0,1.0,5.0,61.0,1.0,5.0,157.4,1.0,5.0,18.5,1.0,4.0,64.4,1.0,4.0,799.9
2.0,6.0,48.7,1.0,6.0,187.0,1.0,6.0,318.5,1.0,6.0,57.4,1.0,6.0,170.3,1.0,5.0,1052.0
3.0,2.0,65.3,3.0,1.0,208.9,2.0,1.0,264.0,2.0,1.0,57.1,2.0,1.0,156.9,2.0,1.0,1324.0
3.0,4.0,42.4,3.0,4.0,339.3,2.0,4.0,416.4,2.0,3.0,247.7,2.0,3.0,467.6,2.0,3.0,1813.0
3.0,5.0,60.0,3.0,5.0,256.7,2.0,5.0,358.5,2.0,5.0,77.9,2.0,4.0,211.4,2.0,4.0,1267.0
3.0,6.0,117.2,3.0,6.0,452.1,2.0,6.0,519.9,2.0,6.0,189.7,2.0,6.0,414.9,2.0,5.0,1498.0
4.0,2.0,7.2,4.0,1.0,75.8,4.0,1.0,194.3,3.0,1.0,181.1,3.0,1.0,275.5,3.0,1.0,1543.0
4.0,3.0,19.2,4.0,3.0,341.6,4.0,2.0,444.1,3.0,2.0,395.4,3.0,2.0,509.4,3.0,2.0,2372.0
4.0,5.0,8.1,4.0,5.0,126.2,4.0,5.0,306.1,3.0,5.0,265.0,3.0,4.0,399.0,3.0,4.0,2341.0
4.0,6.0,19.3,4.0,6.0,294.6,4.0,6.0,562.9,3.0,6.0,507.2,3.0,6.0,510.1,3.0,5.0,1683.0
5.0,2.0,26.8,5.0,1.0,103.8,5.0,1.0,189.3,5.0,1.0,37.0,4.0,1.0,74.8,4.0,1.0,906.5
5.0,3.0,59.7,5.0,3.0,297.8,5.0,2.0,336.7,5.0,2.0,67.0,4.0,2.0,159.7,4.0,2.0,1219.0
5.0,4.0,20.1,5.0,4.0,147.9,5.0,4.0,269.6,5.0,3.0,174.9,4.0,3.0,357.8,4.0,3.0,2405.0
5.0,6.0,57.0,5.0,6.0,286.9,5.0,6.0,315.9,5.0,6.0,103.1,4.0,6.0,179.9,4.0,5.0,883.9
6.0,2.0,144.7,6.0,1.0,536.5,6.0,1.0,531.6,6.0,1.0,237.7,6.0,1.0,311.5,5.0,1.0,888.3
6.0,3.0,222.5,6.0,3.0,937.8,6.0,2.0,886.1,6.0,2.0,420.4,6.0,2.0,519.1,5.0,2.0,1285.0
6.0,4.0,89.7,6.0,4.0,576.7,6.0,4.0,777.0,6.0,3.0,803.5,6.0,3.0,702.9,5.0,3.0,1397.0
6.0,5.0,122.2,6.0,5.0,555.9,6.0,5.0,581.5,6.0,5.0,273.6,6.0,4.0,344.9,5.0,4.0,810.9
