1,岡村 将也,岡村 将也.1,2,森 照夫,森 照夫.1,3,深山 祐二,深山 祐二.1,4,吉川 昭男,吉川 昭男.1,5,伊倉 光,伊倉 光.1,6,濱本 優一,濱本 優一.1
2.0,3.0,30.4,1.0,3.0,95.2,1.0,2.0,162.0,1.0,2.0,17.3,1.0,2.0,327.1,1.0,2.0,432.3
2.0,4.0,15.5,1.0,4.0,47.1,1.0,4.0,109.7,1.0,3.0,28.2,1.0,3.0,405.4,1.0,3.0,536.2
2.0,5.0,43.8,1.0,5.0,126.2,1.0,5.0,182.6,1.0,5.0,30.6,1.0,4.0,191.2,1.0,4.0,208.1
2.0,6.0,36.6,1.0,6.0,82.9,1.0,6.0,120.5,1.0,6.0,18.5,1.0,6.0,270.7,1.0,5.0,561.1
3.0,2.0,49.7,3.0,1.0,133.8,2.0,1.0,200.3,2.0,1.0,45.4,2.0,1.0,543.1,2.0,1.0,605.2
3.0,4.0,31.0,3.0,4.0,131.3,2.0,4.0,152.3,2.0,3.0,87.8,2.0,3.0,656.8,2.0,3.0,609.5
3.0,5.0,76.8,3.0,5.0,190.8,2.0,5.0,242.0,2.0,5.0,100.6,2.0,4.0,553.8,2.0,4.0,430.1
3.0,6.0,71.3,3.0,6.0,121.0,2.0,6.0,127.2,2.0,6.0,60.2,2.0,6.0,576.4,2.0,5.0,985.2
4.0,2.0,9.6,4.0,1.0,54.5,4.0,1.0,138.6,3.0,1.0,99.1,3.0,1.0,473.3,3.0,1.0,677.8
4.0,3.0,14.7,4.0,3.0,118.5,4.0,2.0,160.1,3.0,2.0,152.9,3.0,2.0,730.4,3.0,2.0,724.2
4.0,5.0,19.0,4.0,5.0,146.8,4.0,5.0,255.9,3.0,5.0,188.2,3.0,4.0,513.5,3.0,4.0,596.7
4.0,6.0,12.3,4.0,6.0,71.7,4.0,6.0,126.0,3.0,6.0,100.5,3.0,6.0,445.9,3.0,5.0,941.4
5.0,2.0,102.0,5.0,1.0,246.3,5.0,1.0,240.0,5.0,1.0,85.1,4.0,1.0,219.5,4.0,1.0,247.0
5.0,3.0,107.5,5.0,3.0,284.3,5.0,2.0,302.6,5.0,2.0,151.3,4.0,2.0,425.7,4.0,2.0,341.6
5.0,4.0,53.5,5.0,4.0,252.1,5.0,4.0,292.1,5.0,3.0,186.6,4.0,3.0,557.4,4.0,3.0,592.5
5.0,6.0,105.5,5.0,6.0,277.8,5.0,6.0,185.8,5.0,6.0,125.3,4.0,6.0,279.6,4.0,5.0,605.2
6.0,2.0,76.6,6.0,1.0,197.0,6.0,1.0,220.0,6.0,1.0,58.4,6.0,1.0,392.2,5.0,1.0,784.5
6.0,3.0,117.3,6.0,3.0,277.8,6.0,2.0,298.3,6.0,2.0,89.4,6.0,2.0,651.7,5.0,2.0,1114.0
6.0,4.0,48.5,6.0,4.0,170.1,6.0,4.0,229.0,6.0,3.0,142.6,6.0,3.0,580.3,5.0,3.0,921.0
6.0,5.0,116.2,6.0,5.0,334.9,6.0,5.0,298.3,6.0,5.0,127.8,6.0,4.0,370.0,5.0,4.0,656.8
