1,吉永 浩則,吉永 浩則.1,2,西村 秀樹,西村 秀樹.1,3,清水 敦揮,清水 敦揮.1,4,福嶋 智之,福嶋 智之.1,5,中越 博紀,中越 博紀.1,6,牧原 崇,牧原 崇.1
2.0,3.0,52.1,1.0,3.0,95.0,1.0,2.0,34.7,1.0,2.0,460.8,1.0,2.0,225.1,1.0,2.0,791.1
2.0,4.0,114.1,1.0,4.0,211.2,1.0,4.0,25.6,1.0,3.0,211.7,1.0,3.0,72.4,1.0,3.0,279.7
2.0,5.0,90.7,1.0,5.0,177.3,1.0,5.0,10.2,1.0,5.0,298.2,1.0,4.0,222.6,1.0,4.0,946.2
2.0,6.0,126.7,1.0,6.0,200.4,1.0,6.0,13.4,1.0,6.0,335.4,1.0,6.0,99.7,1.0,5.0,391.7
3.0,2.0,27.2,3.0,1.0,107.8,2.0,1.0,70.5,2.0,1.0,567.3,2.0,1.0,386.4,2.0,1.0,769.8
3.0,4.0,28.0,3.0,4.0,227.5,2.0,4.0,126.9,2.0,3.0,630.1,2.0,3.0,288.5,2.0,3.0,635.7
3.0,5.0,12.0,3.0,5.0,134.5,2.0,5.0,68.0,2.0,5.0,741.7,2.0,4.0,698.1,2.0,4.0,1582.0
3.0,6.0,17.1,3.0,6.0,156.5,2.0,6.0,79.8,2.0,6.0,823.2,2.0,6.0,315.0,2.0,5.0,962.2
4.0,2.0,148.1,4.0,1.0,352.5,4.0,1.0,67.5,3.0,1.0,222.5,3.0,1.0,62.8,3.0,1.0,222.5
4.0,3.0,75.7,4.0,3.0,477.1,4.0,2.0,134.0,3.0,2.0,430.2,3.0,2.0,139.1,3.0,2.0,481.9
4.0,5.0,123.0,4.0,5.0,648.8,4.0,5.0,44.7,3.0,5.0,166.3,3.0,4.0,120.1,3.0,4.0,408.6
4.0,6.0,143.9,4.0,6.0,662.3,4.0,6.0,53.1,3.0,6.0,166.4,3.0,6.0,45.1,3.0,5.0,155.8
5.0,2.0,103.8,5.0,1.0,388.5,5.0,1.0,18.5,5.0,1.0,342.3,4.0,1.0,357.8,4.0,1.0,837.7
5.0,3.0,33.0,5.0,3.0,245.5,5.0,2.0,51.5,5.0,2.0,549.8,4.0,2.0,644.4,4.0,2.0,1547.0
5.0,4.0,125.6,5.0,4.0,657.8,5.0,4.0,37.2,5.0,3.0,229.8,4.0,3.0,229.7,4.0,3.0,626.0
5.0,6.0,59.4,5.0,6.0,321.1,5.0,6.0,13.4,5.0,6.0,253.4,4.0,6.0,226.0,4.0,5.0,863.1
6.0,2.0,208.6,6.0,1.0,537.4,6.0,1.0,41.6,6.0,1.0,451.3,6.0,1.0,124.8,5.0,1.0,312.6
6.0,3.0,77.3,6.0,3.0,375.2,6.0,2.0,87.7,6.0,2.0,719.2,6.0,2.0,233.2,5.0,2.0,663.9
6.0,4.0,237.9,6.0,4.0,820.8,6.0,4.0,69.1,6.0,3.0,327.0,6.0,3.0,73.5,5.0,3.0,165.5
6.0,5.0,115.4,6.0,5.0,436.1,6.0,5.0,26.3,6.0,5.0,368.9,6.0,4.0,206.3,5.0,4.0,604.7
