1,松山 将吾,松山 将吾.1,2,重野 哲之,重野 哲之.1,3,岩永 雅人,岩永 雅人.1,4,木場 悠介,木場 悠介.1,5,峰重 力也,峰重 力也.1,6,桑原 将光,桑原 将光.1
2.0,3.0,5.2,1.0,3.0,18.0,1.0,2.0,62.5,1.0,2.0,112.0,1.0,2.0,212.1,1.0,2.0,359.1
2.0,4.0,6.7,1.0,4.0,20.5,1.0,4.0,94.1,1.0,3.0,231.4,1.0,3.0,414.4,1.0,3.0,629.2
2.0,5.0,17.3,1.0,5.0,44.8,1.0,5.0,168.8,1.0,5.0,228.3,1.0,4.0,483.4,1.0,4.0,812.2
2.0,6.0,14.0,1.0,6.0,33.9,1.0,6.0,119.2,1.0,6.0,199.2,1.0,6.0,353.7,1.0,5.0,930.8
3.0,2.0,9.8,3.0,1.0,63.4,2.0,1.0,105.9,2.0,1.0,171.2,2.0,1.0,342.9,2.0,1.0,432.4
3.0,4.0,20.3,3.0,4.0,122.4,2.0,4.0,198.7,2.0,3.0,362.2,2.0,3.0,815.6,2.0,3.0,877.9
3.0,5.0,37.7,3.0,5.0,235.2,2.0,5.0,341.9,2.0,5.0,390.9,2.0,4.0,766.6,2.0,4.0,858.6
3.0,6.0,26.4,3.0,6.0,158.2,2.0,6.0,207.4,2.0,6.0,302.7,2.0,6.0,492.4,2.0,5.0,1050.0
4.0,2.0,18.9,4.0,1.0,82.5,4.0,1.0,297.6,3.0,1.0,523.6,3.0,1.0,970.9,3.0,1.0,1253.0
4.0,3.0,36.4,4.0,3.0,155.0,4.0,2.0,337.8,3.0,2.0,559.5,3.0,2.0,1294.0,3.0,2.0,1323.0
4.0,5.0,55.9,4.0,5.0,259.2,4.0,5.0,653.7,3.0,5.0,987.2,3.0,4.0,1867.0,3.0,4.0,1777.0
4.0,6.0,45.8,4.0,6.0,159.1,4.0,6.0,463.5,3.0,6.0,719.5,3.0,6.0,1572.0,3.0,5.0,2072.0
5.0,2.0,50.2,5.0,1.0,207.5,5.0,1.0,549.1,5.0,1.0,390.1,4.0,1.0,873.9,4.0,1.0,1209.0
5.0,3.0,88.2,5.0,3.0,477.1,5.0,2.0,675.6,5.0,2.0,474.8,4.0,2.0,955.1,4.0,2.0,1025.0
5.0,4.0,113.4,5.0,4.0,496.9,5.0,4.0,936.8,5.0,3.0,862.4,4.0,3.0,1611.0,4.0,3.0,2180.0
5.0,6.0,106.5,5.0,6.0,343.9,5.0,6.0,706.5,5.0,6.0,442.9,4.0,6.0,955.1,4.0,5.0,1910.0
6.0,2.0,57.2,6.0,1.0,196.5,6.0,1.0,483.4,6.0,1.0,426.8,6.0,1.0,650.1,5.0,1.0,1332.0
6.0,3.0,87.1,6.0,3.0,372.1,6.0,2.0,518.5,6.0,2.0,439.2,6.0,2.0,664.9,5.0,2.0,1245.0
6.0,4.0,113.0,6.0,4.0,321.6,6.0,4.0,785.0,6.0,3.0,806.6,6.0,3.0,1357.0,5.0,3.0,2273.0
6.0,5.0,169.5,6.0,5.0,417.6,6.0,5.0,1104.0,6.0,5.0,614.7,6.0,4.0,1154.0,5.0,4.0,1987.0
