1,村上 奈穂,村上 奈穂.1,2,山川　美由紀,山川　美由紀.1,3,間庭 菜摘,間庭 菜摘.1,4,出口　舞有子,出口　舞有子.1,5,小野 生奈,小野 生奈.1,6,渡邉　真奈美,渡邉　真奈美.1
2.0,3.0,39.1,1.0,3.0,41.3,1.0,2.0,148.3,1.0,2.0,124.5,1.0,2.0,41.1,1.0,2.0,1251.0
2.0,4.0,53.9,1.0,4.0,60.7,1.0,4.0,252.8,1.0,3.0,210.5,1.0,3.0,69.3,1.0,3.0,2398.0
2.0,5.0,24.7,1.0,5.0,20.5,1.0,5.0,140.7,1.0,5.0,66.1,1.0,4.0,85.0,1.0,4.0,1833.0
2.0,6.0,145.5,1.0,6.0,109.8,1.0,6.0,471.7,1.0,6.0,280.4,1.0,6.0,104.8,1.0,5.0,1177.0
3.0,2.0,63.0,3.0,1.0,71.5,2.0,1.0,149.1,2.0,1.0,134.5,2.0,1.0,33.8,2.0,1.0,1365.0
3.0,4.0,101.2,3.0,4.0,85.7,2.0,4.0,148.6,2.0,3.0,119.1,2.0,3.0,28.9,2.0,3.0,833.2
3.0,5.0,56.3,3.0,5.0,28.4,2.0,5.0,65.1,2.0,5.0,38.9,2.0,4.0,41.2,2.0,4.0,1106.0
3.0,6.0,275.3,3.0,6.0,123.5,2.0,6.0,225.7,2.0,6.0,174.5,2.0,6.0,40.0,2.0,5.0,374.0
4.0,2.0,83.0,4.0,1.0,99.5,4.0,1.0,281.7,3.0,1.0,317.2,3.0,1.0,114.7,3.0,1.0,2398.0
4.0,3.0,122.4,4.0,3.0,94.1,4.0,2.0,185.2,3.0,2.0,192.6,3.0,2.0,63.1,3.0,2.0,1110.0
4.0,5.0,63.6,4.0,5.0,37.3,4.0,5.0,116.2,3.0,5.0,84.0,3.0,4.0,99.4,3.0,4.0,2086.0
4.0,6.0,321.1,4.0,6.0,157.5,4.0,6.0,418.6,3.0,6.0,384.7,3.0,6.0,143.8,3.0,5.0,1082.0
5.0,2.0,32.4,5.0,1.0,21.3,5.0,1.0,117.1,5.0,1.0,50.5,4.0,1.0,77.4,4.0,1.0,2138.0
5.0,3.0,52.0,5.0,3.0,18.2,5.0,2.0,60.2,5.0,2.0,28.5,4.0,2.0,41.8,4.0,2.0,1441.0
5.0,4.0,60.7,5.0,4.0,29.1,5.0,4.0,102.4,5.0,3.0,45.0,4.0,3.0,64.3,4.0,3.0,2271.0
5.0,6.0,117.5,5.0,6.0,33.1,5.0,6.0,157.4,5.0,6.0,47.4,4.0,6.0,65.9,4.0,5.0,903.6
6.0,2.0,425.5,6.0,1.0,295.9,6.0,1.0,1106.0,6.0,1.0,491.6,6.0,1.0,139.7,5.0,1.0,906.8
6.0,3.0,720.8,6.0,3.0,286.7,6.0,2.0,540.2,6.0,2.0,329.8,6.0,2.0,73.1,5.0,2.0,375.7
6.0,4.0,648.0,6.0,4.0,389.4,6.0,4.0,1038.0,6.0,3.0,575.4,6.0,3.0,153.7,5.0,3.0,849.7
6.0,5.0,367.1,6.0,5.0,127.8,6.0,5.0,505.1,6.0,5.0,176.8,6.0,4.0,153.3,5.0,4.0,761.5
