1,下河 雅史,下河 雅史.1,2,谷村 啓司,谷村 啓司.1,3,鈴木 賢一,鈴木 賢一.1,4,伊藤 玲奈,伊藤 玲奈.1,5,山崎 善庸,山崎 善庸.1,6,石川 哲秀,石川 哲秀.1
2.0,3.0,8.8,1.0,3.0,38.5,1.0,2.0,22.6,1.0,2.0,114.9,1.0,2.0,440.5,1.0,2.0,505.7
2.0,4.0,20.7,1.0,4.0,55.9,1.0,4.0,24.5,1.0,3.0,90.6,1.0,3.0,318.7,1.0,3.0,388.7
2.0,5.0,34.6,1.0,5.0,92.6,1.0,5.0,34.5,1.0,5.0,155.1,1.0,4.0,521.7,1.0,4.0,678.9
2.0,6.0,40.8,1.0,6.0,99.1,1.0,6.0,46.9,1.0,6.0,168.5,1.0,6.0,643.6,1.0,5.0,1208.0
3.0,2.0,7.1,3.0,1.0,56.0,2.0,1.0,50.9,2.0,1.0,191.3,2.0,1.0,688.3,2.0,1.0,780.5
3.0,4.0,9.5,3.0,4.0,99.0,2.0,4.0,82.0,2.0,3.0,227.8,2.0,3.0,590.0,2.0,3.0,819.2
3.0,5.0,14.7,3.0,5.0,150.1,2.0,5.0,115.8,2.0,5.0,319.7,2.0,4.0,847.2,2.0,4.0,1709.0
3.0,6.0,20.5,3.0,6.0,162.2,2.0,6.0,116.8,2.0,6.0,420.0,2.0,6.0,1208.0,2.0,5.0,1223.0
4.0,2.0,31.5,4.0,1.0,140.0,4.0,1.0,60.0,3.0,1.0,123.6,3.0,1.0,399.7,3.0,1.0,440.5
4.0,3.0,22.0,4.0,3.0,167.4,4.0,2.0,90.6,3.0,2.0,188.4,3.0,2.0,583.1,3.0,2.0,768.4
4.0,5.0,49.4,4.0,5.0,304.0,4.0,5.0,112.3,3.0,5.0,225.2,3.0,4.0,538.7,3.0,4.0,861.9
4.0,6.0,51.5,4.0,6.0,323.9,4.0,6.0,133.2,3.0,6.0,281.6,3.0,6.0,793.0,3.0,5.0,1709.0
5.0,2.0,86.3,5.0,1.0,339.4,5.0,1.0,109.7,5.0,1.0,291.5,4.0,1.0,631.3,4.0,1.0,971.8
5.0,3.0,53.4,5.0,3.0,336.0,5.0,2.0,177.3,5.0,2.0,385.7,4.0,2.0,944.0,4.0,2.0,1680.0
5.0,4.0,78.3,5.0,4.0,505.7,5.0,4.0,171.7,5.0,3.0,325.0,4.0,3.0,623.4,4.0,3.0,1339.0
5.0,6.0,107.6,5.0,6.0,750.9,5.0,6.0,207.8,5.0,6.0,387.2,4.0,6.0,991.2,4.0,5.0,2360.0
6.0,2.0,117.4,6.0,1.0,390.2,6.0,1.0,148.6,6.0,1.0,381.2,6.0,1.0,1054.0,5.0,1.0,1770.0
6.0,3.0,88.3,6.0,3.0,384.2,6.0,2.0,220.7,6.0,2.0,544.6,6.0,2.0,1548.0,5.0,2.0,1906.0
6.0,4.0,125.6,6.0,4.0,635.4,6.0,4.0,209.5,6.0,3.0,442.5,6.0,3.0,1396.0,5.0,3.0,2154.0
6.0,5.0,164.6,6.0,5.0,756.7,6.0,5.0,267.9,6.0,5.0,579.6,6.0,4.0,1548.0,5.0,4.0,2154.0
